,treatment,score,dimention
0,SKF,0.34162144069867173,0
1,SKF,0.5651679695314749,1
2,SKF,0.6267647143790354,2
3,SKF,0.6633947220250169,3
4,SKF,0.639880070002531,4
5,SKF,0.627351563786037,5
6,SKF,0.6080087704775221,6
7,SKF,0.6092593171233055,7
8,SKF,0.5988169509954275,8
9,SKF,0.5993350277771885,9
10,SKF,0.598710419026701,10
11,SKF,0.5956671264296464,11
12,SKF,0.5947671837899917,12
13,SKF,0.5947166008444571,13
14,SKF,0.5858186148844939,14
15,SKF,0.5798505719773777,15
16,SKF,0.5732210352426774,16
17,SKF,0.5712433084772,17
18,SKF,0.5662002547831717,18
19,SKF,0.5616262020491553,19
20,SKF,0.5567076108173095,20
21,SKF,0.5479646080192092,21
22,SKF,0.5468466187664545,22
23,SKF,0.5351809950493249,23
24,SKF,0.5279697465408513,24
25,SKF,0.5259811453837708,25
26,SKF,0.5180380527892907,26
27,SKF,0.5171764337823112,27
28,SKF,0.5167987665959511,28
29,SKF,0.5108772209852976,29
30,SKF,0.5083966813373082,30
31,SKF,0.505154270210068,31
32,SKF,0.49939918168298103,32
33,SKF,0.4979947721353355,33
34,SKF,0.49636977925696435,34
35,SKF,0.4957771520144837,35
36,SKF,0.493548028046941,36
37,SKF,0.4871099052592617,37
38,SKF,0.4857035004397645,38
39,SKF,0.49020762835183296,39
40,SKF,0.488848707977542,40
41,SKF,0.4868377523328602,41
42,SKF,0.4817432039591465,42
43,SKF,0.48459971808488145,43
44,SKF,0.48415165641004754,44
45,SKF,0.482970738901093,45
46,SKF,0.48306072543704615,46
47,SKF,0.4858994150234822,47
48,SKF,0.4855346595572123,48
49,SKF,0.4855652814137056,49
50,SKF,0.4846484100535552,50
51,SKF,0.4838062147063833,51
52,SKF,0.4843198124973628,52
53,SKF,0.4819993436066563,53
54,SKF,0.4804876024589818,54
55,SKF,0.47932719680305425,55
56,SKF,0.4798152724639255,56
57,SKF,0.48275056618603795,57
58,SKF,0.4825459515491014,58
59,SKF,0.480104946979246,59
60,SKF,0.4809573915622749,60
61,SKF,0.4803716120966375,61
62,SKF,0.478360161062107,62
63,SKF,0.4798932121341629,63
64,SKF,0.47891807285000465,64
65,SKF,0.47928221574488716,65
66,SKF,0.4772558741525521,66
67,SKF,0.47730148188997745,67
68,D1A,0.1923283120448287,0
69,D1A,0.45328773450243676,1
70,D1A,0.4474585749765042,2
71,D1A,0.4008846128676108,3
72,D1A,0.4123459279353572,4
73,D1A,0.446697664979975,5
74,D1A,0.470986105049241,6
75,D1A,0.4571518548486062,7
76,D1A,0.43291950265459433,8
77,D1A,0.4476247517430343,9
78,D1A,0.45582356987864014,10
79,D1A,0.4434151630729669,11
80,D1A,0.4440711877529976,12
81,D1A,0.46698881269751147,13
82,D1A,0.46312471185536397,14
83,D1A,0.4689045870098749,15
84,D1A,0.46344695202753605,16
85,D1A,0.46295560722003526,17
86,D1A,0.4571938256449162,18
87,D1A,0.4483936755507918,19
88,D1A,0.45212939245193895,20
89,D1A,0.4641713625231494,21
90,D1A,0.4621954564846532,22
91,D1A,0.4697377992545738,23
92,D1A,0.4708038939285397,24
93,D1A,0.4640689686258652,25
94,D1A,0.46383476817149993,26
95,D1A,0.4664260577171301,27
96,D1A,0.4624893217538768,28
97,D1A,0.464179887863329,29
98,D1A,0.45941254595170367,30
99,D1A,0.47619331385935015,31
100,D1A,0.47228486231996614,32
101,D1A,0.46689455907299515,33
102,D1A,0.4680034809395879,34
103,D1A,0.4597195307089177,35
104,D1A,0.45683378625616233,36
105,D1A,0.4572144829046181,37
106,D1A,0.45685136526971293,38
107,D1A,0.4546947836593218,39
108,D1A,0.45223885795818686,40
109,D1A,0.4499409568243209,41
