,treatment,score,dimention
0,Shuffled,,0
1,Shuffled,-0.0734365426944883,1
2,Shuffled,-0.13058390478275106,2
3,Shuffled,-0.09595991514193702,3
4,Shuffled,-0.11214889677185713,4
5,Shuffled,-0.04846172716006203,5
6,Shuffled,-0.0066429983746219,6
7,Shuffled,-0.010524395602687697,7
8,Shuffled,0.020212544226017592,8
9,Shuffled,0.0417883165252283,9
10,Shuffled,0.050969978773874436,10
11,Shuffled,0.06934802520222616,11
12,Shuffled,0.07609258703949018,12
13,Shuffled,0.08566776804869991,13
14,Shuffled,0.08425071692665531,14
15,Shuffled,0.08754293509583266,15
16,Shuffled,0.09260574014765455,16
17,Shuffled,0.0936965059726046,17
18,Shuffled,0.08604591534722261,18
19,Shuffled,0.08497100441234884,19
20,Shuffled,0.08464166271310691,20
21,Shuffled,0.07053913684963176,21
22,Shuffled,0.06519014939118217,22
23,Shuffled,0.06655474789760996,23
24,Shuffled,0.06286787176876607,24
25,Shuffled,0.06067107154961815,25
26,Shuffled,0.0646803144870276,26
27,Shuffled,0.06621822672653188,27
28,Shuffled,0.06696388134808795,28
29,Shuffled,0.0648805645040198,29
30,Shuffled,0.0636678921433883,30
31,Shuffled,0.062000861919331296,31
32,Shuffled,0.059566778908335616,32
33,Shuffled,0.0611252582735643,33
34,Shuffled,0.06370180179091212,34
35,Shuffled,0.06640300671965293,35
36,Shuffled,0.06399104138071188,36
37,Shuffled,0.06228765195983943,37
38,Shuffled,0.06294837858029767,38
39,Shuffled,0.0673107302421786,39
40,Shuffled,0.0628763314790447,40
41,Shuffled,0.0580650995801949,41
42,Shuffled,0.057968583458240186,42
43,Shuffled,0.060319862678481106,43
44,Shuffled,0.05987652435735502,44
45,Shuffled,0.055642379909357276,45
46,Shuffled,0.05510036026855125,46
47,Shuffled,0.058507486088680616,47
48,Shuffled,0.06326749704616852,48
49,Shuffled,0.06441988668090703,49
50,Shuffled,0.06972077552341649,50
51,Shuffled,0.0704406661769924,51
52,Shuffled,0.06798931707655387,52
53,Shuffled,0.069685016337665,53
54,Shuffled,0.0693970983380271,54
55,Shuffled,0.06927646913965291,55
56,Shuffled,0.06971280302123217,56
57,Shuffled,0.06921685030195712,57
58,Shuffled,0.07196533506229319,58
59,Shuffled,0.07353788258121641,59
60,Shuffled,0.07672401841169219,60
61,Shuffled,0.0796525587267558,61
62,Shuffled,0.07984359687388742,62
63,Shuffled,0.08091743683841479,63
64,Shuffled,0.08232617436665413,64
65,Shuffled,0.08334386702349128,65
66,Shuffled,0.0810855251060304,66
67,Shuffled,0.08137652971984244,67
68,Shuffled,,0
69,Shuffled,-0.27267998170206376,1
70,Shuffled,-0.16483440869660426,2
71,Shuffled,-0.31663664596289176,3
72,Shuffled,-0.22499510800776656,4
73,Shuffled,-0.20924061676585048,5
74,Shuffled,-0.19621384116805718,6
75,Shuffled,-0.15094590491647586,7
76,Shuffled,-0.14234381026718101,8
77,Shuffled,-0.12447702009982864,9
78,Shuffled,-0.11634286553616668,10
79,Shuffled,-0.1026113846169876,11
80,Shuffled,-0.1035685004418585,12
81,Shuffled,-0.08693387653066975,13
82,Shuffled,-0.07869245875656294,14
83,Shuffled,-0.06247959305641482,15
84,Shuffled,-0.05836671444414798,16
85,Shuffled,-0.047768808668562146,17
86,Shuffled,-0.038266099060841885,18
87,Shuffled,-0.01197220812096278,19
88,Shuffled,-0.005337611248251939,20
89,Shuffled,0.0033945686838492417,21
90,Shuffled,0.000835237218462348,22
91,Shuffled,0.002489905617192978,23
92,Shuffled,0.0014518087587186423,24
93,Shuffled,-4.093291556528378e-05,25
94,Shuffled,-0.005255509302575012,26
95,Shuffled,-0.006356190873316514,27
96,Shuffled,-0.004593140122682415,28
97,Shuffled,-0.006036866986798728,29
98,Shuffled,-0.004880901089088008,30
99,Shuffled,-0.003823629900759462,31
100,Shuffled,-0.0007423088564666447,32
101,Shuffled,-0.003365040398275454,33
102,Shuffled,-0.003436317269893241,34
103,Shuffled,-0.0027065486175563702,35
104,Shuffled,-0.0043627877970913165,36
105,Shuffled,-0.00827906759718644,37
106,Shuffled,-0.009509829029131556,38
107,Shuffled,-0.006216055846244961,39
108,Shuffled,-0.008208951101500217,40
109,Shuffled,-0.010179699538218845,41
110,Shuffled,-0.010415921845216003,42
111,Shuffled,-0.012510383736198616,43
112,Shuffled,-0.010401370139985433,44
113,Shuffled,-0.01327255896283197,45
114,Shuffled,-0.013259437171928123,46
115,Shuffled,-0.013593239102985155,47
116,Shuffled,-0.010147467622113382,48
117,Shuffled,-0.01046972454065287,49
118,Shuffled,-0.010646792436926678,50
119,Shuffled,-0.008943310541470018,51
120,Shuffled,-0.008945858891097336,52
121,Shuffled,-0.011044280429154396,53
122,Shuffled,-0.011493992426490296,54
123,Shuffled,-0.013455543385467061,55
124,Shuffled,-0.011625478599932793,56
125,Shuffled,-0.011280401160867815,57
126,Shuffled,-0.00933399303938054,58
127,Shuffled,-0.009738600947828191,59
128,Shuffled,-0.007801133618795308,60
129,Shuffled,-0.0070470059327751855,61
130,Shuffled,-0.006079320391699339,62
131,Shuffled,-0.007594413482223672,63
132,Shuffled,-0.009478490121861194,64
133,Shuffled,-0.012557331229182678,65
134,Shuffled,-0.013654804592409864,66
135,Shuffled,-0.012863522335073041,67
136,Shuffled,-0.41734295663239096,0
137,Shuffled,-0.11769621087451099,1
138,Shuffled,-0.043229558504947585,2
139,Shuffled,0.06566428008372438,3
140,Shuffled,0.08772948298059136,4
141,Shuffled,0.10707539181207537,5
142,Shuffled,0.13637883105228,6
143,Shuffled,0.1502230321565705,7
144,Shuffled,0.16917603136824222,8
145,Shuffled,0.18090654111060578,9
146,Shuffled,0.19341588734918358,10
147,Shuffled,0.19283298331826637,11
148,Shuffled,0.2010165205773241,12
149,Shuffled,0.21172055219689667,13
150,Shuffled,0.21171701273256538,14
151,Shuffled,0.22473493193859206,15
152,Shuffled,0.23371923846383758,16
153,Shuffled,0.2395398151130338,17
154,Shuffled,0.2512979100930691,18
155,Shuffled,0.2594541240358489,19
156,Shuffled,0.267988895772567,20
157,Shuffled,0.27362391748465686,21
158,Shuffled,0.2807267454695316,22
159,Shuffled,0.28463426812489057,23
160,Shuffled,0.28633190650973095,24
161,Shuffled,0.28940014725605945,25
162,Shuffled,0.2978404787692085,26
163,Shuffled,0.3016869842967643,27
164,Shuffled,0.3029924493453272,28
165,Shuffled,0.30493897649322654,29
166,Shuffled,0.3071401540808586,30
167,Shuffled,0.316405112545298,31
168,Shuffled,0.31922128476548195,32
169,Shuffled,0.3263342299182048,33
170,Shuffled,0.32989010245591066,34
171,Shuffled,0.3311595858086748,35
172,Shuffled,0.3334396775036824,36
173,Shuffled,0.3358735799819801,37
174,Shuffled,0.33965088524512255,38
175,Shuffled,0.3391046665068008,39
176,Shuffled,0.3401876349153574,40
177,Shuffled,0.341762938897898,41
178,Shuffled,0.34105568875333936,42
179,Shuffled,0.34460472576681067,43
180,Shuffled,0.3463070026866558,44
181,Shuffled,0.3532973943173524,45
182,Shuffled,0.35577870234165243,46
183,Shuffled,0.35889087264080244,47
184,Shuffled,0.35986102814859133,48
185,Shuffled,0.3623416688228064,49
186,Shuffled,0.3646906207718682,50
187,Shuffled,0.3677562618573561,51
188,Shuffled,0.36910335643764347,52
189,Shuffled,0.3726014537998589,53
190,Shuffled,0.37326479903493526,54
191,Shuffled,0.37530373400639494,55
192,Shuffled,0.37563614684264357,56
193,Shuffled,0.3751048210350755,57
194,Shuffled,0.3752495727667702,58
195,Shuffled,0.3746605653243892,59
196,Shuffled,0.37565923336097784,60
197,Shuffled,0.3758031098029122,61
198,Shuffled,0.37581986800070166,62
199,Shuffled,0.37536842692910777,63
200,Shuffled,0.37451391164832704,64
201,Shuffled,0.37375898488309456,65
202,Shuffled,0.3736263774139299,66
203,Shuffled,0.37360226494648296,67
204,Shuffled,-0.46122144587527814,0
205,Shuffled,-0.24131959340249098,1
206,Shuffled,-0.2345795120358769,2
207,Shuffled,-0.15582538935914814,3
208,Shuffled,-0.24842000760646443,4
209,Shuffled,-0.27802132693148063,5
210,Shuffled,-0.2040262851887693,6
211,Shuffled,-0.197534934919112,7
212,Shuffled,-0.19172302453486156,8
213,Shuffled,-0.18597780398207076,9
214,Shuffled,-0.17251153733681468,10
215,Shuffled,-0.1456607319814831,11
216,Shuffled,-0.12069756344298077,12
217,Shuffled,-0.10485586480285503,13
218,Shuffled,-0.08795593571088256,14
219,Shuffled,-0.088088677674373,15
220,Shuffled,-0.0691766586135436,16
221,Shuffled,-0.048582435622336106,17
222,Shuffled,-0.04220912644565966,18
223,Shuffled,-0.03850873182993397,19
224,Shuffled,-0.036015079485036905,20
225,Shuffled,-0.03548420124311402,21
226,Shuffled,-0.04054643847519057,22
227,Shuffled,-0.03660449613442607,23
228,Shuffled,-0.03294569938042491,24
229,Shuffled,-0.035078917351193395,25
230,Shuffled,-0.03165770455631023,26
231,Shuffled,-0.025811514987694295,27
232,Shuffled,-0.021284326627408534,28
233,Shuffled,-0.024581552959391573,29
234,Shuffled,-0.01988603624105889,30
235,Shuffled,-0.01071939107732911,31
236,Shuffled,-0.005746047426926637,32
237,Shuffled,-0.0008870064405663847,33
238,Shuffled,-0.008432004185138675,34
239,Shuffled,-0.009668427215552056,35
240,Shuffled,-0.00718884116740659,36
241,Shuffled,-0.010979015158095073,37
242,Shuffled,-0.009943191339528479,38
243,Shuffled,-0.01386471895533048,39
244,Shuffled,-0.011840489394780995,40
245,Shuffled,-0.008688751333812306,41
246,Shuffled,-0.012861529715720854,42
247,Shuffled,-0.014523677618407893,43
248,Shuffled,-0.015429036992738787,44
249,Shuffled,-0.015176534706821343,45
250,Shuffled,-0.01285143949562606,46
251,Shuffled,-0.012165290980321597,47
252,Shuffled,-0.011687389359038791,48
253,Shuffled,-0.00940646196445205,49
254,Shuffled,-0.008584990724659347,50
255,Shuffled,-0.012929100322182308,51
256,Shuffled,-0.014604884172046528,52
257,Shuffled,-0.01073392711779575,53
258,Shuffled,-0.010544383682287606,54
259,Shuffled,-0.013044093344312335,55
260,Shuffled,-0.0144246470862186,56
261,Shuffled,-0.017424094120367162,57
262,Shuffled,-0.029947119553590085,58
263,Shuffled,-0.02967716608364368,59
264,Shuffled,-0.029187126100044036,60
265,Shuffled,-0.030606373291250932,61
266,Shuffled,-0.028457528557084943,62
267,Shuffled,-0.027920356653186706,63
268,Shuffled,-0.027590670947481133,64
269,Shuffled,-0.02842710201836085,65
270,Shuffled,-0.029494486709286782,66
271,Shuffled,-0.027764018010639324,67
272,Shuffled,-0.4406839345416227,0
273,Shuffled,-0.5108780894604752,1
274,Shuffled,-0.2862160403732188,2
275,Shuffled,-0.1432174866942939,3
276,Shuffled,-0.052875917759253266,4
277,Shuffled,-0.017352469311360474,5
278,Shuffled,-0.019547258204485773,6
279,Shuffled,0.0009251171195944208,7
280,Shuffled,0.0038304330795297936,8
281,Shuffled,-0.0005763056227567898,9
282,Shuffled,0.009566930549530284,10
283,Shuffled,-0.00011705330871181197,11
284,Shuffled,0.004138434222295984,12
285,Shuffled,0.008714502860766693,13
286,Shuffled,0.008769813719222919,14
287,Shuffled,0.005019399162501492,15
288,Shuffled,0.002498621616773833,16
289,Shuffled,-0.004370765763158868,17
290,Shuffled,-0.008382584630777234,18
291,Shuffled,-0.00015094404064086575,19
292,Shuffled,0.0015533170799343354,20
293,Shuffled,0.00406408985698592,21
294,Shuffled,0.006928217105220846,22
295,Shuffled,0.01168582222859249,23
296,Shuffled,0.0087080990902898,24
297,Shuffled,0.009962730341469217,25
298,Shuffled,0.011469329863384337,26
299,Shuffled,0.013573846281957458,27
300,Shuffled,0.015375602261989196,28
301,Shuffled,0.01903111429387494,29
302,Shuffled,0.019753124004680434,30
303,Shuffled,0.018767464332844264,31
304,Shuffled,0.024302488880731943,32
305,Shuffled,0.026982077539888127,33
306,Shuffled,0.027580106919350644,34
307,Shuffled,0.029780214740590782,35
308,Shuffled,0.03360373333361788,36
309,Shuffled,0.03217004627269937,37
310,Shuffled,0.032265743315503914,38
311,Shuffled,0.03082946453902613,39
312,Shuffled,0.0313282300718668,40
313,Shuffled,0.028043511020027667,41
314,Shuffled,0.025773171098080416,42
315,Shuffled,0.02798327685641644,43
316,Shuffled,0.02898817089098571,44
317,Shuffled,0.029392588459726365,45
318,Shuffled,0.02944690373043346,46
319,Shuffled,0.027837006469435988,47
320,Shuffled,0.02982318135155948,48
321,Shuffled,0.028214955400159614,49
322,Shuffled,0.027481842755537222,50
323,Shuffled,0.0285735022927861,51
324,Shuffled,0.030760193493097776,52
325,Shuffled,0.03281952631844054,53
326,Shuffled,0.031175609798376303,54
327,Shuffled,0.030935971372825555,55
328,Shuffled,0.030078714760491843,56
329,Shuffled,0.029802998678947645,57
330,Shuffled,0.029739050249143806,58
331,Shuffled,0.029972903975156173,59
332,Shuffled,0.028182773957081575,60
333,Shuffled,0.02971699703450026,61
334,Shuffled,0.03049520426043184,62
335,Shuffled,0.0303565301580091,63
336,Shuffled,0.03074143168404675,64
337,Shuffled,0.0311448260422722,65
338,Shuffled,0.031521106150912526,66
339,Shuffled,0.03086524039729477,67
340,Shuffled,-0.9156798086888771,0
341,Shuffled,-0.6382771985016187,1
342,Shuffled,-0.42539688970861156,2
343,Shuffled,-0.1837242981953351,3
344,Shuffled,-0.1721243565160977,4
345,Shuffled,-0.09462347895328249,5
346,Shuffled,-0.0927740125190657,6
347,Shuffled,-0.09002362652489038,7
348,Shuffled,-0.08437650980234013,8
349,Shuffled,-0.06994302770262562,9
350,Shuffled,-0.04568990795442862,10
351,Shuffled,-0.036389461227082975,11
352,Shuffled,-0.037487297943760156,12
353,Shuffled,-0.03801434673465587,13
354,Shuffled,-0.03893413760305653,14
355,Shuffled,-0.03753122947962684,15
356,Shuffled,-0.04502821002087187,16
357,Shuffled,-0.04259626215844148,17
358,Shuffled,-0.042257063741935275,18
359,Shuffled,-0.04274459589769264,19
360,Shuffled,-0.036409748351822646,20
361,Shuffled,-0.03779761470840581,21
362,Shuffled,-0.037362712964404965,22
363,Shuffled,-0.04244574623316999,23
364,Shuffled,-0.041439928961342076,24
365,Shuffled,-0.04667564038193461,25
366,Shuffled,-0.05015344114890041,26
367,Shuffled,-0.050255512206665465,27
368,Shuffled,-0.05337087382248651,28
369,Shuffled,-0.04741419502371125,29
370,Shuffled,-0.04591757278023634,30
371,Shuffled,-0.044608131037287446,31
372,Shuffled,-0.04829624442549307,32
373,Shuffled,-0.04759089479936729,33
374,Shuffled,-0.04215816675491468,34
375,Shuffled,-0.04627307553851501,35
376,Shuffled,-0.04694045625057819,36
377,Shuffled,-0.0446198349379634,37
378,Shuffled,-0.04024520017118727,38
379,Shuffled,-0.04870550591801748,39
380,Shuffled,-0.048231077719554705,40
381,Shuffled,-0.042200136960404366,41
382,Shuffled,-0.04044005919986837,42
383,Shuffled,-0.03811355490980084,43
384,Shuffled,-0.03948983465490241,44
385,Shuffled,-0.038754274321834314,45
386,Shuffled,-0.033449275848400406,46
387,Shuffled,-0.03375987952400972,47
388,Shuffled,-0.028107947427227886,48
389,Shuffled,-0.02780224407592402,49
390,Shuffled,-0.027676209292837095,50
391,Shuffled,-0.023592797820052525,51
392,Shuffled,-0.024855164852759293,52
393,Shuffled,-0.023241150123477716,53
394,Shuffled,-0.024404992091052735,54
