,treatment,score,dimention
0,LES,0.24023406446950157,0
1,LES,0.38814463640492114,1
2,LES,0.4290742507319618,2
3,LES,0.421370250595009,3
4,LES,0.39837492171864175,4
5,LES,0.36099038677970485,5
6,LES,0.3587490783694087,6
7,LES,0.35602307743998685,7
8,LES,0.34887837710728264,8
9,LES,0.34882974756858043,9
10,LES,0.35288616552461505,10
11,LES,0.3498475125604288,11
12,LES,0.35273082582204196,12
13,LES,0.35157023589186154,13
14,LES,0.3495244160176073,14
15,LES,0.3447343097886607,15
16,LES,0.34083726019669947,16
17,LES,0.34027431741363423,17
18,LES,0.33607035979641153,18
19,LES,0.3354060757639935,19
20,LES,0.3405645679415412,20
21,LES,0.3427679447458154,21
22,LES,0.34134523820519547,22
23,LES,0.3424046859365374,23
24,LES,0.34172385751520107,24
25,LES,0.3415986220302869,25
26,LES,0.3441735179511852,26
27,LES,0.34452664715612913,27
28,LES,0.3451818583795794,28
29,LES,0.34504866612169693,29
30,LES,0.34592830306986744,30
31,LES,0.34447357653427935,31
32,LES,0.34292374850400886,32
33,LES,0.34270501093992844,33
34,LES,0.34461482194557447,34
35,LES,0.34514436882024613,35
36,LES,0.34556218743409495,36
37,LES,0.3452548046009575,37
38,LES,0.34454837317533005,38
39,LES,0.34591592464962695,39
40,LES,0.3459570594908058,40
41,LES,0.3453946429503195,41
42,LES,0.34403335000749935,42
43,LES,0.3432891938145487,43
44,LES,0.34308563657319,44
45,LES,0.3437008697620525,45
46,LES,0.34404863399136143,46
47,LES,0.34345829898748126,47
48,LES,0.3434041765989879,48
49,LES,0.3430485712863045,49
50,LES,0.34288211156486215,50
51,LES,0.3422471493605743,51
52,LES,0.3426106101812163,52
53,LES,0.3434858830051376,53
54,LES,0.3431464387892018,54
55,LES,0.3426790357667401,55
56,LES,0.34247406958243054,56
57,LES,0.34161475133516095,57
58,LES,0.3407229412107269,58
59,LES,0.34127155118141117,59
60,LES,0.3401354077718164,60
61,LES,0.33974754817720176,61
62,LES,0.3397518595656347,62
63,LES,0.33850256259400646,63
