,size,treatment,animal,dimension,Embedding
0,1.7693670951431901,LES,10,1,body
1,1.0249924432566344,LES,10,2,body
2,0.1515874361517272,LES,10,3,body
3,-0.3086637623391225,LES,10,4,body
4,-0.8860168106557328,LES,10,5,body
5,-1.5567185793250555,LES,10,6,body
6,-2.0421142716379097,LES,10,7,body
7,-1.213689676141725,LES,10,8,body
8,-2.8945934522633836,LES,10,9,body
9,-3.6632515742874805,LES,10,10,body
10,-3.8972166608062517,LES,10,11,body
11,-5.974322739493868,LES,10,12,body
12,-6.639158692787015,LES,10,13,body
13,-6.959129206434039,LES,10,14,body
14,-6.721829098122391,LES,10,15,body
15,-7.7392946597194605,LES,10,16,body
16,-8.164658554281914,LES,10,17,body
17,-8.473802589154662,LES,10,18,body
18,-7.900951463535068,LES,10,19,body
19,-9.462640999262778,LES,10,20,body
20,-10.111534269190813,LES,10,21,body
21,-9.124188323536034,LES,10,22,body
22,-9.345931498968818,LES,10,23,body
23,-9.148155881190961,LES,10,24,body
24,-10.7697864772192,LES,10,25,body
25,-10.333618534666396,LES,10,26,body
26,-10.78747846476854,LES,10,27,body
27,-10.523970402416317,LES,10,28,body
28,-10.824602497524381,LES,10,29,body
29,-10.798486522289322,LES,10,30,body
30,-11.182130472849847,LES,10,31,body
31,-10.76753309610966,LES,10,32,body
32,-10.949942047533687,LES,10,33,body
33,-11.758261966559713,LES,10,34,body
34,-10.515707330731875,LES,10,35,body
35,-10.518597641781582,LES,10,36,body
36,-10.847817557844193,LES,10,37,body
37,-11.373768088429173,LES,10,38,body
38,-11.572840247272996,LES,10,39,body
39,-11.108921848987523,LES,10,40,body
40,-11.483818531848696,LES,10,41,body
41,-11.95716698609645,LES,10,42,body
42,-12.617778982637114,LES,10,43,body
43,-12.329960899176415,LES,10,44,body
44,-12.056532789415147,LES,10,45,body
45,-12.393481163759532,LES,10,46,body
46,-12.265011029317721,LES,10,47,body
47,-12.156579795086378,LES,10,48,body
48,-11.869504984040613,LES,10,49,body
49,-11.747321046824569,LES,10,50,body
50,-12.31642233978039,LES,10,51,body
51,-12.662587263639203,LES,10,52,body
52,-12.32855896628832,LES,10,53,body
53,-12.459860155893216,LES,10,54,body
54,-12.444967767401714,LES,10,55,body
55,-12.593705282779604,LES,10,56,body
56,-11.79701164422639,LES,10,57,body
57,-12.34709773513299,LES,10,58,body
58,-11.956526351460225,LES,10,59,body
59,-0.2466345364528469,LES,10,1,head
60,-0.2719627913799253,LES,10,2,head
61,-1.332637612283818,LES,10,3,head
62,-2.5708268311179427,LES,10,4,head
63,-2.343175763522463,LES,10,5,head
64,-2.944899741521595,LES,10,6,head
65,-3.0185370047714626,LES,10,7,head
66,-3.882299918136081,LES,10,8,head
67,-3.660343674898007,LES,10,9,head
68,-4.531040572544092,LES,10,10,head
69,-4.656603756945386,LES,10,11,head
70,-4.659598625084056,LES,10,12,head
71,-4.683057089451795,LES,10,13,head
72,-4.943992217343219,LES,10,14,head
73,-5.055077108808446,LES,10,15,head
74,-5.497151095477734,LES,10,16,head
75,-5.5902248406224455,LES,10,17,head
76,-5.250444423785334,LES,10,18,head
77,-5.480841500619819,LES,10,19,head
78,-5.481801585884848,LES,10,20,head
79,-5.692160810240481,LES,10,21,head
80,-6.09973932414979,LES,10,22,head
81,-6.106391953862395,LES,10,23,head
82,-5.923318304739806,LES,10,24,head
83,-6.144878026076494,LES,10,25,head
84,-6.435278524521965,LES,10,26,head
85,-6.719054637936358,LES,10,27,head
86,-7.125255603681272,LES,10,28,head
87,-6.7315855817165815,LES,10,29,head
88,-6.66866592682081,LES,10,30,head
89,-6.724343282162048,LES,10,31,head
90,-6.838359676168584,LES,10,32,head
91,-7.410891067258431,LES,10,33,head
92,-7.53425915273907,LES,10,34,head
93,-7.382106786744488,LES,10,35,head
94,-7.032264193421073,LES,10,36,head
95,-6.954582718654353,LES,10,37,head
96,-7.735630132972826,LES,10,38,head
97,-7.562814852762402,LES,10,39,head
98,-7.327827037448251,LES,10,40,head
99,-7.68174066661241,LES,10,41,head
100,-7.815315292751585,LES,10,42,head
101,-7.929013618073501,LES,10,43,head
102,-8.251646004283112,LES,10,44,head
103,-8.3209827585938,LES,10,45,head
104,-8.206451341871364,LES,10,46,head
105,-9.336058099066772,LES,10,47,head
106,-8.898509889915113,LES,10,48,head
107,-8.192410084529168,LES,10,49,head
108,-9.247339392269602,LES,10,50,head
109,-9.207307252781439,LES,10,51,head
110,-8.967444625971932,LES,10,52,head
111,-9.015675295151363,LES,10,53,head
112,-8.530256950934062,LES,10,54,head
113,-8.888802616427128,LES,10,55,head
114,-8.946005808768511,LES,10,56,head
115,-9.156939738565493,LES,10,57,head
116,-9.507577064790084,LES,10,58,head
117,-9.530897441400988,LES,10,59,head
