,delta,tau,fname
0,0.0,0,LES
1,0.21071174954247618,1,LES
2,0.3509486849143634,2,LES
3,0.473725781531037,3,LES
4,0.5713243533115833,4,LES
5,0.6519448045172554,5,LES
6,0.7285075145536469,6,LES
7,0.7999059301598794,7,LES
8,0.8568675239091611,8,LES
9,0.8958671048985751,9,LES
10,0.9219810540116351,10,LES
11,0.9382786449368842,11,LES
12,0.9471218361672038,12,LES
13,0.9535393268842935,13,LES
14,0.9596640779029322,14,LES
15,0.9648418478532197,15,LES
16,0.9690900498629045,16,LES
17,0.9718783352792773,17,LES
18,0.974087210990435,18,LES
19,0.9761318361049051,19,LES
20,0.9776243601900114,20,LES
21,0.9790629314471672,21,LES
22,0.9803294548941625,22,LES
23,0.981430269885212,23,LES
24,0.9824347090393242,24,LES
25,0.983281401718915,25,LES
26,0.9841129578072004,26,LES
27,0.9849290482384452,27,LES
28,0.98566196183936,28,LES
29,0.9863478939015995,29,LES
30,0.9870208919883218,30,LES
31,0.9875211580369385,31,LES
32,0.9880126659279252,32,LES
33,0.988494342436749,33,LES
34,0.9889598040526425,34,LES
35,0.9894181366568628,35,LES
36,0.9898366384205086,36,LES
37,0.9902549103262485,37,LES
38,0.990631580935357,38,LES
39,0.99100824932677,39,LES
40,0.9913421571857073,40,LES
41,0.9916758368101921,41,LES
42,0.9919678829722648,42,LES
43,0.9922221913980586,43,LES
44,0.9924718468348982,44,LES
45,0.9927177496318906,45,LES
46,0.9929624708527443,46,LES
47,0.9931881889283306,47,LES
48,0.993413376855209,48,LES
49,0.9936339694300211,49,LES
50,0.9938545105781141,50,LES
51,0.9940627799130305,51,LES
52,0.9942519633901354,52,LES
53,0.9944362302151545,53,LES
54,0.9946201567076687,54,LES
55,0.994802211095204,55,LES
56,0.9949840827708364,56,LES
57,0.9951634763183876,57,LES
58,0.9953413469564006,58,LES
59,0.995513658068869,59,LES
60,0.9956840476775639,60,LES
61,0.9958482277972599,61,LES
62,0.9960110505964634,62,LES
63,0.9961736887268967,63,LES
64,0.9963287587666669,64,LES
65,0.9964817994375744,65,LES
66,0.9966335399379436,66,LES
67,0.9967773301306362,67,LES
68,0.9969188668724975,68,LES
69,0.9970599752445243,69,LES
70,0.9972005453507895,70,LES
71,0.9973355836907434,71,LES
72,0.997468819098402,72,LES
73,0.9976010280539602,73,LES
74,0.9977331842277405,74,LES
75,0.9978601390345072,75,LES
76,0.9979869112939845,76,LES
77,0.9981011685002494,77,LES
78,0.9982127884270733,78,LES
79,0.9983241476675518,79,LES
80,0.9984337531079504,80,LES
81,0.9985427257961663,81,LES
82,0.9986486943879761,82,LES
83,0.9987535654416616,83,LES
84,0.998849287684389,84,LES
85,0.998943821703947,85,LES
86,0.9990343170449888,86,LES
87,0.9991158873537451,87,LES
88,0.9991972217207803,88,LES
89,0.9992771960171007,89,LES
90,0.9993568578358093,90,LES
91,0.9994336664824343,91,LES
92,0.9995104546591691,92,LES
93,0.9995843237944741,93,LES
94,0.9996580624791731,94,LES
95,0.9997232044763621,95,LES
96,0.99978636205319,96,LES
97,0.9998435245364032,97,LES
98,0.9998982646857872,98,LES
99,0.9999527334857937,99,LES
100,0.0,0,LES
101,0.17256177069309922,1,LES
102,0.2960002772872661,2,LES
103,0.41510890421851043,3,LES
104,0.5309188615764341,4,LES
105,0.6290468811517541,5,LES
106,0.7056950219567727,6,LES
107,0.7720191883191481,7,LES
108,0.8331896210209679,8,LES
109,0.8753504626492263,9,LES
110,0.8989613565881237,10,LES
111,0.9116129867260535,11,LES
112,0.9210698410082678,12,LES
113,0.9302996790809879,13,LES
114,0.936297383943439,14,LES
115,0.9418020325565933,15,LES
116,0.9472993351237733,16,LES
117,0.9506149194686401,17,LES
118,0.9539046949495276,18,LES
119,0.9571752133008111,19,LES
120,0.9598301434698877,20,LES
121,0.9623412272560184,21,LES
122,0.9641926119186075,22,LES
123,0.9660280897388155,23,LES
124,0.9676610554271323,24,LES
125,0.9690715695232113,25,LES
126,0.9704736578087424,26,LES
127,0.9718338716686765,27,LES
128,0.9731528316116655,28,LES
129,0.9744197561714694,29,LES
130,0.9756451211767511,30,LES
131,0.9768099323003465,31,LES
132,0.9779540440538574,32,LES
133,0.9789051144900772,33,LES
134,0.97985218082999,34,LES
135,0.980718454200176,35,LES
136,0.9815029237574698,36,LES
137,0.9822650235929229,37,LES
138,0.98297581725296,38,LES
139,0.9836649767236632,39,LES
140,0.9843540507022686,40,LES
141,0.9850303238285845,41,LES
142,0.9856951093789827,42,LES
143,0.9863252537416531,43,LES
144,0.9869290854627956,44,LES
145,0.9875293888045051,45,LES
146,0.988121195579137,46,LES
147,0.9886805519646509,47,LES
148,0.9891755811557603,48,LES
149,0.9896604004817348,49,LES
150,0.9901126668109155,50,LES
151,0.9905567522773924,51,LES
152,0.9909742159865301,52,LES
153,0.9913867258613424,53,LES
154,0.9917756115503003,54,LES
155,0.9921626023196094,55,LES
156,0.9925492430905861,56,LES
157,0.9929215108927008,57,LES
158,0.9932751948618868,58,LES
159,0.993614449377962,59,LES
160,0.993948132614752,60,LES
161,0.9942197183993006,61,LES
162,0.9944875361087101,62,LES
163,0.9947525728134459,63,LES
164,0.9950065216985722,64,LES
165,0.9952501748610157,65,LES
166,0.9954804745649912,66,LES
167,0.9956963980408404,67,LES
168,0.9959107330552036,68,LES
169,0.9961160298443873,69,LES
170,0.9963211776429115,70,LES
171,0.996524477124708,71,LES
172,0.9967162180256203,72,LES
173,0.9969054727626584,73,LES
174,0.9970931453312115,74,LES
175,0.9972661903963851,75,LES
176,0.9974351392168195,76,LES
177,0.9975980563660095,77,LES
178,0.9977609015345551,78,LES
179,0.9979176467037555,79,LES
180,0.9980713111202594,80,LES
181,0.998213536711614,81,LES
182,0.9983533445226632,82,LES
183,0.9984893683632753,83,LES
184,0.9986249059525396,84,LES
185,0.9987499035049319,85,LES
186,0.9988679539790446,86,LES
187,0.9989733073741527,87,LES
188,0.9990784828908016,88,LES
189,0.9991772740040776,89,LES
190,0.9992756639738638,90,LES
191,0.9993677926592318,91,LES
192,0.9994593819407727,92,LES
193,0.9995400494382888,93,LES
194,0.9996187410513143,94,LES
195,0.9996896375139098,95,LES
196,0.9997595605618254,96,LES
197,0.9998261345823967,97,LES
198,0.9998910548859272,98,LES
199,0.9999475212869607,99,LES
200,0.0,0,SKF
201,0.36194932214661474,1,SKF
202,0.5006691906865168,2,SKF
203,0.6143422257637476,3,SKF
204,0.7063483632954758,4,SKF
205,0.7808451406238539,5,SKF
206,0.8371022060737069,6,SKF
207,0.8862412955026836,7,SKF
208,0.9248046326485213,8,SKF
209,0.9532090079770271,9,SKF
210,0.972853914893134,10,SKF
211,0.9835910300031806,11,SKF
212,0.9882477761035126,12,SKF
213,0.9902140622276067,13,SKF
214,0.9915986715314009,14,SKF
215,0.9929769689746754,15,SKF
216,0.9940446340723679,16,SKF
217,0.9948433165798217,17,SKF
218,0.9953448516055116,18,SKF
219,0.9957867806012615,19,SKF
220,0.9961897796647347,20,SKF
221,0.9965122726393525,21,SKF
222,0.9967876385764036,22,SKF
223,0.9969861399974892,23,SKF
224,0.9971740613652141,24,SKF
225,0.9973347543694455,25,SKF
226,0.997483881409176,26,SKF
227,0.9976173581930461,27,SKF
228,0.9977281730140223,28,SKF
229,0.9978356900145746,29,SKF
230,0.9979304943866574,30,SKF
231,0.9980216705794889,31,SKF
232,0.9981046601811836,32,SKF
233,0.9981867686179047,33,SKF
234,0.9982606103478577,34,SKF
235,0.9983343831675836,35,SKF
236,0.998404863477832,36,SKF
237,0.9984729350248515,37,SKF
238,0.9985386185029486,38,SKF
239,0.9985983358474588,39,SKF
240,0.998658032552799,40,SKF
241,0.9987074584498782,41,SKF
242,0.9987567154941543,42,SKF
243,0.9988045506755484,43,SKF
244,0.9988520884176328,44,SKF
245,0.9988953535454319,45,SKF
246,0.9989366940664287,46,SKF
247,0.9989777765504207,47,SKF
248,0.9990174295788062,48,SKF
249,0.9990568131360006,49,SKF
250,0.999092257281783,50,SKF
251,0.9991276413112296,51,SKF
252,0.9991618514513906,52,SKF
253,0.9991958455634022,53,SKF
254,0.9992276946010821,54,SKF
255,0.9992595386948955,55,SKF
256,0.9992897111198191,56,SKF
257,0.9993185042320346,57,SKF
258,0.9993465341101233,58,SKF
259,0.9993730076244661,59,SKF
260,0.9993994749962465,60,SKF
261,0.9994256500999252,61,SKF
262,0.9994515369313313,62,SKF
263,0.9994749807161679,63,SKF
264,0.9994983943647349,64,SKF
265,0.9995217810173795,65,SKF
266,0.9995446337144801,66,SKF
267,0.9995663808120754,67,SKF
268,0.9995881154977181,68,SKF
269,0.9996089150160958,69,SKF
270,0.9996285485262685,70,SKF
271,0.9996475655438913,71,SKF
272,0.9996660523761273,72,SKF
273,0.9996844178127846,73,SKF
274,0.9997002912525356,74,SKF
275,0.9997160626309419,75,SKF
276,0.9997313172025759,76,SKF
277,0.9997465492928139,77,SKF
278,0.9997617495498976,78,SKF
279,0.9997766244402975,79,SKF
280,0.9997912390435282,80,SKF
281,0.9998053107761806,81,SKF
282,0.9998190025388435,82,SKF
283,0.9998320579803385,83,SKF
284,0.9998450836777132,84,SKF
285,0.9998575060073791,85,SKF
286,0.9998698351225023,86,SKF
