,delta,tau,fname
0,0.0,0,Shuffle
1,0.019100359266788696,1,Shuffle
2,0.030144551404552068,2,Shuffle
3,0.04117691572586476,3,Shuffle
4,0.05200197556936272,4,Shuffle
5,0.06281345593409321,5,Shuffle
6,0.07359343659469272,6,Shuffle
7,0.08432516591098184,7,Shuffle
8,0.09491150031766667,8,Shuffle
9,0.10549034778595132,9,Shuffle
10,0.11599664794134902,10,Shuffle
11,0.1265022159735185,11,Shuffle
12,0.13697925744761869,12,Shuffle
13,0.14744589159456759,13,Shuffle
14,0.15788166370878992,14,Shuffle
15,0.1683115581378409,15,Shuffle
16,0.17866143822140032,16,Shuffle
17,0.18901097298264297,17,Shuffle
18,0.1993522184210082,18,Shuffle
19,0.20969207844054868,19,Shuffle
20,0.2200268502033106,20,Shuffle
21,0.2303552361330222,21,Shuffle
22,0.24064035553576413,22,Shuffle
23,0.2509204186424451,23,Shuffle
24,0.2611780105837304,24,Shuffle
25,0.27140598617039685,25,Shuffle
26,0.28162980000892873,26,Shuffle
27,0.29184404535631814,27,Shuffle
28,0.3020562140592807,28,Shuffle
29,0.31226586030638365,29,Shuffle
30,0.32242399556914086,30,Shuffle
31,0.33257753228810255,31,Shuffle
32,0.3427287956009703,32,Shuffle
33,0.35287143810770616,33,Shuffle
34,0.36300992739009746,34,Shuffle
35,0.3731475750552975,35,Shuffle
36,0.38326816409163716,36,Shuffle
37,0.39338104444659666,37,Shuffle
38,0.4034803167807894,38,Shuffle
39,0.4135755153480993,39,Shuffle
40,0.4236457509472246,40,Shuffle
41,0.4337122128281866,41,Shuffle
42,0.44377312726196994,42,Shuffle
43,0.45383384995859116,43,Shuffle
44,0.46389069938056765,44,Shuffle
45,0.47394027723931315,45,Shuffle
46,0.48398089296637015,46,Shuffle
47,0.49401785572381185,47,Shuffle
48,0.5040481432890993,48,Shuffle
49,0.514071690723488,49,Shuffle
50,0.5240922727412498,50,Shuffle
51,0.5341072129615858,51,Shuffle
52,0.5441045411362977,52,Shuffle
53,0.5540799465961194,53,Shuffle
54,0.564037322706105,54,Shuffle
55,0.5739939303059867,55,Shuffle
56,0.5839479962307011,56,Shuffle
57,0.5938701721351601,57,Shuffle
58,0.6037836152362773,58,Shuffle
59,0.6136608182824963,59,Shuffle
60,0.6235356689853316,60,Shuffle
61,0.6333610512144808,61,Shuffle
62,0.6431810632723134,62,Shuffle
63,0.652993174015097,63,Shuffle
64,0.6627948112233882,64,Shuffle
65,0.6725916407729831,65,Shuffle
66,0.6823675857000113,66,Shuffle
67,0.6921171219014103,67,Shuffle
68,0.7018656645649264,68,Shuffle
69,0.7115935286484899,69,Shuffle
70,0.7213149686923733,70,Shuffle
71,0.7310053222899201,71,Shuffle
72,0.7406831282184533,72,Shuffle
73,0.750342282640387,73,Shuffle
74,0.7599440213165896,74,Shuffle
75,0.7695296172057324,75,Shuffle
76,0.7790957134954972,76,Shuffle
77,0.7886523833838868,77,Shuffle
78,0.798204450050637,78,Shuffle
79,0.8077563613091733,79,Shuffle
80,0.8173050529031646,80,Shuffle
81,0.8268183105521817,81,Shuffle
82,0.8362743566617872,82,Shuffle
83,0.8457046932310748,83,Shuffle
84,0.8551217232438738,84,Shuffle
85,0.864510382375861,85,Shuffle
86,0.8738934623244046,86,Shuffle
87,0.8832242821229511,87,Shuffle
88,0.8925547098523195,88,Shuffle
89,0.9018672350897952,89,Shuffle
90,0.9111671542523586,90,Shuffle
91,0.9204623799491495,91,Shuffle
92,0.9297497694842516,92,Shuffle
93,0.9388105737159371,93,Shuffle
94,0.9478706492581243,94,Shuffle
95,0.9568852577149553,95,Shuffle
96,0.9658029463955768,96,Shuffle
97,0.9744228771241782,97,Shuffle
98,0.9830050004055906,98,Shuffle
99,0.9915242348214847,99,Shuffle
100,0.0,0,Shuffle
101,0.032548610715852924,1,Shuffle
102,0.04374242453735385,2,Shuffle
103,0.05492503737610732,3,Shuffle
104,0.06588209427962458,4,Shuffle
105,0.076778900744429,5,Shuffle
106,0.08758946622755556,6,Shuffle
107,0.09836285186435562,7,Shuffle
108,0.10912634700122442,8,Shuffle
109,0.11983346424193665,9,Shuffle
110,0.13053569913394297,10,Shuffle
111,0.14118442783157925,11,Shuffle
112,0.15174517070299146,12,Shuffle
113,0.16229723316418407,13,Shuffle
114,0.17268008342299007,14,Shuffle
115,0.18305011883852038,15,Shuffle
116,0.19341292153261228,16,Shuffle
117,0.20375372005121262,17,Shuffle
118,0.21405081845188906,18,Shuffle
119,0.22434544602901732,19,Shuffle
120,0.23462280829685334,20,Shuffle
121,0.24488923367203327,21,Shuffle
122,0.2551466822565285,22,Shuffle
123,0.265400887757053,23,Shuffle
124,0.27563735155528396,24,Shuffle
125,0.28585029009121793,25,Shuffle
126,0.2960302292693699,26,Shuffle
127,0.3061977728820569,27,Shuffle
128,0.31634435103957154,28,Shuffle
129,0.3264783513843616,29,Shuffle
130,0.33659638587269614,30,Shuffle
131,0.3467108108177279,31,Shuffle
132,0.35680908798854194,32,Shuffle
133,0.3668968631436017,33,Shuffle
134,0.3769756489651511,34,Shuffle
135,0.386993458065526,35,Shuffle
136,0.3969732180327018,36,Shuffle
137,0.4069414389370755,37,Shuffle
138,0.41683847835129484,38,Shuffle
139,0.42673004306218765,39,Shuffle
140,0.4365670816441385,40,Shuffle
141,0.4463978049714627,41,Shuffle
142,0.456192865037865,42,Shuffle
143,0.46597917289126395,43,Shuffle
144,0.4757604409059319,44,Shuffle
145,0.4855366827604873,45,Shuffle
146,0.4952851445623578,46,Shuffle
147,0.5050297885017007,47,Shuffle
148,0.514765352265415,48,Shuffle
149,0.5244870916218898,49,Shuffle
150,0.5341679718653592,50,Shuffle
151,0.5438338213466399,51,Shuffle
152,0.553488509464789,52,Shuffle
153,0.563134413621467,53,Shuffle
154,0.5727647264940646,54,Shuffle
155,0.5823877789260486,55,Shuffle
156,0.5919816486013477,56,Shuffle
157,0.6015670736706608,57,Shuffle
158,0.6111473354447853,58,Shuffle
159,0.6207233931805932,59,Shuffle
160,0.630286418792127,60,Shuffle
161,0.6398303704975856,61,Shuffle
162,0.6493662895101711,62,Shuffle
163,0.6588761384389672,63,Shuffle
164,0.6683633864766128,64,Shuffle
165,0.6778466733754345,65,Shuffle
166,0.6873172417199069,66,Shuffle
167,0.696784669302972,67,Shuffle
168,0.7062492392797401,68,Shuffle
169,0.7157042474468587,69,Shuffle
170,0.7251207501671898,70,Shuffle
171,0.7345302183394976,71,Shuffle
172,0.743928298305616,72,Shuffle
173,0.7533081252702167,73,Shuffle
174,0.7626735378021849,74,Shuffle
175,0.7720280342749228,75,Shuffle
176,0.7813593493258774,76,Shuffle
177,0.7906859382237916,77,Shuffle
178,0.8000107202692017,78,Shuffle
179,0.8092998164042693,79,Shuffle
180,0.8185786505370329,80,Shuffle
181,0.8278511482453479,81,Shuffle
182,0.837097408841702,82,Shuffle
183,0.8463373604124255,83,Shuffle
184,0.855570346947616,84,Shuffle
185,0.8647925594104934,85,Shuffle
186,0.8740054418719201,86,Shuffle
187,0.8832106800667161,87,Shuffle
188,0.8923717317018643,88,Shuffle
189,0.9014992613507555,89,Shuffle
190,0.9106256629270065,90,Shuffle
191,0.9197385581029414,91,Shuffle
192,0.9288051834077163,92,Shuffle
193,0.937870588513448,93,Shuffle
194,0.9469169447290521,94,Shuffle
195,0.9559324172384744,95,Shuffle
196,0.9649321583256665,96,Shuffle
197,0.9738914154153143,97,Shuffle
198,0.9828377179622707,98,Shuffle
199,0.9914330807360201,99,Shuffle
200,0.0,0,Shuffle
201,0.10654743031457138,1,Shuffle
202,0.11688756193709726,2,Shuffle
203,0.12720200897086503,3,Shuffle
204,0.13711810925056056,4,Shuffle
205,0.14701012784798875,5,Shuffle
206,0.15679359585305266,6,Shuffle
207,0.16657682025866818,7,Shuffle
208,0.17634399164766792,8,Shuffle
209,0.18610128777337448,9,Shuffle
210,0.19573561806924383,10,Shuffle
211,0.20534465109699632,11,Shuffle
212,0.2149409352943541,12,Shuffle
213,0.22453541508465422,13,Shuffle
214,0.23412269125893795,14,Shuffle
215,0.2436828714488133,15,Shuffle
216,0.2532336506198894,16,Shuffle
217,0.2627611584569843,17,Shuffle
218,0.27228644094802695,18,Shuffle
219,0.28176318071527257,19,Shuffle
220,0.2912380417046075,20,Shuffle
221,0.30069136897876764,21,Shuffle
222,0.3101410508033844,22,Shuffle
223,0.31958626232054077,23,Shuffle
224,0.3289896244530797,24,Shuffle
225,0.3383825261882597,25,Shuffle
226,0.34775245261346904,26,Shuffle
227,0.3570977426001025,27,Shuffle
228,0.36643776218920615,28,Shuffle
229,0.37576346026040774,29,Shuffle
230,0.38507180580940437,30,Shuffle
231,0.39436315636263003,31,Shuffle
232,0.4036267431983032,32,Shuffle
233,0.4128850783132167,33,Shuffle
234,0.42213343007123166,34,Shuffle
235,0.4313656911910263,35,Shuffle
236,0.4405971919729495,36,Shuffle
237,0.44981961836696244,37,Shuffle
238,0.4590401163826366,38,Shuffle
239,0.4682424098152823,39,Shuffle
240,0.4774426115741461,40,Shuffle
241,0.48662919258032034,41,Shuffle
242,0.4957832764777166,42,Shuffle
243,0.504934350553342,43,Shuffle
244,0.5140718649770192,44,Shuffle
245,0.5231960181642453,45,Shuffle
246,0.5322964547009931,46,Shuffle
247,0.5413923495206525,47,Shuffle
248,0.5504824765382986,48,Shuffle
249,0.5595713576541647,49,Shuffle
250,0.5686581220111138,50,Shuffle
251,0.577719327119631,51,Shuffle
252,0.5867745021598137,52,Shuffle
253,0.5957960760506175,53,Shuffle
254,0.6048149768354026,54,Shuffle
255,0.6137974591945402,55,Shuffle
256,0.6227509685927969,56,Shuffle
257,0.6316967266172744,57,Shuffle
258,0.6406332062866904,58,Shuffle
259,0.6495478668625252,59,Shuffle
260,0.6584590368037854,60,Shuffle
261,0.6672891649319084,61,Shuffle
262,0.6761175054107582,62,Shuffle
263,0.684942995124046,63,Shuffle
264,0.6937663050861819,64,Shuffle
265,0.7025842497062609,65,Shuffle
266,0.7113902322963842,66,Shuffle
267,0.7201827955466407,67,Shuffle
268,0.7289346438892366,68,Shuffle
269,0.7376744401793032,69,Shuffle
270,0.7464101661128557,70,Shuffle
271,0.7551331319302771,71,Shuffle
272,0.7638500996246042,72,Shuffle
273,0.7725539274154175,73,Shuffle
274,0.7812524229840404,74,Shuffle
275,0.7899235488787626,75,Shuffle
276,0.7985904985756593,76,Shuffle
277,0.8072458864381974,77,Shuffle
278,0.8159002703370855,78,Shuffle
279,0.8245447543210035,79,Shuffle
280,0.8331869521793932,80,Shuffle
281,0.8418054588422951,81,Shuffle
282,0.8504157123312502,82,Shuffle
283,0.8590177424256691,83,Shuffle
284,0.867611975696491,84,Shuffle
285,0.8761570502401623,85,Shuffle
286,0.8846989876466104,86,Shuffle
287,0.8931918242632596,87,Shuffle
288,0.9016563159073065,88,Shuffle
289,0.9101176916529005,89,Shuffle
290,0.9185413830231978,90,Shuffle
291,0.9268090246329733,91,Shuffle
292,0.9350749168414054,92,Shuffle
293,0.9433085410060348,93,Shuffle
294,0.9515224447813245,94,Shuffle
295,0.9597220645969285,95,Shuffle
296,0.9679085472872597,96,Shuffle
297,0.9760911495686156,97,Shuffle
298,0.9842302100446255,98,Shuffle
299,0.9921158054800477,99,Shuffle
300,0.0,0,Shuffle
301,0.021268817897339403,1,Shuffle
302,0.032410046165987166,2,Shuffle
303,0.04354004694932794,3,Shuffle
304,0.05461849156457034,4,Shuffle
305,0.0656790392207686,5,Shuffle
306,0.07672405433685006,6,Shuffle
307,0.08776558901021018,7,Shuffle
308,0.09879083486125737,8,Shuffle
309,0.10979721356776721,9,Shuffle
310,0.12067300400467872,10,Shuffle
311,0.13153075358446256,11,Shuffle
312,0.14219422376012927,12,Shuffle
313,0.15279148991278912,13,Shuffle
314,0.16338299281261437,14,Shuffle
315,0.17388469836379675,15,Shuffle
316,0.1843790245775854,16,Shuffle
317,0.19486974852537653,17,Shuffle
318,0.20525080381575203,18,Shuffle
319,0.21560141221762874,19,Shuffle
320,0.2258976410341508,20,Shuffle
321,0.23617248779183514,21,Shuffle
322,0.2464456805730629,22,Shuffle
323,0.2566926644018001,23,Shuffle
324,0.26693780376676957,24,Shuffle
325,0.2771702054450641,25,Shuffle
326,0.28736653056454264,26,Shuffle
327,0.29754392822804443,27,Shuffle
328,0.30771820249716797,28,Shuffle
329,0.31787205008740754,29,Shuffle
330,0.3280055427333705,30,Shuffle
331,0.33813752970186545,31,Shuffle
332,0.34826256645463677,32,Shuffle
333,0.3583727304803485,33,Shuffle
334,0.3684633494712411,34,Shuffle
335,0.37855077313199587,35,Shuffle
336,0.38860315958593605,36,Shuffle
337,0.3986036207623552,37,Shuffle
338,0.4085851596224491,38,Shuffle
339,0.41856136574004216,39,Shuffle
340,0.4285255786528714,40,Shuffle
341,0.4384797957476323,41,Shuffle
342,0.4484153958564597,42,Shuffle
343,0.4583420346784748,43,Shuffle
344,0.46826424885113443,44,Shuffle
345,0.47814806990838055,45,Shuffle
346,0.48802884835832216,46,Shuffle
347,0.497882230340545,47,Shuffle
348,0.5077264229512644,48,Shuffle
349,0.5175584215418298,49,Shuffle
350,0.527387703168539,50,Shuffle
351,0.5372117525165765,51,Shuffle
352,0.547035144994791,52,Shuffle
353,0.5568438529729498,53,Shuffle
354,0.5666350953756699,54,Shuffle
355,0.5763818758617069,55,Shuffle
356,0.5861241116714784,56,Shuffle
357,0.5958324485463458,57,Shuffle
358,0.6055398489725307,58,Shuffle
359,0.6152376266806711,59,Shuffle
360,0.6249292343984189,60,Shuffle
361,0.6346194140875853,61,Shuffle
362,0.6443037654298669,62,Shuffle
363,0.6539772588234573,63,Shuffle
364,0.6636163419828425,64,Shuffle
365,0.6732349020660117,65,Shuffle
366,0.6828497415866316,66,Shuffle
367,0.6924539491002598,67,Shuffle
368,0.7020420218918643,68,Shuffle
369,0.7116286576017213,69,Shuffle
370,0.7212012682661737,70,Shuffle
371,0.7307708023712891,71,Shuffle
372,0.740339076556078,72,Shuffle
373,0.7498580731949932,73,Shuffle
