,delta,tau,fname
0,-1.0162510710265749,0,SKF
1,-1.9752987136154185,1,SKF
2,-2.1744290648637747,2,SKF
3,-2.3858999918568724,3,SKF
4,-2.5969994118694553,4,SKF
5,-2.8778236377882522,5,SKF
6,-3.013100442199647,6,SKF
7,-3.255453268746004,7,SKF
8,-3.5612120848182545,8,SKF
9,-3.9299371642824115,9,SKF
10,-4.534048837711513,10,SKF
11,-5.369438336474197,11,SKF
12,-6.231608731684736,12,SKF
13,-6.582337270261385,13,SKF
14,-6.586906278250406,14,SKF
15,-6.842281166559904,15,SKF
16,-7.13254705355311,16,SKF
17,-7.597837111146954,17,SKF
18,-7.724361331890821,18,SKF
19,-7.816576319908104,19,SKF
20,-8.039429206096488,20,SKF
21,-8.197409664682285,21,SKF
22,-8.524714298741142,22,SKF
23,-8.57948693941014,23,SKF
24,-8.736014819264904,24,SKF
25,-8.81071199964818,25,SKF
26,-8.921582998842057,26,SKF
27,-9.10765002927332,27,SKF
28,-9.137861578227511,28,SKF
29,-9.263695030749721,29,SKF
30,-9.30271673847602,30,SKF
31,-9.396795238803062,31,SKF
32,-9.407469785262009,32,SKF
33,-9.513586539644143,33,SKF
34,-9.514520190594009,34,SKF
35,-9.560177174411375,35,SKF
36,-9.594951243871773,36,SKF
37,-9.630663139029453,37,SKF
38,-9.725888051950475,38,SKF
39,-9.726233726022166,39,SKF
40,-9.915036038759837,40,SKF
41,-9.918458169586907,41,SKF
42,-9.947749176762697,42,SKF
43,-9.953986592228773,43,SKF
44,-10.048163610041708,44,SKF
45,-10.093667401060763,45,SKF
46,-10.099928707543299,46,SKF
47,-10.135343234855801,47,SKF
48,-10.142162158857962,48,SKF
49,-10.247552458755035,49,SKF
50,-10.24924998519915,50,SKF
51,-10.282988461904377,51,SKF
52,-10.289323224471334,52,SKF
53,-10.354503390534942,53,SKF
54,-10.35465863071106,54,SKF
55,-10.408582132696145,55,SKF
56,-10.455374358610603,56,SKF
57,-10.482239542113046,57,SKF
58,-10.539365783524202,58,SKF
59,-10.539597837157146,59,SKF
60,-10.550701840232502,60,SKF
61,-10.561776158478803,61,SKF
62,-10.660905137150344,62,SKF
63,-10.662191433543027,63,SKF
64,-10.66334509813893,64,SKF
65,-10.686441412554728,65,SKF
66,-10.736030253228419,66,SKF
67,-10.736601156813572,67,SKF
68,-10.780580726440778,68,SKF
69,-10.838272748917017,69,SKF
70,-10.870176315305116,70,SKF
71,-10.898451850337658,71,SKF
72,-10.905040102369375,72,SKF
73,-11.050863301415651,73,SKF
74,-11.057313753935796,74,SKF
75,-11.090631320558664,75,SKF
76,-11.092106155692617,76,SKF
77,-11.094198216857809,77,SKF
78,-11.115835974633962,78,SKF
79,-11.13348930785302,79,SKF
80,-11.171342549259524,80,SKF
81,-11.198716171443543,81,SKF
82,-11.246305538311692,82,SKF
83,-11.2485864305118,83,SKF
84,-11.296014925304581,84,SKF
85,-11.303547009530256,85,SKF
86,-11.316599519888113,86,SKF
87,-11.318509862016697,87,SKF
88,-11.34950241387636,88,SKF
89,-11.36872162943486,89,SKF
90,-11.45338822409225,90,SKF
91,-11.50636759463121,91,SKF
92,-11.529105048536062,92,SKF
93,-11.543439042644941,93,SKF
94,-11.769957776005842,94,SKF
95,-11.779472233136358,95,SKF
96,-11.829039723268004,96,SKF
97,-11.84964349050833,97,SKF
98,-11.953399659004562,98,SKF
99,-12.016600692926882,99,SKF
100,-1.3001677529865783,0,SHM
101,-1.7373935105474978,1,SHM
102,-2.038836348572894,2,SHM
103,-2.2989168403643547,3,SHM
104,-2.665639837193831,4,SHM
105,-2.81175122022673,5,SHM
106,-2.877407016526149,6,SHM
107,-3.1869723203723126,7,SHM
108,-3.51502870435251,8,SHM
109,-3.9405648235618362,9,SHM
110,-4.560726486224494,10,SHM
111,-5.326577444986631,11,SHM
112,-5.864829279666323,12,SHM
113,-5.944732352866653,13,SHM
114,-6.207926246111452,14,SHM
115,-6.349351211646122,15,SHM
116,-6.459510959471038,16,SHM
117,-6.5428161482739995,17,SHM
118,-6.686895404005129,18,SHM
119,-7.016844906008119,19,SHM
120,-7.023405826233178,20,SHM
121,-7.176701836897916,21,SHM
122,-7.182564813801495,22,SHM
123,-7.394812503606799,23,SHM
124,-7.453577461829642,24,SHM
125,-7.461828452094317,25,SHM
126,-7.668884440037684,26,SHM
127,-7.681658067642349,27,SHM
128,-7.733413482261804,28,SHM
129,-7.734196756734296,29,SHM
130,-7.936835391132947,30,SHM
131,-7.953383806828523,31,SHM
132,-8.055641682732817,32,SHM
133,-8.223959513484871,33,SHM
134,-8.237601356336711,34,SHM
135,-8.279132212993636,35,SHM
136,-8.279828648026488,36,SHM
137,-8.368431083692496,37,SHM
138,-8.38752156649588,38,SHM
139,-8.55307631381874,39,SHM
140,-8.554704911670123,40,SHM
141,-8.606595906141735,41,SHM
142,-8.672834335833455,42,SHM
143,-8.684941372717592,43,SHM
144,-8.698762998213969,44,SHM
145,-8.701442023430422,45,SHM
146,-8.756653407933682,46,SHM
147,-8.763073827642359,47,SHM
148,-8.779770719056819,48,SHM
149,-8.78332614328358,49,SHM
150,-8.826986775200634,50,SHM
151,-8.840922383248675,51,SHM
152,-8.843121306345026,52,SHM
153,-8.844267002455735,53,SHM
154,-8.860990854822374,54,SHM
155,-8.866038514174697,55,SHM
156,-8.868748546441841,56,SHM
157,-8.883789710454536,57,SHM
158,-8.932755670911941,58,SHM
159,-8.936237042165482,59,SHM
160,-8.939360230600075,60,SHM
161,-8.939471750690336,61,SHM
162,-9.057833651346408,62,SHM
163,-9.081592288891683,63,SHM
164,-9.114618565780521,64,SHM
165,-9.123291130575124,65,SHM
166,-9.129953838395792,66,SHM
167,-9.15122491331486,67,SHM
168,-9.162098047507634,68,SHM
169,-9.167935944817701,69,SHM
170,-9.213995464117803,70,SHM
171,-9.214970863942108,71,SHM
172,-9.21615715319289,72,SHM
173,-9.238278942138917,73,SHM
174,-9.298443125250484,74,SHM
175,-9.454901992430957,75,SHM
176,-9.466565920488241,76,SHM
177,-9.49535727748919,77,SHM
178,-9.553548611547216,78,SHM
179,-9.554493073941064,79,SHM
180,-9.570858577450096,80,SHM
181,-9.57184334291553,81,SHM
182,-9.606162420426312,82,SHM
183,-9.612514168538238,83,SHM
184,-9.630850113200587,84,SHM
185,-9.637557158639623,85,SHM
186,-9.656820731716275,86,SHM
187,-9.658966919224733,87,SHM
188,-9.696101276748466,88,SHM
189,-9.736371071058294,89,SHM
190,-9.809005305006668,90,SHM
191,-9.844171907957891,91,SHM
192,-9.913349699749535,92,SHM
193,-9.943044884127325,93,SHM
194,-9.976233853489942,94,SHM
195,-9.980003305137945,95,SHM
196,-10.010599145024397,96,SHM
197,-10.035236956520539,97,SHM
198,-10.137060355932851,98,SHM
199,-10.349058766123584,99,SHM
200,-2.0081160085310152,0,D1A
201,-2.0999302149323027,1,D1A
202,-2.1917035402642955,2,D1A
203,-2.2452718022408913,3,D1A
204,-2.2840960138454167,4,D1A
205,-2.4452565473059393,5,D1A
206,-2.642486965124597,6,D1A
207,-2.812989316872262,7,D1A
208,-3.107760043320798,8,D1A
209,-3.4906395417959466,9,D1A
210,-3.9667239239401972,10,D1A
211,-4.358001923902174,11,D1A
212,-4.450281915266509,12,D1A
213,-4.677857889311311,13,D1A
214,-4.830115937907539,14,D1A
215,-4.9075953544932185,15,D1A
216,-5.2853524353353505,16,D1A
217,-5.391209208432841,17,D1A
218,-5.510200551580369,18,D1A
219,-5.6785376201494575,19,D1A
220,-5.7299734817959935,20,D1A
221,-5.789855752867081,21,D1A
222,-5.8393056291381225,22,D1A
223,-6.162920440316436,23,D1A
224,-6.235714222535151,24,D1A
225,-6.236794962117175,25,D1A
226,-6.323241175670496,26,D1A
227,-6.357128497898875,27,D1A
228,-6.538236272203572,28,D1A
229,-6.563169182512319,29,D1A
230,-6.744586811640498,30,D1A
231,-6.761685342310025,31,D1A
232,-6.831009953228658,32,D1A
233,-7.047533487890306,33,D1A
234,-7.062896981171673,34,D1A
235,-7.122893764426875,35,D1A
236,-7.1511925865300485,36,D1A
237,-7.397333939874366,37,D1A
238,-7.42775140002032,38,D1A
239,-7.45488077283595,39,D1A
240,-7.462686913616461,40,D1A
241,-7.487414336959949,41,D1A
242,-7.5533996067556535,42,D1A
243,-7.570760711675731,43,D1A
244,-7.713158500274962,44,D1A
245,-7.715767481173853,45,D1A
246,-7.818955242477884,46,D1A
247,-7.820970207880658,47,D1A
248,-7.88165890361005,48,D1A
249,-7.909793803683728,49,D1A
250,-7.964171209146479,50,D1A
251,-7.976251710373628,51,D1A
252,-7.987424012463376,52,D1A
253,-7.996207326973917,53,D1A
254,-8.023446626496298,54,D1A
255,-8.066645870637606,55,D1A
256,-8.12721829670193,56,D1A
257,-8.128447865850495,57,D1A
258,-8.130741685517846,58,D1A
259,-8.146759937307166,59,D1A
260,-8.166600653837518,60,D1A
261,-8.169546469362318,61,D1A
262,-8.20550455479096,62,D1A
263,-8.219547355856898,63,D1A
264,-8.246968033927839,64,D1A
265,-8.294291403018711,65,D1A
266,-8.30962596437182,66,D1A
267,-8.316355336255729,67,D1A
268,-8.333522661027162,68,D1A
269,-8.350028907486916,69,D1A
270,-8.375975775798572,70,D1A
271,-8.38198200276462,71,D1A
272,-8.405830370109678,72,D1A
273,-8.407730924585824,73,D1A
274,-8.413176179656219,74,D1A
275,-8.440513515569751,75,D1A
276,-8.50138216681844,76,D1A
277,-8.52100970697295,77,D1A
278,-8.524789780893611,78,D1A
279,-8.550968498026313,79,D1A
280,-8.604476150332264,80,D1A
281,-8.604846156201784,81,D1A
282,-8.64347255835129,82,D1A
283,-8.6452656501786,83,D1A
284,-8.725348050187051,84,D1A
285,-8.735210748753783,85,D1A
286,-8.802786623582534,86,D1A
287,-8.819512832270425,87,D1A
288,-8.822512987524009,88,D1A
289,-8.82358726691789,89,D1A
290,-8.838179501990213,90,D1A
291,-8.901702211674117,91,D1A
292,-8.951295272019287,92,D1A
293,-8.957539094563593,93,D1A
294,-8.983457368404054,94,D1A
295,-8.984304119035642,95,D1A
296,-8.987968501403476,96,D1A
297,-9.091376953327387,97,D1A
298,-9.186550630106748,98,D1A
299,-9.194232000214171,99,D1A
300,-1.7773657535678868,0,LES
301,-2.0701094439066505,1,LES
302,-2.2446226904117896,2,LES
303,-2.3369521084234512,3,LES
304,-2.3375896512506724,4,LES
305,-2.4112738229693718,5,LES
306,-2.6085357091623456,6,LES
307,-2.8096147357450434,7,LES
308,-3.0746183293623672,8,LES
309,-3.538087120605347,9,LES
310,-4.085507134232236,10,LES
311,-4.686619668915957,11,LES
312,-5.004904255788943,12,LES
313,-5.023683756184193,13,LES
314,-5.21639600011818,14,LES
315,-5.331289397984003,15,LES
316,-5.367376388740229,16,LES
317,-5.499154667726592,17,LES
318,-5.667110629817043,18,LES
319,-5.687817481857331,19,LES
320,-5.776665159439678,20,LES
321,-5.991032807421136,21,LES
322,-6.124313781886386,22,LES
323,-6.182887566543587,23,LES
324,-6.233652888978909,24,LES
325,-6.412111317822942,25,LES
326,-6.580718810788329,26,LES
327,-6.611063716484547,27,LES
328,-6.708975424169673,28,LES
329,-6.774574693169753,29,LES
330,-6.808609977247293,30,LES
331,-6.82361033948648,31,LES
332,-6.916235698822277,32,LES
333,-7.039711680446662,33,LES
334,-7.045455968852348,34,LES
335,-7.158926893818118,35,LES
336,-7.197979332393952,36,LES
337,-7.410813138248753,37,LES
338,-7.486618121595162,38,LES
339,-7.55226973086457,39,LES
340,-7.670005787467514,40,LES
341,-7.708600490638281,41,LES
342,-7.719881668220863,42,LES
343,-7.7210551274166,43,LES
344,-7.728369809047086,44,LES
345,-7.752539761359312,45,LES
