,delta,tau,fname
0,-1.5572641954055693,0,LES
1,-1.9644218913469016,1,LES
2,-2.0973847903003895,2,LES
3,-2.3268924190662004,3,LES
4,-2.5180029246122717,4,LES
5,-2.5696451349143943,5,LES
6,-2.639479600271708,6,LES
7,-2.865378032120947,7,LES
8,-3.244204376771386,8,LES
9,-3.6452856586441276,9,LES
10,-4.1167379780893185,10,LES
11,-4.72810746857208,11,LES
12,-5.048728091719468,12,LES
13,-5.095417173395769,13,LES
14,-5.263380826934938,14,LES
15,-5.46125944210422,15,LES
16,-5.88232841816268,16,LES
17,-6.115271620881362,17,LES
18,-6.192540824399785,18,LES
19,-6.507286575403035,19,LES
20,-6.5441048404638895,20,LES
21,-6.671479575472235,21,LES
22,-6.81170447255529,22,LES
23,-6.9033259488519,23,LES
24,-7.074172763165536,24,LES
25,-7.092211807264137,25,LES
26,-7.110985386536724,26,LES
27,-7.218482733536797,27,LES
28,-7.2847319697788455,28,LES
29,-7.303768071232548,29,LES
30,-7.600370503822055,30,LES
31,-7.6180325635989075,31,LES
32,-7.638237812750331,32,LES
33,-7.672480922448427,33,LES
34,-7.687915427325003,34,LES
35,-7.778829453836187,35,LES
36,-7.779378844717358,36,LES
37,-7.884139468320935,37,LES
38,-7.884145355963769,38,LES
39,-8.004645474492351,39,LES
40,-8.005329233451382,40,LES
41,-8.1385986789008,41,LES
42,-8.276962752802284,42,LES
43,-8.295428843407104,43,LES
44,-8.31057423429499,44,LES
45,-8.31539086935652,45,LES
46,-8.396223790566946,46,LES
47,-8.398575273799786,47,LES
48,-8.419193110767832,48,LES
49,-8.419426267820805,49,LES
50,-8.47667843649092,50,LES
51,-8.57279323547209,51,LES
52,-8.599125714813747,52,LES
53,-8.600974377381144,53,LES
54,-8.611205082917806,54,LES
55,-8.61220919851514,55,LES
56,-8.625928575813653,56,LES
57,-8.634454024620789,57,LES
58,-8.666208921626541,58,LES
59,-8.677422927266473,59,LES
60,-8.714546441990944,60,LES
61,-8.72284806995308,61,LES
62,-8.723982883833006,62,LES
63,-8.771633673621686,63,LES
64,-8.784806848972355,64,LES
65,-8.793338730516977,65,LES
66,-8.847155316027694,66,LES
67,-8.862951214788964,67,LES
68,-8.86598236687025,68,LES
69,-8.869804216661404,69,LES
70,-8.909951820187532,70,LES
71,-8.923393011919648,71,LES
72,-8.931126890342977,72,LES
73,-8.931526200031144,73,LES
74,-8.9716793870666,74,LES
75,-8.973118313733725,75,LES
76,-9.077058455650121,76,LES
77,-9.100410968187408,77,LES
78,-9.102749181817119,78,LES
79,-9.118623546009674,79,LES
80,-9.124413273958524,80,LES
81,-9.15236781144023,81,LES
82,-9.162779022628111,82,LES
83,-9.254059865117496,83,LES
84,-9.266550792923564,84,LES
85,-9.3102121887853,85,LES
86,-9.414045225489438,86,LES
87,-9.416941911971877,87,LES
88,-9.433805270910828,88,LES
89,-9.437720149583443,89,LES
90,-9.474193337886161,90,LES
91,-9.474459878427895,91,LES
92,-9.51321547212304,92,LES
93,-9.514983002326886,93,LES
94,-9.638941098639274,94,LES
95,-9.669877734925437,95,LES
96,-9.769612762648178,96,LES
97,-9.812913125381286,97,LES
98,-9.817882497168405,98,LES
99,-9.959708458072207,99,LES
100,-1.7570000156355057,0,LES
101,-2.092012169233024,1,LES
102,-2.1277193708927866,2,LES
103,-2.155804729993124,3,LES
104,-2.321482330610922,4,LES
105,-2.568529929600776,5,LES
106,-2.7132009480177177,6,LES
107,-2.79409133199398,7,LES
108,-3.1662634122286817,8,LES
109,-3.74604706587818,9,LES
110,-4.369969207452463,10,LES
111,-4.661015479525299,11,LES
112,-4.685313774205224,12,LES
113,-5.116378405859464,13,LES
114,-5.202162341334417,14,LES
115,-5.203497749380802,15,LES
116,-5.709121397917248,16,LES
117,-5.716935959424851,17,LES
118,-5.722806789423405,18,LES
119,-5.931336926300203,19,LES
120,-5.98704083172866,20,LES
121,-6.291821453588753,21,LES
122,-6.300450438887952,22,LES
123,-6.417357476655591,23,LES
124,-6.563801033896868,24,LES
125,-6.56979252121745,25,LES
126,-6.60011334164512,26,LES
127,-6.630911774935512,27,LES
128,-6.671162921796433,28,LES
129,-6.704516515872499,29,LES
130,-6.755196330777441,30,LES
131,-6.77312670416016,31,LES
132,-6.957922432735987,32,LES
133,-6.962141414525517,33,LES
134,-7.051310029254445,34,LES
135,-7.150502791778171,35,LES
136,-7.17943299320478,36,LES
137,-7.2491283811986715,37,LES
138,-7.2800378613322385,38,LES
139,-7.280161921734264,39,LES
140,-7.298913530508968,40,LES
141,-7.316046049920611,41,LES
142,-7.369561617733007,42,LES
143,-7.412215006227763,43,LES
144,-7.418075460989364,44,LES
145,-7.432330370561326,45,LES
146,-7.48872374678248,46,LES
147,-7.610893825196083,47,LES
148,-7.631734260194961,48,LES
149,-7.701239327805129,49,LES
150,-7.71949352199128,50,LES
151,-7.781312941672516,51,LES
152,-7.793250413537439,52,LES
153,-7.85222511625076,53,LES
154,-7.857109717133412,54,LES
155,-7.858014536386572,55,LES
156,-7.8958970645359265,56,LES
157,-7.947106785974746,57,LES
158,-7.988759947399266,58,LES
159,-8.00531840784084,59,LES
160,-8.21123250330889,60,LES
161,-8.22520399765722,61,LES
162,-8.235642233132552,62,LES
163,-8.27837755085727,63,LES
164,-8.319764809306465,64,LES
165,-8.3761290365252,65,LES
166,-8.44058649152728,66,LES
167,-8.447970279362272,67,LES
168,-8.491053873692787,68,LES
169,-8.491779870187813,69,LES
170,-8.500830386292503,70,LES
171,-8.55936557171246,71,LES
172,-8.572416635375586,72,LES
173,-8.580811770214073,73,LES
174,-8.661958505055768,74,LES
175,-8.68591472657222,75,LES
176,-8.722268773556877,76,LES
177,-8.722710694808908,77,LES
178,-8.760889197424511,78,LES
179,-8.780739446884901,79,LES
180,-8.858096089455657,80,LES
181,-8.875241856697555,81,LES
182,-8.902680388972973,82,LES
183,-8.906261544571416,83,LES
184,-8.9872164017159,84,LES
185,-9.044398278238187,85,LES
186,-9.158190191293487,86,LES
187,-9.159880016221116,87,LES
188,-9.222502903854167,88,LES
189,-9.226571692168433,89,LES
190,-9.292324204260524,90,LES
191,-9.298196306877475,91,LES
192,-9.425174820742349,92,LES
193,-9.449973977145792,93,LES
194,-9.554290018540465,94,LES
195,-9.568115236097753,95,LES
196,-9.617196138030655,96,LES
197,-9.642350139872933,97,LES
198,-9.781864768673078,98,LES
199,-9.855102936496044,99,LES
200,-1.0162510710265749,0,SKF
201,-1.9752987136154185,1,SKF
202,-2.1744290648637747,2,SKF
203,-2.3858999918568724,3,SKF
