scorer,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000
bodyparts,headR,headR,headR,headL,headL,headL,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,246.8855438232422,336.2204284667969,0.9999997615814209,227.4781494140625,328.0847473144531,0.9999995231628418,249.42877197265625,325.8841247558594,0.9999979734420776
1,246.85389709472656,336.3413391113281,0.9999998211860657,226.86309814453125,328.8985595703125,0.9999997019767761,249.49070739746094,325.9703063964844,0.9999982714653015
2,245.34666442871094,334.8688049316406,0.9999997615814209,224.98094177246094,329.5003356933594,0.9999996423721313,249.0952606201172,325.7401428222656,0.9999973773956299
3,243.656005859375,332.06378173828125,0.9999994039535522,223.06944274902344,329.6080017089844,0.9999997615814209,248.7596435546875,326.4706726074219,0.9999915957450867
4,241.08114624023438,331.4510498046875,0.9999996423721313,220.58091735839844,328.0606384277344,0.9999996423721313,246.82579040527344,327.1588439941406,0.9999890923500061
5,240.47573852539062,332.3843688964844,0.9999993443489075,220.81785583496094,328.3356018066406,0.9999997019767761,245.62525939941406,327.2882080078125,0.999995231628418
6,241.070556640625,332.97064208984375,0.9999994039535522,221.52198791503906,328.9652099609375,0.9999997615814209,245.31236267089844,327.0502624511719,0.9999969005584717
7,242.6819305419922,335.8851623535156,0.9999999403953552,222.00250244140625,330.7878723144531,0.9999997615814209,245.31167602539062,326.61651611328125,0.9999982118606567
8,243.38946533203125,335.49774169921875,0.9999999403953552,222.5939178466797,331.3753356933594,0.9999998211860657,245.8233184814453,326.0268249511719,0.9999985098838806
9,242.30429077148438,332.7220458984375,0.999999463558197,221.682373046875,329.5867614746094,0.9999997615814209,246.5089874267578,326.0289001464844,0.9999964237213135
10,238.87466430664062,330.7550048828125,0.9999986886978149,218.22052001953125,328.0517883300781,0.9999992251396179,244.94100952148438,326.5086364746094,0.999991774559021
11,236.5133514404297,331.0721740722656,0.9999982118606567,217.5828094482422,327.7839050292969,0.9999996423721313,242.4596710205078,327.0291748046875,0.999990701675415
12,235.8750762939453,331.6932067871094,0.9999982118606567,217.02708435058594,328.03814697265625,0.9999997615814209,241.22312927246094,326.6971740722656,0.9999923706054688
13,236.6406707763672,332.3414611816406,0.9999982118606567,216.7141876220703,328.16259765625,0.9999997615814209,241.01760864257812,326.1359558105469,0.9999954700469971
14,237.60888671875,332.7790832519531,0.9999988079071045,216.43319702148438,328.52490234375,0.9999997615814209,241.08163452148438,326.22161865234375,0.9999964237213135
15,238.0947265625,333.25054931640625,0.9999990463256836,216.9551544189453,329.37738037109375,0.9999998807907104,240.94024658203125,325.7402038574219,0.9999970197677612
16,238.0172882080078,332.66241455078125,0.9999983310699463,216.63470458984375,329.9933776855469,0.9999999403953552,241.44537353515625,325.7813415527344,0.9999966621398926
17,237.7299346923828,332.4858093261719,0.9999983310699463,216.62652587890625,329.9253234863281,0.9999998807907104,241.11891174316406,326.01104736328125,0.9999957084655762
18,237.5336151123047,333.13916015625,0.9999982118606567,216.78106689453125,329.2195739746094,0.9999998807907104,241.30584716796875,325.8121337890625,0.9999957084655762
19,237.25634765625,331.64141845703125,0.9999985098838806,216.92657470703125,328.11077880859375,0.9999997615814209,241.9591522216797,325.5787048339844,0.9999933242797852
20,235.53811645507812,330.71881103515625,0.9999976754188538,216.186767578125,326.7018737792969,0.9999998807907104,241.79383850097656,325.5811767578125,0.9999927282333374
21,233.57159423828125,330.0885009765625,0.9999948740005493,214.23472595214844,325.0414733886719,1.0,240.92384338378906,325.8767395019531,0.999991774559021
22,232.7980499267578,328.723388671875,0.9999961853027344,211.48716735839844,324.8247375488281,1.0,239.9145965576172,325.6057434082031,0.9999906420707703
23,231.6442108154297,328.9769287109375,0.9999979138374329,208.4490509033203,324.56878662109375,1.0,238.63844299316406,325.59564208984375,0.9999880790710449
24,231.55181884765625,328.697021484375,0.9999986886978149,207.75331115722656,324.3798522949219,1.0,239.1783447265625,324.61663818359375,0.9999896287918091
25,231.5659637451172,327.4476318359375,0.9999979734420776,208.2909698486328,324.24560546875,0.9999999403953552,239.76734924316406,324.52813720703125,0.9999911785125732
26,231.31092834472656,325.3168640136719,0.9999991655349731,208.6527557373047,322.49072265625,1.0,240.49636840820312,324.1383972167969,0.9999915361404419
27,231.30010986328125,323.1156311035156,0.9999993443489075,208.5428009033203,320.9552917480469,1.0,240.93321228027344,324.264404296875,0.9999880194664001
28,230.9635467529297,322.20318603515625,0.9999995827674866,208.255126953125,320.017333984375,0.9999999403953552,240.73890686035156,325.0718994140625,0.9999843239784241
29,229.2135009765625,321.37750244140625,0.9999996423721313,206.4810028076172,319.2080078125,1.0,240.2490692138672,324.8943786621094,0.9999873638153076
30,228.8927764892578,322.1099853515625,0.9999996423721313,206.16502380371094,318.8539123535156,0.9999999403953552,239.86846923828125,325.07928466796875,0.9999874830245972
31,230.33975219726562,321.8144226074219,0.9999994039535522,207.2459716796875,318.8214416503906,0.9999999403953552,241.26719665527344,324.2291259765625,0.9999939799308777
32,231.0211639404297,320.1920166015625,0.9999991655349731,208.19346618652344,317.78009033203125,0.9999997615814209,241.80807495117188,324.9205017089844,0.9999903440475464
33,231.0590362548828,318.41943359375,0.9999982118606567,207.51133728027344,317.18743896484375,0.9999997615814209,243.243408203125,326.3901672363281,0.999992847442627
34,229.89251708984375,313.57110595703125,0.9999991059303284,207.7754364013672,314.968505859375,0.9999997019767761,242.8362274169922,325.7344970703125,0.9999948143959045
35,229.86744689941406,311.8546447753906,0.9999995827674866,206.75120544433594,313.1923828125,0.9999996423721313,245.14414978027344,327.36480712890625,0.9999996423721313
36,228.12432861328125,307.0154724121094,0.9999998211860657,205.54031372070312,309.98687744140625,1.0,245.5829620361328,327.55511474609375,0.9999997019767761
37,229.41897583007812,301.65106201171875,1.0,206.62548828125,306.3504333496094,1.0,243.63143920898438,328.0086669921875,0.9999997615814209
38,227.03990173339844,296.8413391113281,0.9999999403953552,205.1982421875,303.7597351074219,1.0,244.3525390625,326.02490234375,0.9999998807907104
39,220.17440795898438,294.3673095703125,1.0,201.22793579101562,304.00433349609375,0.9999998807907104,188.95111083984375,342.5040283203125,0.9999998211860657
40,211.76747131347656,293.9133605957031,1.0,195.70010375976562,307.4086608886719,1.0,190.41290283203125,372.41632080078125,0.9998162984848022
41,202.8367156982422,296.58465576171875,0.9999997615814209,192.44528198242188,313.3470153808594,0.9999998807907104,203.1367950439453,378.0185241699219,0.9999998807907104
42,196.73968505859375,300.73883056640625,1.0,189.0007781982422,320.70172119140625,0.9999998807907104,214.30972290039062,379.6031494140625,0.9999999403953552
43,191.63088989257812,305.03253173828125,0.9999998807907104,188.67935180664062,326.0149841308594,0.9999998807907104,225.66221618652344,374.94036865234375,0.9999996423721313
44,188.4802703857422,308.4156799316406,1.0,189.06105041503906,332.1107177734375,0.9999997615814209,239.13247680664062,370.41583251953125,1.0
45,184.31610107421875,317.18548583984375,0.9999998211860657,190.8355712890625,339.1632995605469,0.9999998807907104,251.715087890625,358.6286315917969,1.0
46,185.96295166015625,329.50970458984375,0.9999997615814209,199.99241638183594,348.7118225097656,0.9999999403953552,259.11297607421875,349.3582458496094,1.0
47,191.43893432617188,339.6114807128906,1.0,211.0264129638672,351.76531982421875,0.9999999403953552,265.3320617675781,342.6014404296875,1.0
48,195.25111389160156,344.7173767089844,0.9999998211860657,215.39727783203125,353.31768798828125,0.9999998807907104,271.0299377441406,333.57672119140625,0.9999998211860657
49,201.65843200683594,351.8218994140625,0.9999999403953552,221.41461181640625,357.02587890625,1.0,277.3040466308594,325.20245361328125,1.0
50,210.79891967773438,359.0312194824219,0.9999998807907104,232.3443145751953,359.5563659667969,0.9999990463256836,278.0434875488281,318.2840881347656,1.0
51,222.99020385742188,365.6808776855469,0.9999997615814209,242.3394012451172,360.9945983886719,0.9999997615814209,279.05279541015625,310.78125,1.0
52,236.08877563476562,368.90570068359375,0.9999998807907104,255.422119140625,358.63018798828125,0.9999999403953552,277.59326171875,305.5198059082031,1.0
53,248.54310607910156,368.47869873046875,0.9999997615814209,262.6123352050781,352.0061340332031,0.9999998807907104,275.5477294921875,300.86334228515625,0.9999999403953552
54,257.9399108886719,364.62890625,1.0,268.5800476074219,345.7655334472656,0.9999997019767761,273.2564697265625,297.51593017578125,1.0
55,261.5614929199219,361.281494140625,0.9999998807907104,269.5343933105469,340.7978820800781,1.0,269.98040771484375,292.4493408203125,1.0
56,267.6277770996094,357.0379638671875,1.0,271.5393371582031,336.53912353515625,0.9999999403953552,262.76959228515625,288.2508239746094,1.0
57,272.4411315917969,351.069580078125,0.9999998211860657,273.0835876464844,330.26983642578125,0.9999997615814209,257.33441162109375,285.796142578125,1.0
58,278.83770751953125,342.9887390136719,0.9999997615814209,273.37969970703125,323.5765686035156,0.9999998807907104,254.53097534179688,283.1780700683594,0.9999998807907104
