scorer,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000
bodyparts,headR,headR,headR,headL,headL,headL,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,507.76513671875,171.47293090820312,0.9999996423721313,521.3369140625,146.49327087402344,0.9999994039535522,429.64642333984375,108.93698120117188,0.9999997615814209
1,509.00872802734375,171.8633270263672,0.9999995231628418,522.8424682617188,147.25656127929688,0.9999994039535522,429.8160705566406,110.49400329589844,0.9999997615814209
2,509.51812744140625,172.65025329589844,0.9999992847442627,523.23681640625,147.43736267089844,0.9999994039535522,430.64849853515625,111.55899047851562,0.9999997615814209
3,510.07354736328125,173.2106475830078,0.9999991655349731,522.9849853515625,148.47044372558594,0.9999992847442627,431.2559509277344,112.06083679199219,0.9999997615814209
4,509.8004150390625,174.12454223632812,0.999998927116394,523.3226318359375,149.41542053222656,0.9999992847442627,432.4743347167969,111.58809661865234,0.9999995827674866
5,509.16082763671875,175.10169982910156,0.9999994039535522,523.2625732421875,150.06436157226562,0.9999992251396179,432.6706237792969,111.22877502441406,0.9999997019767761
6,508.4518127441406,175.45169067382812,0.9999996423721313,523.0185546875,151.26498413085938,0.9999991655349731,432.5724182128906,111.24829864501953,0.9999997019767761
7,508.12322998046875,176.26487731933594,0.9999998211860657,522.85009765625,152.3303680419922,0.9999985694885254,432.4434814453125,111.03244018554688,0.9999997615814209
8,507.3271484375,176.22921752929688,0.9999997615814209,522.1140747070312,153.1399383544922,0.9999971389770508,432.6804504394531,110.94973754882812,0.9999997615814209
9,506.2398376464844,175.59539794921875,0.9999997615814209,522.3887939453125,153.21986389160156,0.9999977350234985,432.5772705078125,110.76102447509766,0.9999997615814209
10,505.4295959472656,175.39508056640625,0.9999992847442627,523.3287353515625,154.1539306640625,0.9999990463256836,432.4389953613281,110.85071563720703,0.9999998211860657
11,504.7576904296875,175.33633422851562,0.9999992847442627,523.5462036132812,155.11410522460938,0.9999995231628418,432.0933532714844,111.01880645751953,0.9999997615814209
12,504.77667236328125,175.50865173339844,0.999999463558197,523.5538330078125,155.49081420898438,0.9999995231628418,431.9764099121094,111.02945709228516,0.9999997615814209
13,505.2613830566406,175.71376037597656,0.9999995827674866,524.1638793945312,155.8905792236328,0.9999995231628418,432.015869140625,111.82350158691406,0.9999997615814209
14,506.1599426269531,176.04147338867188,0.9999997615814209,524.944091796875,156.66261291503906,0.9999995231628418,432.08978271484375,111.29131317138672,0.9999997019767761
15,506.4891052246094,176.61537170410156,0.9999998807907104,525.3373413085938,157.6442413330078,0.9999994039535522,432.48992919921875,111.13459014892578,0.9999997615814209
16,506.7363586425781,176.87461853027344,0.9999998807907104,526.1148681640625,158.01846313476562,0.9999991059303284,432.6926574707031,111.05506896972656,0.9999998211860657
17,507.1542053222656,177.42498779296875,0.9999998807907104,526.679443359375,158.7186737060547,0.9999985694885254,432.9425354003906,111.18946075439453,0.9999997615814209
18,507.222900390625,177.96304321289062,0.9999999403953552,526.8494262695312,159.36398315429688,0.9999990463256836,433.588134765625,111.41934204101562,0.9999998807907104
19,506.8827209472656,178.88873291015625,0.9999998807907104,526.7766723632812,161.04957580566406,0.9999997615814209,434.92376708984375,111.88970947265625,0.9999999403953552
20,506.4884338378906,180.16561889648438,0.9999998807907104,527.198974609375,162.1850128173828,0.9999997615814209,435.85394287109375,111.52368927001953,0.9999998807907104
21,506.5077209472656,181.5984649658203,0.9999998211860657,527.2435913085938,164.05128479003906,0.9999996423721313,436.84246826171875,111.54711151123047,0.9999998807907104
22,506.63702392578125,183.02627563476562,0.9999997615814209,527.6934204101562,166.01841735839844,0.9999992847442627,438.7374267578125,111.69683837890625,0.9999998807907104
23,506.82421875,184.73336791992188,0.9999992847442627,527.3561401367188,168.3607940673828,0.9999988675117493,440.31427001953125,111.66012573242188,0.9999996423721313
24,507.19964599609375,187.0832977294922,0.9999995827674866,527.1778564453125,169.93824768066406,0.9999992847442627,442.209716796875,111.11729431152344,0.999999463558197
25,507.1797790527344,188.96604919433594,0.9999994039535522,527.1929321289062,171.1770782470703,0.9999995231628418,444.1166687011719,111.38542175292969,0.9999997019767761
26,507.01251220703125,190.40745544433594,0.9999991655349731,526.7620849609375,172.35594177246094,0.999999463558197,445.58026123046875,111.943115234375,0.9999997615814209
27,507.14544677734375,191.7447967529297,0.9999997019767761,526.9579467773438,173.2437744140625,0.9999992847442627,446.9490966796875,112.29469299316406,0.9999997615814209
28,506.8501281738281,193.05445861816406,0.9999998807907104,526.862060546875,174.26670837402344,0.999998927116394,448.79541015625,111.40471649169922,0.9999996423721313
29,506.4825439453125,193.98069763183594,0.9999998807907104,526.3003540039062,175.4270782470703,0.9999990463256836,450.5598449707031,110.93827819824219,0.9999997615814209
30,506.6723327636719,195.4117889404297,1.0,526.341552734375,176.9073028564453,0.9999996423721313,452.421875,110.77372741699219,0.9999998807907104
31,507.0777282714844,196.66159057617188,0.9999998807907104,527.0375366210938,177.85293579101562,0.9999995827674866,454.3470153808594,110.29784393310547,0.9999998807907104
32,507.54913330078125,197.80657958984375,0.9999999403953552,527.5074462890625,178.5311737060547,0.999999463558197,456.1800537109375,110.2547607421875,0.9999998211860657
33,507.7555847167969,198.1307830810547,0.9999999403953552,527.3138427734375,179.0135955810547,0.9999995231628418,457.6548156738281,110.32255554199219,0.9999992847442627
34,507.8939514160156,198.5286865234375,0.9999998807907104,527.642578125,179.3539276123047,0.9999994039535522,458.8869934082031,109.8963623046875,0.9999992847442627
35,508.6507568359375,198.44947814941406,0.9999998211860657,527.6381225585938,178.87179565429688,0.9999994039535522,459.6022033691406,109.2955093383789,0.9999995231628418
36,509.0085144042969,198.4010467529297,0.9999998211860657,527.7771606445312,178.52748107910156,0.9999994039535522,459.6712341308594,109.24735260009766,0.9999995231628418
37,509.02154541015625,198.1266326904297,0.9999998807907104,527.7183837890625,177.9878387451172,0.9999992847442627,459.7430419921875,109.41057586669922,0.9999995827674866
38,509.0948181152344,197.79934692382812,0.9999998807907104,527.6356811523438,177.39646911621094,0.9999992251396179,459.8915710449219,109.56005096435547,0.9999995231628418
39,508.87554931640625,197.44287109375,0.9999999403953552,527.566162109375,177.41978454589844,0.9999990463256836,459.77911376953125,110.12730407714844,0.9999995827674866
40,508.77716064453125,196.96389770507812,0.9999999403953552,527.2669677734375,176.82481384277344,0.9999989867210388,459.730712890625,110.16779327392578,0.9999996423721313
41,508.451416015625,196.63926696777344,0.9999998807907104,527.1547241210938,176.2930450439453,0.9999984502792358,459.7930603027344,110.15937805175781,0.9999996423721313
42,508.4032897949219,196.11160278320312,1.0,526.9703979492188,176.02886962890625,0.9999982714653015,459.6438903808594,109.62047576904297,0.9999995231628418
43,508.4716491699219,196.2496795654297,1.0,527.38623046875,175.53147888183594,0.9999979734420776,459.4848327636719,109.5969467163086,0.9999995231628418
44,508.57244873046875,196.2384490966797,0.9999998807907104,527.29296875,175.321533203125,0.9999974966049194,459.7673645019531,109.72814178466797,0.9999995231628418
45,508.7475891113281,196.20736694335938,1.0,527.3836669921875,175.02671813964844,0.9999974370002747,459.55560302734375,109.68761444091797,0.999999463558197
46,508.3944091796875,196.07708740234375,0.9999998807907104,527.194580078125,174.97930908203125,0.9999964237213135,459.5240478515625,109.79779052734375,0.9999995231628418
47,508.25689697265625,195.83477783203125,0.9999998807907104,526.540283203125,174.9489288330078,0.9999968409538269,459.5146484375,109.61346435546875,0.9999995231628418
48,508.21380615234375,195.78648376464844,0.9999998807907104,526.3555908203125,175.391845703125,0.9999964833259583,459.60052490234375,109.60845184326172,0.9999996423721313
49,508.1592712402344,195.7567596435547,1.0,526.2409057617188,175.11618041992188,0.9999974966049194,459.6144104003906,109.70854187011719,0.9999995231628418
50,508.0185241699219,195.6547393798828,0.9999998807907104,526.2767333984375,175.20065307617188,0.9999978542327881,459.7735900878906,109.72557067871094,0.9999995231628418
51,507.916748046875,195.6258544921875,0.9999998807907104,526.2315063476562,175.30821228027344,0.9999983310699463,459.7653503417969,109.61195373535156,0.9999995827674866
52,508.0456848144531,195.7332763671875,1.0,526.3829345703125,175.57391357421875,0.9999983906745911,459.6513671875,109.60511779785156,0.9999996423721313
53,507.8770751953125,195.65170288085938,1.0,526.3700561523438,175.44540405273438,0.9999983310699463,459.7643737792969,109.54303741455078,0.9999995231628418
54,507.9091491699219,195.51742553710938,1.0,526.4279174804688,175.25604248046875,0.9999983310699463,459.65673828125,109.61891174316406,0.9999995231628418
55,507.8103332519531,195.29132080078125,0.9999998807907104,526.4163208007812,175.3428192138672,0.9999983310699463,459.627197265625,109.49726104736328,0.9999995827674866
56,507.3743591308594,195.1031036376953,0.9999998807907104,526.086669921875,175.65280151367188,0.999998927116394,459.7360534667969,109.49679565429688,0.9999995827674866
57,507.1402587890625,195.0482635498047,0.9999998807907104,526.07666015625,175.0783233642578,0.9999982118606567,459.62139892578125,109.38768768310547,0.9999995231628418
