scorer,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000
bodyparts,headR,headR,headR,headL,headL,headL,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,316.4127197265625,342.64019775390625,0.9999998807907104,305.8096008300781,323.3680419921875,0.9999998807907104,216.76597595214844,358.72955322265625,1.0
1,316.8141784667969,337.40533447265625,0.9999998807907104,303.4211730957031,318.7090148925781,0.9999994039535522,217.08401489257812,359.09722900390625,1.0
2,315.7374267578125,332.648681640625,0.9999999403953552,301.0556335449219,314.7967834472656,0.9999992847442627,217.6051788330078,359.984375,1.0
3,317.24871826171875,326.5761413574219,0.9999999403953552,299.4992980957031,310.0046691894531,0.9999999403953552,218.47021484375,361.4502868652344,0.9999999403953552
4,316.23687744140625,321.8931884765625,0.9999998807907104,296.72076416015625,306.9504699707031,0.9999998807907104,220.14151000976562,361.8572998046875,0.9999999403953552
5,313.8729248046875,315.6181640625,0.9999997615814209,294.7141418457031,303.2801513671875,0.9999999403953552,223.1383514404297,362.343017578125,0.9999998807907104
6,313.0829772949219,312.3934631347656,0.9999994039535522,294.2432861328125,298.9131164550781,0.9999999403953552,226.0824737548828,364.4363098144531,1.0
7,314.216064453125,308.7655029296875,0.9999998807907104,294.95465087890625,295.4574279785156,0.9999998807907104,228.6040802001953,366.643310546875,0.9999999403953552
8,314.6709289550781,306.8877868652344,0.9999998807907104,295.6527099609375,292.22613525390625,0.9999998807907104,231.2708282470703,369.7283630371094,1.0
9,315.2021179199219,306.03985595703125,0.9999999403953552,296.77191162109375,290.8802490234375,0.9999998807907104,234.3894805908203,371.90484619140625,1.0
10,316.6907043457031,304.03228759765625,0.9999998807907104,298.3749694824219,288.51226806640625,0.9999998807907104,236.95396423339844,373.8570556640625,1.0
11,317.7264709472656,302.9038391113281,0.9999997615814209,300.2977294921875,286.5760803222656,0.9999995827674866,239.7146453857422,376.5968322753906,0.9999999403953552
12,319.5449523925781,302.2159118652344,0.9999996423721313,303.951171875,285.5325622558594,0.9999996423721313,243.6937713623047,378.51654052734375,1.0
13,322.0533752441406,301.75469970703125,0.9999998807907104,307.2042541503906,284.4551086425781,1.0,247.3094482421875,379.7383728027344,1.0
14,324.9539489746094,300.4154357910156,1.0,308.5592041015625,283.66802978515625,0.9999998807907104,249.9851837158203,380.06951904296875,0.9999998807907104
15,325.0881652832031,298.5454406738281,1.0,307.21832275390625,283.268310546875,1.0,252.51153564453125,379.5788879394531,0.9999998807907104
16,324.0494079589844,294.81005859375,0.9999998807907104,305.7333984375,281.50439453125,1.0,254.416748046875,379.44775390625,0.9999998807907104
17,323.3796081542969,291.7837219238281,0.9999998807907104,304.2482604980469,279.3612976074219,0.9999996423721313,256.9076843261719,379.76611328125,1.0
18,320.8502502441406,288.8627624511719,0.9999997615814209,300.99761962890625,277.50616455078125,0.9999999403953552,260.6834411621094,380.0052795410156,1.0
19,318.7176818847656,284.6131286621094,0.9999998807907104,297.6263122558594,275.0437316894531,0.9999998807907104,263.88104248046875,380.9150695800781,1.0
20,314.50909423828125,280.3866882324219,0.9999997615814209,292.1257629394531,273.8951721191406,1.0,266.80804443359375,380.7206726074219,0.9999998807907104
21,309.2599792480469,277.0875244140625,0.9999998807907104,285.003173828125,274.8108825683594,1.0,269.9696350097656,379.31768798828125,0.9999998807907104
22,303.5455017089844,273.36285400390625,1.0,278.7436218261719,275.7344970703125,1.0,272.8216247558594,376.8479309082031,1.0
23,297.01580810546875,269.9681701660156,0.9999996423721313,273.2701110839844,274.08636474609375,1.0,274.6114807128906,374.7092590332031,1.0
24,291.4656066894531,266.64935302734375,0.9999998807907104,267.9640808105469,273.1252746582031,1.0,274.5015563964844,371.05169677734375,1.0
25,284.85858154296875,263.9334411621094,0.9999999403953552,262.36328125,272.7822265625,1.0,272.9720153808594,367.3412170410156,0.9999998807907104
26,278.61773681640625,262.8636779785156,0.9999998807907104,255.43896484375,272.0958557128906,0.9999998807907104,272.5853271484375,365.0400695800781,1.0
27,271.35223388671875,260.8796691894531,0.9999999403953552,249.40260314941406,271.74810791015625,0.9999997615814209,272.27410888671875,363.6219482421875,1.0
28,263.34942626953125,257.8206481933594,0.9999998807907104,243.00482177734375,269.9801940917969,0.9999998807907104,271.80859375,362.2874755859375,0.9999998807907104
29,257.086669921875,254.43862915039062,0.9999998807907104,237.80136108398438,267.25970458984375,0.9999997615814209,272.4448547363281,359.9046630859375,0.9999998807907104
30,251.7024688720703,252.43170166015625,0.9999998211860657,232.55596923828125,264.2737731933594,0.9999996423721313,272.7555236816406,356.82861328125,1.0
31,246.1111297607422,250.19984436035156,1.0,227.56614685058594,261.6502990722656,1.0,275.0669250488281,352.5793762207031,1.0
32,242.18617248535156,246.88587951660156,0.9999997615814209,223.35020446777344,258.5915222167969,1.0,277.212158203125,348.46258544921875,0.9999999403953552
33,238.0570068359375,243.8779296875,1.0,218.10482788085938,256.22613525390625,0.9999998807907104,278.7144775390625,343.3154296875,0.9999998807907104
34,233.1099395751953,241.69760131835938,0.9999995827674866,214.104248046875,253.5725555419922,0.9999998807907104,280.2725830078125,337.72686767578125,0.9999999403953552
35,229.0775604248047,238.55245971679688,0.9999998807907104,209.48915100097656,249.40972900390625,0.9999998807907104,281.8038024902344,332.1744689941406,0.9999997019767761
36,224.57850646972656,235.44210815429688,1.0,205.2919921875,245.63458251953125,0.9999999403953552,282.2962951660156,324.0589904785156,1.0
37,221.9752197265625,231.72669982910156,0.9999997615814209,201.63995361328125,241.9512481689453,0.9999999403953552,281.4605407714844,316.93304443359375,0.999999463558197
38,218.7572784423828,228.32318115234375,0.9999998807907104,199.41851806640625,239.32113647460938,0.9999998807907104,278.9004821777344,309.66046142578125,0.9999998807907104
39,214.46481323242188,224.50657653808594,0.9999998807907104,196.27989196777344,235.9410858154297,1.0,275.58184814453125,306.9847412109375,1.0
40,211.04571533203125,220.6974334716797,1.0,191.81072998046875,233.14883422851562,0.9999998807907104,271.74334716796875,305.6658630371094,0.9999998211860657
41,207.1238555908203,217.15371704101562,0.9999992847442627,188.0591583251953,229.5969696044922,0.9999998211860657,267.23980712890625,302.4679260253906,0.9999992251396179
42,202.78785705566406,213.2875518798828,0.9999998807907104,183.4021453857422,225.88900756835938,0.9999999403953552,262.4012451171875,298.7599792480469,0.9999997615814209
43,199.55935668945312,210.2384796142578,0.9999997019767761,180.05613708496094,223.1807861328125,1.0,257.9007873535156,295.2261047363281,0.9999996423721313
44,196.65054321289062,206.33712768554688,1.0,176.95343017578125,218.232421875,0.9999998807907104,253.3656005859375,293.10308837890625,1.0
45,192.75196838378906,201.4387969970703,0.9999997615814209,173.17959594726562,212.39016723632812,0.9999999403953552,247.516357421875,290.88677978515625,0.9999997019767761
46,190.315185546875,196.73883056640625,0.9999999403953552,169.56459045410156,207.2053985595703,0.9999997615814209,244.0142822265625,287.46826171875,0.9999996423721313
47,187.4647674560547,191.97802734375,0.9999998211860657,166.4304962158203,202.266357421875,0.9999998807907104,240.1416473388672,284.7758483886719,0.9999997019767761
48,183.491455078125,188.8462677001953,0.9999998807907104,163.60594177246094,199.63241577148438,1.0,236.26229858398438,280.1087951660156,0.9999997019767761
49,180.23333740234375,186.75332641601562,1.0,161.01983642578125,197.73043823242188,1.0,233.9300079345703,276.82562255859375,1.0
50,176.52622985839844,183.32752990722656,0.9999992847442627,156.9777374267578,193.89111328125,1.0,233.0904998779297,269.63543701171875,0.9999992847442627
51,173.8705291748047,180.31504821777344,0.9999999403953552,153.07984924316406,190.973388671875,0.9999997019767761,232.04168701171875,265.5541076660156,0.9999997615814209
52,168.9724884033203,177.04965209960938,0.9999994039535522,149.8766326904297,188.66354370117188,0.9999998807907104,228.8065185546875,261.6134033203125,0.9999998807907104
53,165.74534606933594,174.71002197265625,1.0,146.2911834716797,185.92953491210938,0.9999998807907104,226.58786010742188,256.8973693847656,0.9999998807907104
54,162.10301208496094,172.2188720703125,0.9999999403953552,142.95343017578125,185.18948364257812,0.9999997019767761,224.28677368164062,251.25279235839844,0.9999999403953552
55,159.1815185546875,168.8440704345703,0.9999997019767761,140.24012756347656,181.55712890625,0.9999999403953552,223.87498474121094,247.2232666015625,0.9999997615814209
56,158.6652374267578,166.69247436523438,0.9999998807907104,138.69802856445312,178.44015502929688,0.9999998807907104,221.70083618164062,244.2465362548828,1.0
57,156.76441955566406,164.1932830810547,0.9999998807907104,136.9757080078125,176.14808654785156,0.9999999403953552,219.89007568359375,242.19818115234375,0.9999999403953552
58,157.3140106201172,161.04193115234375,1.0,137.14218139648438,173.52935791015625,0.9999996423721313,217.76449584960938,242.02061462402344,0.9999998807907104
59,158.23602294921875,159.89242553710938,0.9999998807907104,137.7077178955078,171.2181396484375,0.9999997615814209,214.7613983154297,241.5375518798828,0.9999998807907104
