,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,LD6,31,11448,2,299,0.999992208552421
1,LD6,31,11465,2,299,0.9999976090144738
2,LD6,31,12446,2,299,0.9999996252632735
3,LD6,31,11433,2,299,0.9999984397599099
4,LD6,31,11304,2,299,0.9999919976604082
5,LD6,31,11274,2,0,
6,LD6,31,11033,2,299,0.9850954580917599
7,LD6,31,13500,2,299,0.9961827453154278
8,LD6,31,11970,2,299,0.9999960451560039
9,LD6,31,12061,2,299,0.9999998872693363
10,LD6,31,12840,2,0,
11,LD6,31,13271,2,299,0.9999985086913055
12,LD6,31,11403,2,299,0.9999935500423289
13,LD6,31,12567,2,0,
14,LD6,31,11591,2,299,0.9999993871438346
15,LD6,31,13213,2,0,
16,LD6,31,11541,2,0,
17,LD6,31,11388,2,299,0.9999981683128805
18,LD6,31,12247,2,0,
19,LD6,31,12255,2,0,
20,LD6,31,13489,2,299,0.951238715351516
21,LD6,31,12373,2,299,0.9999928593339261
22,LD6,31,13399,2,299,0.9499811699380646
23,LD6,31,12442,2,299,0.9778231979771963
24,LD6,31,11519,2,0,
25,LD6,31,13278,2,0,
26,LD6,31,12809,2,0,
27,LD6,31,12105,2,0,
28,LD6,31,12361,2,299,0.9999922245905696
29,LD6,31,11666,2,299,0.995062520228702
30,LD6,31,12385,2,299,0.9999901606522852
31,LD6,31,11954,2,299,0.999991278688508
32,LD6,31,11388,2,299,0.9999981683128805
33,LD6,31,11115,2,299,0.9999997478426882
34,LD6,31,11039,2,299,0.9439634631378119
35,LD6,31,11793,2,299,0.9999992441790766
36,LD6,31,11135,2,0,
37,LD6,31,12758,2,299,0.966420875091067
38,LD6,31,12407,2,299,0.9999978982790059
39,LD6,31,11955,2,299,0.9999913687612084
40,LD6,31,12120,2,0,
41,LD6,31,12538,2,0,
42,LD6,31,12521,2,0,
43,LD6,31,12397,2,299,0.9999928069079648
44,LD6,31,12176,2,299,0.9999980299797678
45,LD6,31,11911,2,299,0.999999205078691
46,LD6,31,13467,2,299,0.9999992742787669
47,LD6,31,11414,2,299,0.999998770666294
48,LD6,31,11735,2,0,
49,LD6,31,12692,2,0,
50,LD6,31,11531,2,0,
51,LD6,31,12627,2,0,
52,LD6,31,12043,2,0,
53,LD6,31,11405,2,299,0.999993562232497
54,LD6,31,11721,2,299,0.9999999098337318
