,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,LES,06,4713,2,499,0.9999971383021249
1,LES,06,4938,2,499,0.9999616619861307
2,LES,06,5294,2,39,0.9862975287056022
3,LES,06,5316,2,0,
4,LES,06,5376,2,73,0.9695492647652683
5,LES,06,5089,2,499,0.9999893391858985
6,LES,06,5721,2,499,0.9976366634542035
7,LES,06,5402,2,51,0.9809008631298431
8,LES,06,5259,2,0,
9,LES,06,5653,2,47,0.9849992145293828
10,LES,06,4739,2,499,0.999989998151184
11,LES,06,4684,2,499,0.9999936474848021
12,LES,06,5214,2,103,0.9891565553365244
13,LES,06,5706,2,499,0.9999948746633237
14,LES,06,4875,2,499,0.9999857181140686
15,LES,06,4951,2,499,0.9999783032421516
16,LES,06,5452,2,499,0.9999815416989873
17,LES,06,4695,2,499,0.9999593743615127
18,LES,06,5532,2,499,0.9999887334753721
19,LES,06,5217,2,102,0.9886304807912467
20,LES,06,4987,2,499,0.9999949245953602
21,LES,06,4929,2,499,0.9999963727809772
22,LES,06,5616,2,182,0.9732246494810909
23,LES,06,5158,2,15,0.98496852199564
24,LES,06,5739,2,75,0.992368242042867
25,LES,06,5657,2,45,0.9844851301581032
26,LES,06,4911,2,31,0.9824585242253627
27,LES,06,4760,2,499,0.9999986850848676
28,LES,06,5001,2,0,
29,LES,06,5657,2,45,0.9844851301581032
30,LES,06,4973,2,499,0.9999808395055275
31,LES,06,5247,2,499,0.9999967017828615
32,LES,06,5648,2,114,0.9909662712883777
33,LES,06,5159,2,499,0.9999410197470491
34,LES,06,4863,2,499,0.9999845785080885
35,LES,06,4707,2,499,0.9986530006237805
36,LES,06,4889,2,40,0.9815522449077969
37,LES,06,5126,2,33,0.979897201651533
38,LES,06,5423,2,0,
39,LES,06,5241,2,54,0.9827468904606742
40,LES,06,5545,2,499,0.9999847966454768
41,LES,06,5272,2,499,0.9801313073176152
42,LES,06,5235,2,499,0.9999998757412312
43,LES,06,4943,2,499,0.9999707354705336
44,LES,06,5556,2,499,0.9999861374779266
45,LES,06,5630,2,0,
46,LES,06,5312,2,0,
47,LES,06,5050,2,0,
48,LES,06,5653,2,47,0.9849992145293828
49,LES,06,4838,2,499,0.999978453162529
50,LES,06,5170,2,106,0.9765100409729697
51,LES,06,5321,2,0,
52,LES,06,5172,2,21,0.983589808640067
53,LES,06,5150,2,499,0.999948523567832
54,LES,06,5324,2,499,0.9945491291895308
55,LES,06,5055,2,499,0.9999671489235387
56,LES,06,5677,2,0,
57,LES,06,5180,2,18,0.9813362533486598
58,LES,06,5156,2,17,0.9846882356220441
59,LES,06,5578,2,499,0.9999775467574192
60,LES,06,5340,2,0,
61,LES,06,5063,2,499,0.9788986478663239
62,LES,06,5362,2,18,0.9825248237447389
63,LES,06,5052,2,0,
64,LES,06,4774,2,58,0.9838643413219619
65,LES,06,5187,2,15,0.9832292996900259
66,LES,06,5185,2,57,0.9722399759194605
67,LES,06,5628,2,0,
68,LES,06,5646,2,113,0.9907960859371618
69,LES,06,4798,2,499,0.9999954053261945
70,LES,06,4670,2,499,0.9999817447111409
71,LES,06,5183,2,11,0.9839299153887633
72,LES,06,4986,2,499,0.9999953253952957
73,LES,06,5005,2,0,
74,LES,06,4821,2,499,0.999985858245448
75,LES,06,4900,2,499,0.9999880345963645
76,LES,06,5341,2,0,
77,LES,06,5726,2,499,0.9963345461756586
78,LES,06,5725,2,499,0.995616848674831
79,LES,06,4921,2,499,0.9999733986521282
80,LES,06,4690,2,34,0.9827619984699141
81,LES,06,5009,2,499,0.9892920871254691
82,LES,06,4756,2,499,0.9999974410834944
83,LES,06,5737,2,0,
84,LES,06,4951,2,499,0.9999783032421516
85,LES,06,5083,2,93,0.9864722195094202
86,LES,06,5589,2,17,0.9844988445922443
87,LES,06,4764,2,499,0.999983420041105
88,LES,06,5442,2,499,0.9999736381386876
89,LES,06,5107,2,52,0.9806306230155288
90,LES,06,5145,2,31,0.9863277197903941
91,LES,06,5025,2,499,0.999959625159243
92,LES,06,5582,2,499,0.9999723737511621
93,LES,06,4941,2,499,0.9999670531942363
94,LES,06,5622,2,499,0.9999996227985652
95,LES,06,4760,2,499,0.9999986850848676
96,LES,06,5033,2,499,0.999981994508015
97,LES,06,4723,2,499,0.9999993739674096
98,LES,06,4762,2,499,0.9999797587163981
99,LES,06,4850,2,499,0.9999843930177097
100,LES,06,5144,2,32,0.9873746549797644
101,LES,06,5360,2,20,0.9833549483491707
102,LES,06,4804,2,0,
103,LES,06,4826,2,499,0.9999939226734658
104,LES,06,5053,2,0,
105,LES,06,4954,2,86,0.9882319509971974
106,LES,06,5704,2,499,0.9999945518020021
107,LES,06,5210,2,106,0.9894618400275039
108,LES,06,5290,2,87,0.9840320947726696
109,LES,06,5302,2,39,0.9859285778594429
110,LES,06,5687,2,0,
111,LES,06,5338,2,0,
112,LES,06,5679,2,0,
113,LES,06,5166,2,20,0.9826621066035596
114,LES,06,4778,2,437,0.981088854160869
115,LES,06,4913,2,499,0.9999965544903615
116,LES,06,5532,2,499,0.9999887334753721
117,LES,06,4691,2,499,0.9999959630870526
118,LES,06,5628,2,0,
119,LES,06,5080,2,96,0.9870706015643353
