,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,LES,S0,5406,2,499,0.9999999679670072
1,LES,S0,5232,2,499,0.9999999628457172
2,LES,S0,5074,2,499,0.9999999659236902
3,LES,S0,4928,2,499,0.9999993924221081
4,LES,S0,5626,2,0,
5,LES,S0,5661,2,499,0.9999996986949912
6,LES,S0,4890,2,0,
7,LES,S0,4698,2,0,
8,LES,S0,5279,2,499,0.999999994940942
9,LES,S0,5687,2,499,0.9999997925510957
10,LES,S0,4688,2,0,
11,LES,S0,5316,2,499,0.9999999935322228
12,LES,S0,5489,2,0,
13,LES,S0,5320,2,499,0.9999999990711276
14,LES,S0,5244,2,0,
15,LES,S0,4866,2,499,0.999999585535585
16,LES,S0,4933,2,499,0.9999998532880108
17,LES,S0,5468,2,0,
18,LES,S0,5682,2,499,0.9999999548384171
19,LES,S0,4924,2,0,
20,LES,S0,5473,2,0,
21,LES,S0,5525,2,499,0.9999998142965212
22,LES,S0,5016,2,499,0.9999997660010892
23,LES,S0,5294,2,499,0.9999999977618054
24,LES,S0,5251,2,499,0.9999999258295782
25,LES,S0,5084,2,499,0.9990946036784821
26,LES,S0,5398,2,499,0.9998584207997679
27,LES,S0,5305,2,499,0.9999999210647381
28,LES,S0,4950,2,0,
29,LES,S0,5722,2,499,0.9999236424386344
30,LES,S0,5272,2,499,0.9999999598158072
31,LES,S0,5660,2,499,0.9999996899966032
32,LES,S0,4746,2,0,
33,LES,S0,5527,2,499,0.9999998118498747
34,LES,S0,4833,2,0,
35,LES,S0,5145,2,499,0.9999998985688318
36,LES,S0,5644,2,499,0.9989924633029282
37,LES,S0,5263,2,499,0.9999999763824419
38,LES,S0,5440,2,0,
39,LES,S0,4903,2,0,
40,LES,S0,5520,2,499,0.9999994501687085
41,LES,S0,5034,2,499,0.9999991227410054
42,LES,S0,5659,2,499,0.9999996779906604
43,LES,S0,5629,2,0,
44,LES,S0,4821,2,499,0.9999999223352993
45,LES,S0,5692,2,499,0.9999999515194405
46,LES,S0,4699,2,0,
47,LES,S0,5110,2,499,0.9999997390269374
48,LES,S0,5386,2,499,0.9998901574071303
49,LES,S0,5292,2,499,0.9999999930246637
