,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,LID,25,5364,2,299,0.9999308030396595
1,LID,25,4886,2,299,0.9999999165398318
2,LID,25,5582,2,299,0.9999998017960223
3,LID,25,4744,2,299,0.9999842875557555
4,LID,25,5191,2,299,0.9999868851046637
5,LID,25,5182,2,299,0.999997990274335
6,LID,25,5294,2,299,0.9999969789219171
7,LID,25,5573,2,299,0.9678986579580954
8,LID,25,4802,2,299,0.9999901666775649
9,LID,25,5248,2,299,0.9819511573089231
10,LID,25,5448,2,299,0.9839023175916457
11,LID,25,4734,2,299,0.9999980889002609
12,LID,25,5029,2,299,0.9999958531025311
13,LID,25,5186,2,299,0.9999988874909992
14,LID,25,5432,2,299,0.999979593203849
15,LID,25,5302,2,299,0.9999600460697228
16,LID,25,5504,2,299,0.9867436494949282
17,LID,25,5073,2,251,0.9668595218613162
18,LID,25,4920,2,0,
19,LID,25,5011,2,299,0.9999821588079468
20,LID,25,5121,2,299,0.9925443931488817
21,LID,25,5082,2,299,0.9867187389185461
22,LID,25,5122,2,299,0.9927275437847358
23,LID,25,5538,2,299,0.9818574754396131
24,LID,25,4818,2,299,0.9890023559739021
25,LID,25,5568,2,299,0.9803791452033147
26,LID,25,5691,2,0,
27,LID,25,4694,2,0,
28,LID,25,5159,2,299,0.9999970704127319
29,LID,25,4750,2,299,0.999982501634114
30,LID,25,5320,2,0,
31,LID,25,5611,2,299,0.9815169279808281
32,LID,25,4700,2,0,
33,LID,25,4707,2,299,0.9999914282792263
34,LID,25,5631,2,0,
35,LID,25,5674,2,0,
36,LID,25,5680,2,0,
37,LID,25,5093,2,299,0.9999834674827409
38,LID,25,4739,2,0,
39,LID,25,5565,2,299,0.9845467201547573
40,LID,25,5492,2,299,0.9895162249556768
41,LID,25,4873,2,299,0.9999798193440745
42,LID,25,5555,2,299,0.9999995954223533
43,LID,25,5577,2,299,0.9999999640663231
44,LID,25,5467,2,299,0.9709131256921945
45,LID,25,5559,2,299,0.9793941372132715
46,LID,25,4832,2,242,0.9664018218526358
47,LID,25,5447,2,299,0.9720975506326153
48,LID,25,5248,2,299,0.9819511573089231
49,LID,25,5252,2,299,0.981702484351667
