,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,SHM,33,5506,2,299,0.99997106752997
1,SHM,33,5066,2,0,
2,SHM,33,4779,2,0,
3,SHM,33,5288,2,191,0.9890577386119066
4,SHM,33,5632,2,299,0.9999862693017371
5,SHM,33,4994,2,299,0.9987479946395607
6,SHM,33,5040,2,0,
7,SHM,33,5599,2,0,
8,SHM,33,4673,2,0,
9,SHM,33,5038,2,0,
10,SHM,33,5222,2,0,
11,SHM,33,4992,2,299,0.9989421782321896
12,SHM,33,4960,2,0,
13,SHM,33,5093,2,0,
14,SHM,33,5259,2,0,
15,SHM,33,5576,2,0,
16,SHM,33,5148,2,299,0.9965051170973033
17,SHM,33,5481,2,299,0.999977330282805
18,SHM,33,4679,2,0,
19,SHM,33,4676,2,0,
20,SHM,33,4892,2,0,
21,SHM,33,4767,2,0,
22,SHM,33,5639,2,299,0.99999593938466
23,SHM,33,4764,2,0,
24,SHM,33,4887,2,0,
25,SHM,33,4735,2,0,
26,SHM,33,4923,2,0,
27,SHM,33,4903,2,0,
28,SHM,33,5502,2,299,0.999988988646294
29,SHM,33,5297,2,180,0.9911276943139337
30,SHM,33,5556,2,0,
31,SHM,33,4851,2,0,
32,SHM,33,5245,2,0,
33,SHM,33,5625,2,299,0.9998860253493017
34,SHM,33,5508,2,299,0.9999733745626556
35,SHM,33,5280,2,299,0.999976755089987
36,SHM,33,5367,2,92,0.9810185624426346
37,SHM,33,5300,2,299,0.9999991708365512
38,SHM,33,4984,2,0,
39,SHM,33,4958,2,0,
40,SHM,33,5726,2,299,0.9996689130274095
41,SHM,33,4808,2,299,0.9999996166236857
42,SHM,33,5285,2,197,0.9893043462283168
43,SHM,33,5483,2,299,0.9999787589573045
44,SHM,33,5473,2,299,0.9999722032769066
45,SHM,33,5265,2,0,
46,SHM,33,4769,2,0,
47,SHM,33,5083,2,299,0.9975031680934913
48,SHM,33,4788,2,0,
49,SHM,33,5475,2,299,0.9999732253686363
50,SHM,33,4907,2,0,
51,SHM,33,5324,2,0,
52,SHM,33,5104,2,0,
53,SHM,33,4722,2,0,
54,SHM,33,5327,2,0,
55,SHM,33,5282,2,299,0.9999813102753223
56,SHM,33,4677,2,0,
57,SHM,33,4692,2,299,0.9999999486245597
58,SHM,33,5429,2,299,0.9999600865758314
59,SHM,33,4671,2,0,
60,SHM,33,5310,2,0,
61,SHM,33,5667,2,0,
62,SHM,33,5450,2,299,0.9999744404841776
63,SHM,33,4964,2,0,
64,SHM,33,5273,2,0,
65,SHM,33,4699,2,299,0.9999999706350525
66,SHM,33,5499,2,299,0.9999894833583052
67,SHM,33,4794,2,299,0.9965975464122749
68,SHM,33,5147,2,299,0.9999963688261767
69,SHM,33,5302,2,299,0.9999998757800383
70,SHM,33,4774,2,0,
71,SHM,33,5650,2,299,0.9998299859138017
72,SHM,33,5452,2,299,0.9999543301000874
73,SHM,33,5193,2,299,0.9999997795840116
74,SHM,33,5103,2,299,0.9911601686742928
75,SHM,33,5374,2,299,0.9999717369118843
76,SHM,33,5725,2,299,0.9996744396981765
77,SHM,33,5241,2,0,
78,SHM,33,5341,2,0,
79,SHM,33,5595,2,0,
80,SHM,33,5168,2,299,0.9999950250944629
81,SHM,33,4844,2,0,
82,SHM,33,5529,2,299,0.9999932792266222
83,SHM,33,4712,2,117,0.9772426043513661
84,SHM,33,4680,2,0,
85,SHM,33,4795,2,299,0.9964953857363408
86,SHM,33,5536,2,299,0.9999970858006849
87,SHM,33,5111,2,299,0.9961090722997455
88,SHM,33,5236,2,0,
89,SHM,33,4935,2,299,0.9999969972646034
90,SHM,33,5238,2,0,
91,SHM,33,4888,2,0,
92,SHM,33,4742,2,0,
93,SHM,33,5281,2,299,0.99997936171157
94,SHM,33,5171,2,299,0.9999957008658432
95,SHM,33,4974,2,0,
96,SHM,33,5297,2,180,0.9911276943139337
97,SHM,33,4970,2,0,
98,SHM,33,4722,2,0,
99,SHM,33,4692,2,299,0.9999999486245597
100,SHM,33,5511,2,299,0.9999714234237079
101,SHM,33,5292,2,299,0.9999971661889041
102,SHM,33,4949,2,299,0.999999884318788
103,SHM,33,5553,2,0,
104,SHM,33,5308,2,0,
105,SHM,33,5216,2,0,
106,SHM,33,4709,2,299,0.9999999921173608
107,SHM,33,5237,2,0,
108,SHM,33,5081,2,299,0.9999997010207264
109,SHM,33,5279,2,0,
110,SHM,33,5325,2,0,
111,SHM,33,5044,2,0,
112,SHM,33,5145,2,299,0.9999959468138025
113,SHM,33,5168,2,299,0.9999950250944629
114,SHM,33,5265,2,0,
115,SHM,33,5182,2,299,0.9919388811487128
116,SHM,33,5324,2,0,
117,SHM,33,5625,2,299,0.9998860253493017
118,SHM,33,5387,2,88,0.9903203052460366
119,SHM,33,5738,2,299,0.9997772308303023
120,SHM,33,5399,2,80,0.9897969584770216
121,SHM,33,4910,2,0,
122,SHM,33,4945,2,299,0.9999997438955182
123,SHM,33,5632,2,299,0.9999862693017371
124,SHM,33,4697,2,299,0.99999996211974
125,SHM,33,5477,2,299,0.9999743941970437
126,SHM,33,5573,2,0,
127,SHM,33,5347,2,299,0.9999491831302938
128,SHM,33,4675,2,0,
129,SHM,33,4785,2,0,
130,SHM,33,5119,2,299,0.9999996910792638
131,SHM,33,5167,2,299,0.9999946649672106
132,SHM,33,5501,2,299,0.9999899358251648
133,SHM,33,5417,2,0,
