,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,SHM,31,5158,2,3,0.9405766109589976
1,SHM,31,4738,2,5,0.955865304064883
2,SHM,31,5717,2,5,0.938490061243952
3,SHM,31,5200,2,63,0.9394366435240148
4,SHM,31,4991,2,1,0.9846093900886572
5,SHM,31,4773,2,0,
6,SHM,31,5327,2,18,0.9594285045709918
7,SHM,31,5228,2,31,0.9595555530735567
8,SHM,31,4690,2,2,0.9430858805728783
9,SHM,31,4933,2,0,
10,SHM,31,4957,2,0,
11,SHM,31,5343,2,5,0.9585128408347673
12,SHM,31,5514,2,22,0.022388159789658888
13,SHM,31,5421,2,0,
14,SHM,31,5127,2,3,0.9459578194228468
15,SHM,31,5254,2,11,0.9979520283921123
16,SHM,31,5118,2,1,0.9004535624399744
17,SHM,31,5435,2,0,
18,SHM,31,5367,2,8,0.9442259788111467
19,SHM,31,5113,2,1,0.9743050995754419
20,SHM,31,5450,2,49,0.9067677157069703
21,SHM,31,5551,2,2,0.9766481165855867
22,SHM,31,4842,2,46,0.8144496823815366
23,SHM,31,5442,2,2,0.9498946656691505
24,SHM,31,5079,2,0,
25,SHM,31,5095,2,0,
26,SHM,31,5130,2,1,0.9826079436049907
27,SHM,31,4949,2,0,
28,SHM,31,5570,2,3,0.9553826311308273
29,SHM,31,5148,2,2,0.9779192300232991
30,SHM,31,5456,2,0,
31,SHM,31,5327,2,18,0.9594285045709918
32,SHM,31,5098,2,0,
33,SHM,31,5007,2,2,0.9475450576709172
34,SHM,31,5279,2,3,0.956051919887555
35,SHM,31,5066,2,0,
36,SHM,31,5508,2,22,0.5052593815755411
37,SHM,31,5300,2,2,0.9410827578418183
38,SHM,31,5012,2,1,0.9503188304418789
39,SHM,31,4928,2,0,
40,SHM,31,5080,2,0,
41,SHM,31,4868,2,4,0.9395077979776896
42,SHM,31,5143,2,2,0.9375132031888183
43,SHM,31,5422,2,0,
44,SHM,31,5121,2,1,0.8969124573337831
45,SHM,31,5503,2,2,0.9426148118819209
46,SHM,31,5193,2,83,0.9074366812184679
47,SHM,31,5176,2,0,
48,SHM,31,4985,2,0,
49,SHM,31,4991,2,1,0.9846093900886572
50,SHM,31,4662,2,14,-1.1348897960439857
51,SHM,31,4939,2,0,
52,SHM,31,5447,2,57,0.9101543231551823
53,SHM,31,5581,2,24,0.9662663009775674
54,SHM,31,5413,2,3,0.9464995775138779
55,SHM,31,5062,2,0,
56,SHM,31,4711,2,0,
57,SHM,31,4913,2,0,
58,SHM,31,5037,2,3,0.9441040142566504
59,SHM,31,5014,2,49,0.7862083386174291
60,SHM,31,5429,2,0,
61,SHM,31,5384,2,11,0.9395156839865764
62,SHM,31,4668,2,1,0.9348627859099783
63,SHM,31,5335,2,9,0.9509971921872737
64,SHM,31,5410,2,0,
65,SHM,31,4919,2,0,
66,SHM,31,4942,2,0,
67,SHM,31,5467,2,3,0.9591054512824745
68,SHM,31,5510,2,18,0.06585693518788936
69,SHM,31,4899,2,2,0.9549414224150727
70,SHM,31,5483,2,0,
71,SHM,31,5692,2,116,0.9274590641482559
72,SHM,31,5560,2,1,0.98973083470065
73,SHM,31,4743,2,2,0.9239178926401672
74,SHM,31,5247,2,12,0.9348995411560654
75,SHM,31,5329,2,15,0.9463003162702821
76,SHM,31,5626,2,6,0.9631101790503842
77,SHM,31,5027,2,4,0.955265491936113
78,SHM,31,4951,2,0,
79,SHM,31,4820,2,0,
80,SHM,31,4903,2,1,0.9427712165578582
81,SHM,31,4678,2,24,0.9437841942331057
82,SHM,31,5660,2,7,0.8101146788777347
83,SHM,31,5176,2,0,
84,SHM,31,4927,2,0,
85,SHM,31,4981,2,0,
86,SHM,31,4821,2,0,
87,SHM,31,5533,2,11,0.932371939239678
88,SHM,31,5653,2,38,0.884611064840613
89,SHM,31,5049,2,0,
90,SHM,31,4963,2,3,0.9648003053366413
91,SHM,31,4671,2,0,
92,SHM,31,4908,2,0,
93,SHM,31,5392,2,29,0.9335266252686052
94,SHM,31,5239,2,16,0.9568826364100972
95,SHM,31,4687,2,6,0.9542534666566401
96,SHM,31,5707,2,12,0.9979460507837122
97,SHM,31,4958,2,4,0.9396153367161546
98,SHM,31,4907,2,0,
99,SHM,31,5611,2,2,0.9234664785291589
100,SHM,31,5379,2,36,0.968865992727079
101,SHM,31,5407,2,6,0.9448228649433154
102,SHM,31,4758,2,0,
103,SHM,31,5197,2,6,0.9489048588138097
104,SHM,31,5265,2,6,0.9575475542133466
105,SHM,31,4930,2,0,
106,SHM,31,5611,2,2,0.9234664785291589
107,SHM,31,5481,2,0,
108,SHM,31,4836,2,0,
109,SHM,31,5479,2,11,0.9991838137417562
110,SHM,31,5165,2,1,0.9979085427812027
111,SHM,31,5034,2,0,
112,SHM,31,5418,2,2,0.9717597175828687
113,SHM,31,5044,2,2,0.9256055778726693
114,SHM,31,5419,2,1,0.9832164832188863
115,SHM,31,5166,2,3,0.9580875697095529
116,SHM,31,5311,2,11,0.9999041000831119
117,SHM,31,5566,2,2,0.926286393666372
118,SHM,31,5147,2,2,0.9519434983493336
119,SHM,31,5575,2,3,0.950296868603953
120,SHM,31,4877,2,34,0.9736781713436763
121,SHM,31,5029,2,2,0.9698573948739543
122,SHM,31,5264,2,7,0.9597576098313538
123,SHM,31,5039,2,3,0.9480823502465054
124,SHM,31,5314,2,33,0.9399760915464601
125,SHM,31,5710,2,10,0.9515996519981591
126,SHM,31,5405,2,6,0.9598262871298648
127,SHM,31,5713,2,6,0.955269523049204
128,SHM,31,5392,2,29,0.9335266252686052
129,SHM,31,4853,2,28,0.6468781361704056
130,SHM,31,5607,2,0,
131,SHM,31,4961,2,2,0.9430236362519884
132,SHM,31,5288,2,6,0.9559159688007566
133,SHM,31,5013,2,15,0.23671898169651348
134,SHM,31,4688,2,6,0.9398832306765206
135,SHM,31,4787,2,0,
136,SHM,31,5169,2,4,0.9501130548023982
137,SHM,31,5686,2,2,0.9604487922860049
138,SHM,31,5628,2,4,0.949791142122896
139,SHM,31,5305,2,4,0.9582711980799581
140,SHM,31,5156,2,3,0.9621983824472441
141,SHM,31,5202,2,61,0.9385560618105078
142,SHM,31,5361,2,8,0.9480981819735247
143,SHM,31,5382,2,38,0.9051513068349972
144,SHM,31,5366,2,9,0.9407222269592795
145,SHM,31,5020,2,2,0.9326809768532655
146,SHM,31,5174,2,1,0.9473081771297865
147,SHM,31,5585,2,8,0.9373415774512419
148,SHM,31,4816,2,0,
149,SHM,31,5018,2,0,
150,SHM,31,5067,2,0,
151,SHM,31,4920,2,0,
152,SHM,31,4667,2,1,0.9271788155399586
153,SHM,31,4705,2,2,0.9655719760148764
154,SHM,31,5135,2,3,0.9502946924385096
155,SHM,31,4770,2,0,
156,SHM,31,5195,2,8,0.9617101802481283
157,SHM,31,5108,2,1,0.9789152228115576
158,SHM,31,5287,2,6,0.9574227300300541
159,SHM,31,4997,2,2,0.9685418343241843
160,SHM,31,4716,2,10,0.9119595919270079
161,SHM,31,5096,2,0,
162,SHM,31,5573,2,42,0.9071751004376504
163,SHM,31,4838,2,50,0.8001926362216486
164,SHM,31,4826,2,1,0.9067118786339186
165,SHM,31,4691,2,11,0.9975784666841642
166,SHM,31,4828,2,0,
167,SHM,31,4770,2,0,
168,SHM,31,5477,2,11,0.9984841388506364
169,SHM,31,4662,2,14,-1.1348897960439857
170,SHM,31,5235,2,7,0.9507720715941437
171,SHM,31,5378,2,37,0.971378477869673
172,SHM,31,4988,2,0,
173,SHM,31,5648,2,6,0.9677813925627669
174,SHM,31,5636,2,1,0.8456375498290364
175,SHM,31,4898,2,2,0.9563615901655388
176,SHM,31,5163,2,9,0.9474712571753309
177,SHM,31,5417,2,3,0.9657532176732554
178,SHM,31,4919,2,0,
179,SHM,31,4963,2,3,0.9648003053366413
180,SHM,31,4977,2,0,
181,SHM,31,5171,2,3,0.9443926283454723
182,SHM,31,5668,2,26,0.3655482469287366
183,SHM,31,5409,2,11,0.9533819702512264
184,SHM,31,5188,2,4,0.9536606230331078
185,SHM,31,5009,2,2,0.9618312237424378
186,SHM,31,5535,2,19,0.9721072910502431
187,SHM,31,4956,2,0,
188,SHM,31,5549,2,3,0.9485487584229172
189,SHM,31,4754,2,8,0.9470437954641917
190,SHM,31,5137,2,3,0.9466243482148312
191,SHM,31,5030,2,2,0.9685350911217456
192,SHM,31,5282,2,1,0.9935566006121991
193,SHM,31,5225,2,35,0.9666413429909189
194,SHM,31,5104,2,0,
195,SHM,31,4759,2,0,
196,SHM,31,5630,2,1,0.9400131029620403
197,SHM,31,5190,2,7,0.9449781277163369
198,SHM,31,5200,2,63,0.9394366435240148
199,SHM,31,4800,2,0,
200,SHM,31,5684,2,2,0.9003258696900591
201,SHM,31,4817,2,0,
202,SHM,31,5519,2,37,0.9777699046254116
203,SHM,31,5152,2,3,0.966777921776173
204,SHM,31,5282,2,1,0.9935566006121991
205,SHM,31,4902,2,1,0.9903771126209653
206,SHM,31,5690,2,25,0.9429618060661018
207,SHM,31,5641,2,1,0.9929577749446078
208,SHM,31,5608,2,6,0.9182802437833247
209,SHM,31,4924,2,0,
210,SHM,31,4720,2,4,0.9606344407905761
211,SHM,31,5021,2,3,0.9522040847969996
212,SHM,31,4837,2,0,
213,SHM,31,5169,2,4,0.9501130548023982
214,SHM,31,5399,2,10,0.9548320756000152
215,SHM,31,4922,2,0,
216,SHM,31,5489,2,14,0.9415874727396936
217,SHM,31,5351,2,9,0.9471795065808908
218,SHM,31,5343,2,5,0.9585128408347673
219,SHM,31,5263,2,3,0.9336575508921716
220,SHM,31,5187,2,6,0.9364018383998779
