,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,LES,S0,4732,2,9,0.8523447367464383
1,LES,S0,4865,2,27,0.8958973594757642
2,LES,S0,4967,2,49,0.8894253822950621
3,LES,S0,5271,2,1,0.9979457473000688
4,LES,S0,5602,2,3,0.9339509147229825
5,LES,S0,4653,2,2,0.9897742897650506
6,LES,S0,5060,2,3,0.9495220061325385
7,LES,S0,4646,2,3,0.9553699168084929
8,LES,S0,4836,2,2,0.9382916022872723
9,LES,S0,4957,2,12,0.9444300026628394
10,LES,S0,5548,2,57,0.9038558110736602
11,LES,S0,5105,2,14,0.8640796460709667
12,LES,S0,4721,2,1,0.9999424758116013
13,LES,S0,5107,2,11,0.8820335456847417
14,LES,S0,4962,2,27,0.938222816484158
15,LES,S0,5659,2,1,0.9995734428660962
16,LES,S0,5437,2,2,0.9682930269299665
17,LES,S0,4798,2,1,0.9998734894042428
18,LES,S0,5181,2,1,0.9991582378243146
19,LES,S0,4949,2,1,0.9986130406746958
20,LES,S0,5540,2,8,0.884160550640477
21,LES,S0,5094,2,7,0.8023276348415174
22,LES,S0,5463,2,62,0.8993291115360089
23,LES,S0,5665,2,1,-0.6109439225951228
24,LES,S0,5635,2,24,0.9554498476898178
25,LES,S0,4625,2,3,0.9350745598729141
26,LES,S0,5665,2,1,-0.6109439225951228
27,LES,S0,4686,2,58,0.9143974250558494
28,LES,S0,5546,2,1,0.9992905872821759
29,LES,S0,5254,2,9,0.9448225341989563
30,LES,S0,4635,2,1,0.9993989402294017
31,LES,S0,5266,2,1,0.9983440934032978
32,LES,S0,5018,2,7,0.941513496129814
33,LES,S0,5309,2,1,0.9996840194870894
34,LES,S0,5088,2,2,0.9622577049289214
35,LES,S0,5316,2,1,0.9959612615445914
36,LES,S0,5072,2,41,0.8892434829936265
37,LES,S0,5510,2,16,0.9094431811637148
38,LES,S0,5447,2,2,0.9843648985367677
39,LES,S0,4991,2,63,0.8920883613700341
40,LES,S0,4802,2,25,0.9546084534075386
41,LES,S0,4760,2,1,0.9999246656849854
42,LES,S0,5452,2,6,0.9328006742155474
43,LES,S0,5609,2,2,0.9335921753599092
44,LES,S0,5452,2,6,0.9328006742155474
45,LES,S0,4963,2,1,0.9994882584248017
46,LES,S0,5597,2,32,0.9347247291699194
47,LES,S0,4843,2,1,0.999751827550232
48,LES,S0,4776,2,0,
49,LES,S0,5160,2,12,0.8849191840019378
50,LES,S0,4987,2,2,0.982020673740817
51,LES,S0,4976,2,23,0.8895789872797565
52,LES,S0,5439,2,2,0.9678092707768767
53,LES,S0,5589,2,21,0.9700521664179972
54,LES,S0,5414,2,14,0.9539242253729828
55,LES,S0,5414,2,14,0.9539242253729828
56,LES,S0,4909,2,1,0.9991661304737909
57,LES,S0,5048,2,3,0.9590857921199499
58,LES,S0,4754,2,2,0.9375856826868758
59,LES,S0,4769,2,27,0.9114835312219398
60,LES,S0,5516,2,35,0.8998184594280203
61,LES,S0,4932,2,4,0.9117189964750012
62,LES,S0,5354,2,49,0.944846402275069
63,LES,S0,4888,2,7,0.9382861269806723
64,LES,S0,5114,2,6,0.914164285947558
65,LES,S0,5487,2,2,0.9512308243745209
66,LES,S0,5279,2,1,0.9996930267144922
67,LES,S0,5515,2,8,0.9111250158526332
68,LES,S0,4962,2,27,0.938222816484158
69,LES,S0,5427,2,1,0.9997757730197051
70,LES,S0,4711,2,62,0.886788378691363
71,LES,S0,5597,2,32,0.9347247291699194
72,LES,S0,4856,2,1,0.9996940107409725
73,LES,S0,4945,2,1,0.9999936591397754
74,LES,S0,4787,2,1,0.999237155591827
75,LES,S0,5100,2,1,0.9996125113547398
76,LES,S0,5062,2,5,0.9231547201826796
77,LES,S0,5164,2,2,0.968526615543417
78,LES,S0,4619,2,1,0.9971798272119805
79,LES,S0,5644,2,55,0.9395581505946156
80,LES,S0,4753,2,41,0.9396075801951087
81,LES,S0,5524,2,58,0.9376537343646141
82,LES,S0,5179,2,1,0.9982398312287379
83,LES,S0,5547,2,1,0.9998829712475311
84,LES,S0,5003,2,31,0.939522491353145
85,LES,S0,4658,2,1,0.9980700881699044
86,LES,S0,5564,2,26,0.9256318277238145
87,LES,S0,5003,2,31,0.939522491353145
88,LES,S0,5317,2,52,0.9086085073103679
89,LES,S0,5074,2,6,0.9524126755739362
90,LES,S0,4979,2,1,0.9990807372249035
91,LES,S0,5486,2,1,-3.148210040045745
92,LES,S0,5292,2,23,0.910213736667413
93,LES,S0,5316,2,1,0.9959612615445914
94,LES,S0,4887,2,2,0.9367842094632983
95,LES,S0,4831,2,2,0.9578031606175377
96,LES,S0,5496,2,4,0.8550042707244473
97,LES,S0,5184,2,1,0.999785176601752
98,LES,S0,5329,2,26,0.8945670677674575
99,LES,S0,5120,2,18,0.9347027790908018
100,LES,S0,4671,2,6,0.9311683717883804
101,LES,S0,5300,2,1,0.9999920222396662
102,LES,S0,5490,2,27,0.9332604973995821
103,LES,S0,4662,2,1,0.9991965885271834
104,LES,S0,4923,2,1,0.9993949268621546
105,LES,S0,4886,2,7,0.9194670994055757
106,LES,S0,5411,2,1,0.999408380273627
107,LES,S0,5598,2,15,0.9345789759016373
108,LES,S0,5377,2,17,0.9301180258415787
109,LES,S0,4940,2,1,0.9993971670202172
110,LES,S0,5056,2,1,0.9996709417638775
111,LES,S0,5344,2,5,0.9342730316890657
112,LES,S0,5164,2,2,0.968526615543417
113,LES,S0,4639,2,1,0.9986838048675543
114,LES,S0,5253,2,7,0.8972954507611385
115,LES,S0,4633,2,21,0.8992836447776046
116,LES,S0,4854,2,3,0.9322751909430788
117,LES,S0,5640,2,23,0.9020752001943827
118,LES,S0,5632,2,1,0.9991083642420114
119,LES,S0,5306,2,23,0.9279637501661249
120,LES,S0,5653,2,45,0.9312623894364935
121,LES,S0,5133,2,1,0.9970349475453276
122,LES,S0,4878,2,1,0.9958638740708349
123,LES,S0,4649,2,3,0.9089579767544724
124,LES,S0,5278,2,23,-3.1204783158152667
125,LES,S0,5653,2,45,0.9312623894364935
126,LES,S0,5411,2,1,0.999408380273627
127,LES,S0,5047,2,1,0.9998574411087533
128,LES,S0,4646,2,3,0.9553699168084929
129,LES,S0,4893,2,2,0.9513998962490624
130,LES,S0,5163,2,2,0.9770811253562608
131,LES,S0,4653,2,2,0.9897742897650506
132,LES,S0,5186,2,1,0.9966490832572236
133,LES,S0,4973,2,1,0.9993160265627448
134,LES,S0,4741,2,1,0.9999070525212591
135,LES,S0,4819,2,2,0.9553480054257961
136,LES,S0,5048,2,3,0.9590857921199499
137,LES,S0,5420,2,32,0.8898068144240007
138,LES,S0,5429,2,13,0.9084241029930601
139,LES,S0,4779,2,51,0.9420912041795312
140,LES,S0,5503,2,1,0.9995724035832758
141,LES,S0,5195,2,2,0.8663190277592602
142,LES,S0,5666,2,2,0.9533533522054551
143,LES,S0,5471,2,3,0.8470107223942498
144,LES,S0,5364,2,1,0.9998231070019926
145,LES,S0,4997,2,3,0.9373142661484964
146,LES,S0,5103,2,6,0.9102602617440402
147,LES,S0,5127,2,1,0.9998614151581087
148,LES,S0,5517,2,1,0.9996829880933963
149,LES,S0,4826,2,6,0.9314244278664137
150,LES,S0,4732,3,25,0.9528410823733363
151,LES,S0,4865,3,7,0.9481061045326122
152,LES,S0,4967,3,37,0.9278516998342358
153,LES,S0,5271,3,40,0.9130049806061964
154,LES,S0,5602,3,17,0.9406184316004623
155,LES,S0,4653,3,8,0.9797043409754902
156,LES,S0,5060,3,2,0.9283867630977876
157,LES,S0,4646,3,36,0.8906352083653467
158,LES,S0,4836,3,8,0.967099129653248
159,LES,S0,4957,3,65,0.9237317329293526
160,LES,S0,5548,3,28,0.935232740280197
161,LES,S0,5105,3,21,0.9339322908288074
162,LES,S0,4721,3,6,0.9649069689692614
163,LES,S0,5107,3,20,0.9302631613262189
164,LES,S0,4962,3,29,0.914915193782168
165,LES,S0,5659,3,29,0.9705093604410596
166,LES,S0,5437,3,23,0.9604691273934631
167,LES,S0,4798,3,11,0.9531553845039394
168,LES,S0,5181,3,20,0.8956293432518014
169,LES,S0,4949,3,47,0.9370279197070813
170,LES,S0,5540,3,124,0.9474274258286359
171,LES,S0,5094,3,24,0.9330083084747285
172,LES,S0,5463,3,62,0.9009120774353074
173,LES,S0,5665,3,18,0.9441257021737166
