,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,SHM,33,5517,2,23,0.9427611701212186
1,SHM,33,5516,2,5,0.8831902081875169
2,SHM,33,5257,2,1,0.9966847598684507
3,SHM,33,5452,2,2,0.9773820590761242
4,SHM,33,4786,2,1,0.9982260401360197
5,SHM,33,4884,2,1,0.9612546841707886
6,SHM,33,5075,2,6,0.9122149328075627
7,SHM,33,5519,2,1,0.9912728502676097
8,SHM,33,5093,2,7,0.9606596143117735
9,SHM,33,5394,2,2,0.991852691295653
10,SHM,33,4949,2,6,0.9584913696055851
11,SHM,33,4711,2,8,0.9522361810300927
12,SHM,33,4983,2,2,0.9610126286314932
13,SHM,33,4778,2,2,0.9492665645979168
14,SHM,33,4950,2,2,0.9891131492007281
15,SHM,33,5554,2,3,0.9519614198897642
16,SHM,33,4906,2,1,0.9360191964296276
17,SHM,33,5355,2,1,0.9858458455058353
18,SHM,33,4835,2,1,0.9860264513568322
19,SHM,33,4661,2,1,0.9971368300094096
20,SHM,33,5058,2,7,0.9082871508255678
21,SHM,33,5606,2,1,0.9961682085766018
22,SHM,33,5597,2,1,0.9991223022008939
23,SHM,33,4688,2,1,0.999161861094588
24,SHM,33,5457,2,33,0.9258402176860812
25,SHM,33,4796,2,1,0.9998215623364932
26,SHM,33,5548,2,1,0.9438765159158914
27,SHM,33,5250,2,1,0.9949293201572099
28,SHM,33,5359,2,4,0.8818148098871166
29,SHM,33,4807,2,1,0.8596648885503285
30,SHM,33,4621,2,2,0.9927622333232539
31,SHM,33,4739,2,4,0.9331980442457705
32,SHM,33,5037,2,7,0.9214055905042751
33,SHM,33,5288,2,14,0.9000434305179106
34,SHM,33,5613,2,2,0.9982055454874033
35,SHM,33,4905,2,4,0.9348416891997187
36,SHM,33,4870,2,1,0.999312967297526
37,SHM,33,5600,2,2,0.9919069918520176
38,SHM,33,5318,2,2,0.9946364261424878
39,SHM,33,4748,2,0,
40,SHM,33,5623,2,1,0.999960700443908
41,SHM,33,4709,2,2,0.9316879122888229
42,SHM,33,5062,2,16,0.9236378605092557
43,SHM,33,5364,2,10,0.8439772081911581
44,SHM,33,4838,2,2,0.9929854298338978
45,SHM,33,4666,2,2,0.9546213113300714
46,SHM,33,4720,2,1,0.9975560614637392
47,SHM,33,5109,2,5,0.9285892885017069
48,SHM,33,5427,2,1,0.9969999547807878
49,SHM,33,4781,2,1,0.9812180108342741
50,SHM,33,5379,2,3,0.9447901883278953
51,SHM,33,5407,2,2,0.9652498900451839
52,SHM,33,4902,2,1,0.9198189627178976
53,SHM,33,5465,2,1,0.9017570211028971
54,SHM,33,5177,2,1,0.9995583133932153
55,SHM,33,4857,2,1,0.9537127306523202
56,SHM,33,5646,2,1,0.9992627621264758
57,SHM,33,5649,2,1,0.9908863210219263
58,SHM,33,5349,2,2,0.9437212648168516
59,SHM,33,5258,2,2,0.9775420928938455
60,SHM,33,5151,2,1,0.9982367758256485
61,SHM,33,4623,2,1,0.9969123899207202
62,SHM,33,5406,2,1,0.9972998057287138
63,SHM,33,4642,2,1,0.9981067224956237
64,SHM,33,5540,2,1,0.9929907336398094
65,SHM,33,5077,2,1,0.9990366432818685
66,SHM,33,5170,2,1,0.9984492378048356
67,SHM,33,5423,2,0,
68,SHM,33,5310,2,2,0.7166896640304871
69,SHM,33,5372,2,12,0.9386450280197852
70,SHM,33,4672,2,1,0.9979492316231868
71,SHM,33,4708,2,2,0.9019211982400033
72,SHM,33,5443,2,2,0.986678540408557
73,SHM,33,4650,2,2,0.9679857453226699
74,SHM,33,4907,2,1,0.9998900282066294
75,SHM,33,4855,2,1,-0.672107873749201
76,SHM,33,5615,2,2,0.9543743438583439
77,SHM,33,5229,2,17,0.9296649015800791
78,SHM,33,5368,2,1,0.9985847666298407
79,SHM,33,4793,2,2,0.9590768687607981
80,SHM,33,4693,2,1,0.9643124958569218
81,SHM,33,5489,2,15,0.9455841887652556
82,SHM,33,5421,2,10,0.9428833074204537
83,SHM,33,4971,2,2,0.996044213675962
84,SHM,33,5041,2,1,0.9988292359437074
85,SHM,33,5521,2,1,0.9229519484495496
86,SHM,33,5241,2,7,0.9493281761847412
87,SHM,33,4953,2,1,0.8829746119944101
88,SHM,33,5036,2,1,0.997642627076117
89,SHM,33,4844,2,5,0.9447935291605285
90,SHM,33,5257,2,1,0.9966847598684507
91,SHM,33,5204,2,1,0.9959198152880167
92,SHM,33,5409,2,3,0.9588165868405696
93,SHM,33,5077,2,1,0.9990366432818685
94,SHM,33,4982,2,9,0.9659710885359135
95,SHM,33,4624,2,1,0.9989974699495718
96,SHM,33,5674,2,1,0.9996101112210315
97,SHM,33,4856,2,1,0.9936202040381696
98,SHM,33,4708,2,2,0.9019211982400033
99,SHM,33,5297,2,3,0.8609039584252011
100,SHM,33,4753,2,12,0.9161000660418
101,SHM,33,5539,2,0,
102,SHM,33,5456,2,2,0.224496223936556
103,SHM,33,5180,2,1,0.9993869343351371
104,SHM,33,5613,2,2,0.9982055454874033
105,SHM,33,5250,2,1,0.9949293201572099
106,SHM,33,4931,2,5,0.9351046226837111
107,SHM,33,5580,2,2,0.9474560207771185
108,SHM,33,4950,2,2,0.9891131492007281
109,SHM,33,4941,2,2,0.9523114419233937
110,SHM,33,4971,2,2,0.996044213675962
111,SHM,33,4888,2,1,0.9904585606878792
112,SHM,33,4624,2,1,0.9989974699495718
113,SHM,33,4797,2,2,0.9975579576368815
114,SHM,33,5485,2,1,0.9984352123152007
115,SHM,33,5663,2,1,0.9856827594020738
116,SHM,33,5633,2,1,0.9512754258039346
117,SHM,33,4629,2,2,0.9866672144261934
118,SHM,33,4769,2,1,0.997024095333415
119,SHM,33,4855,2,1,-0.672107873749201
120,SHM,33,5338,2,69,0.9251540137507802
121,SHM,33,4722,2,1,0.9995287721448441
122,SHM,33,5223,2,9,0.9038210348144232
123,SHM,33,5343,2,1,0.9994577106818149
124,SHM,33,5306,2,1,0.9968364569836058
125,SHM,33,5379,2,3,0.9447901883278953
126,SHM,33,5064,2,2,0.9535404620413657
127,SHM,33,4970,2,0,
128,SHM,33,4928,2,2,0.9371730099000011
129,SHM,33,5477,2,2,0.9616173926045921
130,SHM,33,5299,2,2,0.9967216282555161
131,SHM,33,5371,2,4,0.9417769326686509
132,SHM,33,4984,2,7,0.9495421242847076
133,SHM,33,5374,2,2,0.9374078591906383
134,SHM,33,4999,2,1,0.9995859062489733
135,SHM,33,5679,2,4,0.9587083601603829
136,SHM,33,5524,2,18,0.9276390163387878
137,SHM,33,5263,2,1,0.998125240355393
138,SHM,33,4620,2,4,0.9928189782731982
139,SHM,33,4837,2,1,0.9030748341509693
140,SHM,33,4853,2,1,0.9730460954231878
141,SHM,33,4629,2,2,0.9866672144261934
142,SHM,33,5032,2,1,0.9998216409514895
143,SHM,33,5266,2,1,0.9702524117948025
144,SHM,33,4969,2,1,0.9987476860167992
145,SHM,33,5260,2,1,0.9920640229733959
146,SHM,33,5064,2,2,0.9535404620413657
147,SHM,33,5405,2,1,0.9983177722479715
148,SHM,33,5048,2,8,0.9494140376224043
149,SHM,33,4619,2,4,0.9861923141570643
150,SHM,33,5517,3,20,0.9278426402522456
151,SHM,33,5516,3,3,0.9040970734986192
152,SHM,33,5257,3,8,0.9237871102956603
153,SHM,33,5452,3,3,0.9045387944609155
154,SHM,33,4786,3,2,0.9102723510387501
155,SHM,33,4884,3,5,0.9444348934126893
156,SHM,33,5075,3,34,0.9199230716113455
157,SHM,33,5519,3,12,0.9352278021349206
158,SHM,33,5093,3,27,0.9267801268280721
159,SHM,33,5394,3,6,0.9651645679540778
160,SHM,33,4949,3,2,0.9198238187971498
161,SHM,33,4711,3,14,0.9363040843570881
162,SHM,33,4983,3,7,0.9384589350251701
163,SHM,33,4778,3,19,0.9141720322965421
164,SHM,33,4950,3,1,0.9947019198525309
165,SHM,33,5554,3,6,0.9528036695710953
166,SHM,33,4906,3,2,0.9052914497852573
167,SHM,33,5355,3,7,0.8756066565453196
168,SHM,33,4835,3,2,0.9356215720217805
169,SHM,33,4661,3,13,0.941161287641689
170,SHM,33,5058,3,1,0.9980435536901758
171,SHM,33,5606,3,1,0.8583394695018401
172,SHM,33,5597,3,1,0.990518484151157
173,SHM,33,4688,3,54,0.9299630976806098
174,SHM,33,5457,3,9,0.903008224601088
175,SHM,33,4796,3,1,0.9471826827109435
176,SHM,33,5548,3,1,0.978425250014701
177,SHM,33,5250,3,1,0.9755255094077284
178,SHM,33,5359,3,24,0.9324777494220031
179,SHM,33,4807,3,1,0.9324395877327573
180,SHM,33,4621,3,5,0.9497102571492686
181,SHM,33,4739,3,1,0.9558378810813472
182,SHM,33,5037,3,1,0.9954678750953788
183,SHM,33,5288,3,1,0.9831994873560629
184,SHM,33,5613,3,6,0.9487797236415906
185,SHM,33,4905,3,1,0.9688998907623708
186,SHM,33,4870,3,1,0.9496513031262422
187,SHM,33,5600,3,2,0.9720464768068067
188,SHM,33,5318,3,15,0.9382066347129491
189,SHM,33,4748,3,14,0.9309551612536413
190,SHM,33,5623,3,1,0.9663559747625665
