,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,D1A,28,12129,2,17,0.9726191099164683
1,D1A,28,13101,2,7,0.9534957239320109
2,D1A,28,11828,2,3,0.9414695039107844
3,D1A,28,12597,2,2,0.9622115040450102
4,D1A,28,13363,2,299,0.9994926060706133
5,D1A,28,13307,2,5,0.9489360017658506
6,D1A,28,11236,2,3,0.9597326059337462
7,D1A,28,13439,2,8,0.9573182214705662
8,D1A,28,13475,2,1,0.9883653407506057
9,D1A,28,12513,2,0,
10,D1A,28,12248,2,299,0.9984256984027063
11,D1A,28,13367,2,24,0.9456419220923321
12,D1A,28,11486,2,4,0.9404327053167771
13,D1A,28,11259,2,299,0.9993945003623633
14,D1A,28,12446,2,299,0.9995382864670971
15,D1A,28,12716,2,0,
16,D1A,28,12219,2,299,0.9994591520940324
17,D1A,28,12212,2,6,0.9387356789060662
18,D1A,28,12260,2,299,0.9984492479455718
19,D1A,28,11224,2,0,
20,D1A,28,13192,2,4,0.9544487595526823
21,D1A,28,12022,2,53,0.9650014079079644
22,D1A,28,12932,2,0,
23,D1A,28,12090,2,13,0.9506596197183733
24,D1A,28,12866,2,9,0.9414682431975228
25,D1A,28,12374,2,4,0.9490754923420242
26,D1A,28,12024,2,32,0.9475151067783676
27,D1A,28,12331,2,2,0.9505934610498549
28,D1A,28,13338,2,129,0.9664795594277606
29,D1A,28,12503,2,0,
30,D1A,28,11793,2,2,0.966410759862914
31,D1A,28,12523,2,4,0.9566518469881967
32,D1A,28,11239,2,15,0.9491637854669293
33,D1A,28,12462,2,299,0.9987551837919342
34,D1A,28,11337,2,0,
35,D1A,28,12359,2,9,0.9598856238147948
36,D1A,28,13506,2,2,0.9392625142294151
37,D1A,28,13088,2,2,0.9642333778890515
38,D1A,28,12876,2,12,0.962487240877968
39,D1A,28,11790,2,5,0.9374522810549468
40,D1A,28,12638,2,0,
41,D1A,28,13236,2,10,0.9363940759187935
42,D1A,28,12628,2,18,0.9378167336121689
43,D1A,28,12265,2,299,0.99855661747183
44,D1A,28,11251,2,299,0.9992263524516999
45,D1A,28,13237,2,0,
46,D1A,28,12313,2,0,
47,D1A,28,11404,2,5,0.9508708321077716
48,D1A,28,13103,2,2,0.9726631207524891
49,D1A,28,12991,2,0,
50,D1A,28,12436,2,3,0.948622312825413
51,D1A,28,13480,2,299,0.99989175733417
52,D1A,28,13487,2,2,0.9526214880075115
53,D1A,28,12078,2,4,0.9542982951084596
54,D1A,28,12125,2,4,0.9473507239720595
55,D1A,28,11225,2,0,
56,D1A,28,11063,2,3,0.9341274432881056
57,D1A,28,12471,2,7,0.9338079372322295
58,D1A,28,12177,2,299,0.9934215699279849
59,D1A,28,12577,2,0,
60,D1A,28,11225,2,0,
61,D1A,28,11773,2,2,0.9497428030724777
62,D1A,28,13472,2,3,0.9577234657194832
63,D1A,28,11863,2,1,0.9884714550598305
64,D1A,28,12625,2,10,0.9462295076397573
65,D1A,28,12662,2,13,0.9576065749539983
66,D1A,28,13239,2,0,
67,D1A,28,13302,2,12,0.9312416438248713
68,D1A,28,11404,2,5,0.9508708321077716
69,D1A,28,12733,2,4,0.9570902458422256
70,D1A,28,12305,2,0,
71,D1A,28,12646,2,0,
72,D1A,28,11885,2,0,
73,D1A,28,11654,2,0,
74,D1A,28,13283,2,3,0.947795711688593
75,D1A,28,12175,2,5,0.9500560013852386
76,D1A,28,11059,2,10,0.9437758107801331
77,D1A,28,13286,2,299,0.9998104896084526
78,D1A,28,12120,2,3,0.9332910086330427
79,D1A,28,11665,2,6,0.9730292322033068
80,D1A,28,12459,2,299,0.998610047368871
81,D1A,28,12134,2,11,0.9483499275911952
82,D1A,28,11561,2,0,
83,D1A,28,12632,2,28,0.9521247301272041
84,D1A,28,11860,2,0,
85,D1A,28,11500,2,1,0.9603457684351151
86,D1A,28,13327,2,299,0.9996899540381394
87,D1A,28,13134,2,299,0.9993512098532459
88,D1A,28,12646,2,0,
89,D1A,28,11126,2,0,
90,D1A,28,12578,2,0,
91,D1A,28,12958,2,294,0.9893293313804479
92,D1A,28,13485,2,1,0.9912504908123347
93,D1A,28,11903,2,28,0.964053094076118
94,D1A,28,11308,2,299,0.9986911126893411
95,D1A,28,13028,2,0,
96,D1A,28,12104,2,6,0.9497846107315849
97,D1A,28,11541,2,5,0.9634328439629716
98,D1A,28,13024,2,5,0.9444313979501414
99,D1A,28,11071,2,299,0.9920178905895904
100,D1A,28,11259,2,299,0.9993945003623633
101,D1A,28,12650,2,299,0.9979388690438459
102,D1A,28,12254,2,299,0.998058900878029
103,D1A,28,11359,2,0,
104,D1A,28,11258,2,299,0.999372696837819
105,D1A,28,11656,2,0,
106,D1A,28,11956,2,5,0.9683951800122177
107,D1A,28,12912,2,0,
108,D1A,28,13399,2,44,0.9534196283960154
109,D1A,28,12855,2,0,
110,D1A,28,12757,2,0,
111,D1A,28,13081,2,11,0.9665200007850516
112,D1A,28,12048,2,14,0.9459661579171738
113,D1A,28,13272,2,0,
114,D1A,28,12799,2,0,
115,D1A,28,12115,2,14,0.9175368880987335
116,D1A,28,13175,2,0,
117,D1A,28,11024,2,299,0.998438874271078
118,D1A,28,13346,2,299,0.9984947363018121
119,D1A,28,12137,2,9,0.9466854468852142
120,D1A,28,12893,2,299,0.9993338244186588
121,D1A,28,13093,2,1,0.9649525311950732
122,D1A,28,12131,2,13,0.9681310229337323
123,D1A,28,11184,2,299,0.9981374632744111
124,D1A,28,11482,2,0,
125,D1A,28,13027,2,0,
126,D1A,28,11221,2,0,
127,D1A,28,11014,2,4,0.9649055895584204
128,D1A,28,12517,2,0,
129,D1A,28,13280,2,3,0.9645907917857096
130,D1A,28,13438,2,5,0.9595655879879306
131,D1A,28,11759,2,15,0.9300304865519872
132,D1A,28,12412,2,299,0.9985233659081828
133,D1A,28,11269,2,299,0.9958500939150822
134,D1A,28,12694,2,299,0.999349494149946
135,D1A,28,11426,2,1,0.9994366855979977
136,D1A,28,13485,2,1,0.9912504908123347
137,D1A,28,12280,2,0,
138,D1A,28,12279,2,0,
139,D1A,28,13199,2,299,0.9997145235373183
140,D1A,28,12644,2,0,
141,D1A,28,13498,2,1,0.9624575777783951
142,D1A,28,12264,2,299,0.9984927558211814
143,D1A,28,12937,2,3,0.943207261869266
