,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,D2K,43,12869,2,15,0.9537188809323738
1,D2K,43,12437,2,8,0.959945454700228
2,D2K,43,11805,2,0,
3,D2K,43,11090,2,299,0.9976172863515806
4,D2K,43,10929,2,53,0.9503490204596718
5,D2K,43,11274,2,47,0.8979437428297621
6,D2K,43,12112,2,5,0.9691900662697899
7,D2K,43,11610,2,297,0.9965107110745853
8,D2K,43,11460,2,36,0.9463820363453461
9,D2K,43,12843,2,98,0.8853720422281655
10,D2K,43,12003,2,299,0.9997816543762289
11,D2K,43,11483,2,47,0.961653030056144
12,D2K,43,12056,2,43,0.9807727826854165
13,D2K,43,11462,2,0,
14,D2K,43,13040,2,105,0.8861753648963031
15,D2K,43,12215,2,0,
16,D2K,43,11267,2,29,0.975281222640255
17,D2K,43,11774,2,299,0.9988168254773183
18,D2K,43,11987,2,8,0.9373154183637704
19,D2K,43,12449,2,14,0.9447324096565973
20,D2K,43,12713,2,23,0.9590822027523352
21,D2K,43,12690,2,53,0.9720652302754286
22,D2K,43,13149,2,6,0.9623561674909057
23,D2K,43,13409,2,153,0.9422851910507646
24,D2K,43,13403,2,9,0.9536219001507329
25,D2K,43,11099,2,299,0.999133531274415
26,D2K,43,13078,2,40,0.9224641401281177
27,D2K,43,11973,2,6,0.9651542299196558
28,D2K,43,11735,2,6,0.9642113551482029
29,D2K,43,12623,2,35,0.964995942534687
30,D2K,43,11645,2,9,0.9604103910704352
31,D2K,43,11397,2,299,0.9942956495732483
32,D2K,43,11296,2,299,0.9937377438160163
33,D2K,43,12107,2,28,0.9666056001992523
34,D2K,43,13175,2,11,0.9496478540904412
35,D2K,43,13051,2,3,0.946769937442733
36,D2K,43,11590,2,292,0.9678992245045314
37,D2K,43,11749,2,0,
38,D2K,43,11799,2,1,0.9570134705153682
39,D2K,43,11850,2,0,
40,D2K,43,11109,2,299,0.9988230472607863
41,D2K,43,12066,2,45,0.9014534261870156
42,D2K,43,12960,2,44,0.9619082394668489
43,D2K,43,12445,2,16,0.9502103675021989
44,D2K,43,11553,2,4,0.962151819636229
45,D2K,43,13169,2,0,
46,D2K,43,12815,2,86,0.8777152737971099
47,D2K,43,13027,2,134,0.9170013444090991
48,D2K,43,12417,2,41,0.9699147157161792
49,D2K,43,12726,2,14,0.9670048147126149
50,D2K,43,12231,2,163,0.9258688277174267
51,D2K,43,11607,2,299,0.9994118244868453
52,D2K,43,11070,2,299,0.9999703964910517
53,D2K,43,13331,2,6,0.9476507011083711
54,D2K,43,11084,2,299,0.9973784389113735
55,D2K,43,10924,2,80,0.9539582122458455
56,D2K,43,13024,2,147,0.9290428797431218
57,D2K,43,11798,2,1,0.9504590696631711
58,D2K,43,12275,2,35,0.9840372813870124
59,D2K,43,12515,2,11,0.9446246859227977
60,D2K,43,12074,2,138,0.9341348757917054
61,D2K,43,12805,2,8,0.932107429898533
62,D2K,43,11362,2,5,0.9625904700314731
63,D2K,43,11397,2,299,0.9942956495732483
64,D2K,43,12199,2,158,0.9615202262964779
65,D2K,43,12904,2,27,0.973715775794002
66,D2K,43,13151,2,15,0.9660058301307142
67,D2K,43,11040,2,29,0.9534772691035915
68,D2K,43,10935,2,6,0.9693951985705803
69,D2K,43,11239,2,30,0.9585584194796951
70,D2K,43,11335,2,6,0.9628918639052856
71,D2K,43,11746,2,2,0.9636980932421086
72,D2K,43,12874,2,86,0.9776704714346903
73,D2K,43,11583,2,299,0.9927416397944749
74,D2K,43,11103,2,299,0.9991981048247174
75,D2K,43,11593,2,289,0.9360202619796264
76,D2K,43,12275,2,35,0.9840372813870124
77,D2K,43,12255,2,9,0.9434753339753288
78,D2K,43,12583,2,63,0.9531218327071738
79,D2K,43,11107,2,299,0.9985419833208881
