,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,LD6,31,11776,2,140,0.9575988491423987
1,LD6,31,13130,2,69,0.6515530512119878
2,LD6,31,12436,2,12,0.939274594234747
3,LD6,31,11530,2,52,0.9427371202369634
4,LD6,31,12580,2,35,0.8878382178860615
5,LD6,31,11978,2,15,0.937463136389282
6,LD6,31,13042,2,4,0.9359256096937729
7,LD6,31,13321,2,88,0.9578384520350934
8,LD6,31,12608,2,20,0.9365539742004951
9,LD6,31,13449,2,299,0.999330462174115
10,LD6,31,11514,2,0,
11,LD6,31,11713,2,5,0.9412476610787832
12,LD6,31,11105,2,96,0.9666108035139439
13,LD6,31,12565,2,9,0.962343367111033
14,LD6,31,12528,2,2,0.9705733998661619
15,LD6,31,12070,2,293,0.9033359914656578
16,LD6,31,12285,2,3,0.953163712817472
17,LD6,31,12646,2,88,0.9274420615673591
18,LD6,31,11032,2,299,0.9986355660342936
19,LD6,31,11809,2,21,0.9421893805071653
20,LD6,31,12962,2,63,0.9371915570335457
21,LD6,31,11250,2,3,0.966925027530472
22,LD6,31,12623,2,0,
23,LD6,31,12272,2,3,0.8769563005810818
24,LD6,31,11087,2,190,0.9537250921522767
25,LD6,31,11334,2,299,0.9999906215181706
26,LD6,31,13364,2,8,0.980302296415523
27,LD6,31,11391,2,73,0.9268520029857195
28,LD6,31,12134,2,32,0.9735133924796773
29,LD6,31,11864,2,1,0.9828504621384012
30,LD6,31,12758,2,5,0.9468726876040149
31,LD6,31,11638,2,68,0.9372058989758073
32,LD6,31,11778,2,72,0.9628434406006706
33,LD6,31,12239,2,5,0.9373512352907717
34,LD6,31,13230,2,23,0.9667919826440068
35,LD6,31,13315,2,52,0.9542051332532231
36,LD6,31,11988,2,6,0.9549722505771793
37,LD6,31,12585,2,0,
38,LD6,31,12580,2,35,0.8878382178860615
39,LD6,31,13080,2,188,0.9507491200269386
40,LD6,31,12744,2,34,0.9469239745724544
41,LD6,31,11864,2,1,0.9828504621384012
42,LD6,31,13116,2,0,
43,LD6,31,13310,2,60,0.9520615618267334
44,LD6,31,11541,2,12,0.936772165744991
45,LD6,31,11251,2,4,0.9441363919790111
46,LD6,31,13177,2,52,0.9601278150748545
47,LD6,31,11887,2,1,0.9815557052487351
48,LD6,31,13424,2,52,0.9526255495798043
49,LD6,31,11605,2,2,0.9618764573121722
50,LD6,31,11547,2,15,0.9449095442039888
51,LD6,31,11084,2,199,0.9679230566211852
52,LD6,31,11225,2,105,0.8558165478970945
53,LD6,31,13230,2,23,0.9667919826440068
54,LD6,31,11688,2,6,0.9603423566532959
55,LD6,31,13390,2,35,0.9805983521951315
56,LD6,31,11108,2,22,0.9459879308380953
57,LD6,31,11016,2,22,0.9331173762908844
58,LD6,31,11571,2,17,0.9544535466425543
59,LD6,31,11378,2,299,0.9991479001286269
60,LD6,31,13054,2,59,0.8717565988847524
61,LD6,31,11044,2,6,0.9528510107038567
62,LD6,31,12090,2,42,0.9524241459758604
63,LD6,31,11409,2,37,0.937584850837161
64,LD6,31,12603,2,0,
65,LD6,31,12553,2,0,
66,LD6,31,12362,2,3,0.9675262809416229
67,LD6,31,11565,2,9,0.9467171418964333
68,LD6,31,13196,2,9,0.9497160861181132
69,LD6,31,13205,2,33,0.9568302160661147
70,LD6,31,11223,2,5,0.9486567935384869
71,LD6,31,12850,2,299,0.9993906457506663
72,LD6,31,11007,2,19,0.9604171715567029
73,LD6,31,12397,2,16,0.929466938828041
74,LD6,31,12762,2,13,0.9606468685332297
75,LD6,31,11359,2,140,0.9393547779499619
76,LD6,31,12376,2,8,0.9454021794079942
77,LD6,31,13401,2,167,0.9094605917881516
78,LD6,31,13369,2,6,0.9483292350050915
79,LD6,31,11572,2,16,0.9532060442958254
80,LD6,31,12592,2,0,
81,LD6,31,11755,2,107,0.9636429425154852
82,LD6,31,10976,2,36,0.9630389846279126
83,LD6,31,12701,2,12,0.9387215201160711
84,LD6,31,13475,2,0,
85,LD6,31,12979,2,79,0.9294652528916147
86,LD6,31,12041,2,4,0.9425150218103429
87,LD6,31,13350,2,6,0.9554841991617179
88,LD6,31,11799,2,32,0.9543067151057789
89,LD6,31,11266,2,3,0.9458669445157067
90,LD6,31,11976,2,18,0.9371896876350522
91,LD6,31,12354,2,5,0.9560856174153237
92,LD6,31,12285,2,3,0.953163712817472
93,LD6,31,11304,2,7,0.9537183107111201
94,LD6,31,12094,2,39,0.9518948397397208
95,LD6,31,12291,2,288,0.9763623140012682
96,LD6,31,13101,2,28,0.9610082108150005
97,LD6,31,11876,2,0,
98,LD6,31,11262,2,3,0.9545662624395482
99,LD6,31,12142,2,12,0.9499036905832979
100,LD6,31,12213,2,5,0.9625083398171002
101,LD6,31,11969,2,80,0.9761231202171139
102,LD6,31,11511,2,0,
103,LD6,31,13289,2,149,0.9635434789936537
104,LD6,31,12649,2,6,0.9476902778290234
105,LD6,31,11125,2,20,0.957743349155853
106,LD6,31,11290,2,9,0.9441593473456469
107,LD6,31,11162,2,299,0.9957588941010829
108,LD6,31,11540,2,42,0.9392106070156133
109,LD6,31,12114,2,0,
110,LD6,31,11911,2,114,0.9397788378048435
111,LD6,31,12411,2,27,0.9497869314085408
112,LD6,31,11987,2,15,0.9678654914597674
113,LD6,31,11332,2,299,0.9999907930139138
114,LD6,31,12858,2,299,0.9996786001427082
115,LD6,31,12615,2,7,0.9632264965481613
116,LD6,31,11880,2,1,0.8788797951437688
117,LD6,31,11178,2,0,
118,LD6,31,12716,2,299,0.9987602743059858
119,LD6,31,11660,2,34,0.9669839781184211
120,LD6,31,12140,2,6,0.9476911584627533
121,LD6,31,11858,2,2,0.9781745966952156
122,LD6,31,11529,2,53,0.9454799281322959
123,LD6,31,11655,2,3,0.9589406156289483
124,LD6,31,11199,2,0,
125,LD6,31,10986,2,42,0.9746699035413539
126,LD6,31,12598,2,0,
127,LD6,31,13262,2,41,0.09377216053857307
128,LD6,31,11223,2,5,0.9486567935384869
129,LD6,31,12951,2,126,0.9427839886863768
130,LD6,31,11880,2,1,0.8788797951437688
131,LD6,31,11169,2,5,0.9631214856993043
132,LD6,31,12824,2,299,0.9961241720769477
133,LD6,31,11958,2,55,0.9331323067217606
134,LD6,31,13315,2,52,0.9542051332532231
135,LD6,31,11971,2,46,0.9526997559884509
136,LD6,31,11318,2,76,0.8555024335403376
137,LD6,31,12376,2,8,0.9454021794079942
138,LD6,31,11054,2,71,0.8440175155980958
139,LD6,31,11446,2,11,0.9426512822357359
140,LD6,31,13292,2,141,0.9642527943350375
141,LD6,31,12794,2,39,0.14288855137503317
142,LD6,31,12656,2,53,0.8997374333606801
143,LD6,31,13020,2,3,0.9379100498848002
144,LD6,31,12988,2,56,0.8995727484760632
145,LD6,31,11658,2,37,0.9690036757582361
146,LD6,31,11545,2,10,0.9510981899786529
147,LD6,31,11203,2,299,0.9966449016049976
148,LD6,31,11856,2,7,0.9526204522215583
149,LD6,31,12627,2,0,
150,LD6,31,11989,2,6,0.9501720316992049
151,LD6,31,13388,2,39,0.9780033618164361
152,LD6,31,12854,2,299,0.9994443073189757
153,LD6,31,11527,2,54,0.9381361013046552
154,LD6,31,11349,2,299,0.999442581422956
155,LD6,31,13268,2,126,0.9300057060713917
156,LD6,31,11127,2,29,0.959500028375736
157,LD6,31,11074,2,67,0.9698091398145795
158,LD6,31,12660,2,44,0.87123227002893
159,LD6,31,12312,2,7,0.9468382298579522
160,LD6,31,13188,2,60,0.9715137489502161
161,LD6,31,13462,2,7,0.9514373429218319
162,LD6,31,11564,2,0,
163,LD6,31,12223,2,2,0.9788991394689235
164,LD6,31,13033,2,3,0.9431927058934972
165,LD6,31,11562,2,8,0.9592717864129365
166,LD6,31,12619,2,7,0.9446514611589614
167,LD6,31,13065,2,9,0.9474177209651456
168,LD6,31,11530,2,52,0.9427371202369634
169,LD6,31,11064,2,146,0.9414821380666518
170,LD6,31,11091,2,86,0.966817303740629
171,LD6,31,12484,2,4,0.9393936941821543
172,LD6,31,11765,2,13,0.9577208519922199
173,LD6,31,11209,2,2,0.9283762551797134
174,LD6,31,13126,2,9,0.9516943358166233
175,LD6,31,12294,2,1,0.9982992939400624
176,LD6,31,12745,2,13,0.9581568881159802
177,LD6,31,13051,2,58,0.8358704536629101
178,LD6,31,12336,2,8,0.9498051132659642
179,LD6,31,11935,2,50,0.9213417321895419
180,LD6,31,12457,2,84,0.08520363469513231
181,LD6,31,12410,2,30,0.9358635481489667
182,LD6,31,12294,2,1,0.9982992939400624
183,LD6,31,11885,2,2,0.9529279413809235
184,LD6,31,11219,2,12,0.9488518589116136
185,LD6,31,11472,2,5,0.9665280548565403
186,LD6,31,12133,2,299,0.9980526949849651
187,LD6,31,13363,2,11,0.9714943228707533
188,LD6,31,13426,2,35,0.981411262091204
189,LD6,31,11551,2,52,0.9385448908019429
190,LD6,31,12057,2,299,0.9993921757161153
191,LD6,31,12190,2,27,0.9514756307709078
192,LD6,31,12339,2,7,0.9467720467815208
193,LD6,31,12903,2,58,0.35812236540715814
194,LD6,31,12767,2,9,0.9558563114044216
195,LD6,31,12669,2,25,0.6133111117275798
196,LD6,31,11445,2,5,0.9493918625750766
197,LD6,31,12702,2,12,0.9462369917538455
198,LD6,31,13378,2,1,0.9857533021805003
199,LD6,31,12345,2,0,
200,LD6,31,12592,2,0,
201,LD6,31,11825,2,6,0.9585639286522124
202,LD6,31,13289,2,149,0.9635434789936537
203,LD6,31,11606,2,6,0.9316486406312956
204,LD6,31,12400,2,5,0.9443916487844278
205,LD6,31,13335,2,18,0.9502546358762766
206,LD6,31,11071,2,71,0.9705230659771363
207,LD6,31,12843,2,299,0.9995456962977114
208,LD6,31,12847,2,299,0.9996527940457699
209,LD6,31,11442,2,14,0.9637236844289995
210,LD6,31,12741,2,299,0.9965806143499265
211,LD6,31,11615,2,17,0.9394003323616991
212,LD6,31,11430,2,17,0.9543997204651697
213,LD6,31,11281,2,81,0.9057867825228471
214,LD6,31,11237,2,7,0.9518075003070348
215,LD6,31,11014,2,11,0.9489273306727274
216,LD6,31,12740,2,299,0.9964384934652167
217,LD6,31,13321,2,88,0.9578384520350934
218,LD6,31,12409,2,29,0.9349610693653352
219,LD6,31,11747,2,292,0.9460037876751732
220,LD6,31,12937,2,32,0.9549795555936083
221,LD6,31,11300,2,19,0.9315943935672153
222,LD6,31,11363,2,21,0.9797664688398892
223,LD6,31,12612,2,9,0.9411076804593874
224,LD6,31,11864,2,1,0.9828504621384012
225,LD6,31,11990,2,25,0.9763133273603618
226,LD6,31,11279,2,65,0.8769926650241394
227,LD6,31,13325,2,26,0.9528599751282947
228,LD6,31,12925,2,68,0.91241494564463
229,LD6,31,11352,2,299,0.9995795827820734
230,LD6,31,12324,2,299,0.997210048023353
231,LD6,31,13006,2,23,0.8435921187733264
232,LD6,31,11552,2,50,0.9342187311621007
233,LD6,31,13440,2,299,0.9993908592226428
234,LD6,31,11564,2,0,
235,LD6,31,13278,2,159,0.9337668478172341
236,LD6,31,12881,2,5,0.9558784643567237
237,LD6,31,11228,2,8,0.9477406129801759
238,LD6,31,12223,2,2,0.9788991394689235
239,LD6,31,11225,2,105,0.8558165478970945
240,LD6,31,12023,2,1,0.8738620613521482
241,LD6,31,12510,2,0,
242,LD6,31,11791,2,57,0.949239910405493
243,LD6,31,12314,2,7,0.9375204511052005
244,LD6,31,12087,2,72,0.9358303701660363
245,LD6,31,11328,2,44,0.9722112992030216
246,LD6,31,13167,2,299,0.9996115642379196
247,LD6,31,11864,2,1,0.9828504621384012
248,LD6,31,13082,2,185,0.953713281208944
249,LD6,31,12545,2,0,
250,LD6,31,11776,3,131,0.9094525991847621
251,LD6,31,13130,3,299,0.999854908533921
252,LD6,31,12436,3,4,0.9680395177137118
253,LD6,31,11530,3,299,0.9996588530912759
254,LD6,31,12580,3,0,
255,LD6,31,11978,3,8,0.9542360261418412
