,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,LES,06,5484,2,46,0.9240470338544386
1,LES,06,5491,2,165,0.876739409414916
2,LES,06,4962,2,299,0.997985249400055
3,LES,06,4615,2,9,0.9587988707676597
4,LES,06,5330,2,25,0.9406731002693136
5,LES,06,5133,2,299,0.9999440991604951
6,LES,06,4711,2,16,0.9659056883823582
7,LES,06,4646,2,3,0.9423600358067693
8,LES,06,5676,2,22,0.924454772984419
9,LES,06,5046,2,23,0.9387871472825025
10,LES,06,5053,2,15,0.9484463800541857
11,LES,06,4742,2,0,
12,LES,06,5658,2,299,0.9946688465211952
13,LES,06,4986,2,1,0.979836257366757
14,LES,06,4781,2,10,0.9424882178611698
15,LES,06,4820,2,299,0.9990450057302713
16,LES,06,5118,2,12,0.9468924783024621
17,LES,06,5635,2,8,0.9606539449491315
18,LES,06,5666,2,61,0.8916507939594737
19,LES,06,5558,2,30,0.9641869009977369
20,LES,06,5303,2,87,0.9679977975796201
21,LES,06,4823,2,299,0.9991373301309794
22,LES,06,5389,2,3,0.9341251938648517
23,LES,06,5503,2,12,0.9442371121433193
24,LES,06,5338,2,6,0.9601465639285501
25,LES,06,4933,2,209,0.725135690504394
26,LES,06,5214,2,42,0.9519052651527238
27,LES,06,5365,2,2,0.9589016507815017
28,LES,06,5276,2,8,0.946319721515719
29,LES,06,5320,2,6,0.9596381392103656
30,LES,06,5600,2,48,0.9765416597007084
31,LES,06,4869,2,299,0.9999903308958836
32,LES,06,5377,2,21,0.9516483347574581
33,LES,06,5433,2,299,0.9321530827208477
34,LES,06,5130,2,28,0.9470233575356585
35,LES,06,5618,2,299,0.9997728806984507
36,LES,06,5473,2,299,0.9989264165018787
37,LES,06,5600,2,48,0.9765416597007084
38,LES,06,5577,2,0,
39,LES,06,5338,2,6,0.9601465639285501
40,LES,06,5097,2,299,0.9999800581158461
41,LES,06,4786,2,39,0.9433391146492247
42,LES,06,5256,2,5,0.9586415385125694
43,LES,06,5287,2,8,0.945164000586853
44,LES,06,5460,2,18,0.9485150262465021
45,LES,06,5418,2,0,
46,LES,06,4949,2,4,0.9440352341299613
47,LES,06,4806,2,62,0.9168734822986419
48,LES,06,5373,2,19,0.9394655833714023
49,LES,06,4732,2,5,0.9563306673480486
50,LES,06,4687,2,5,0.9291827731997773
51,LES,06,4626,2,1,0.942251430876737
52,LES,06,5157,2,11,0.9526748785207277
53,LES,06,4677,2,44,0.8415096898750636
54,LES,06,5663,2,6,0.9529527740054679
55,LES,06,4958,2,11,0.9430778096181651
56,LES,06,5533,2,161,0.9080305522080748
57,LES,06,4718,2,299,0.9998551363367169
58,LES,06,5586,2,0,
59,LES,06,4687,2,5,0.9291827731997773
60,LES,06,5287,2,8,0.945164000586853
61,LES,06,5247,2,4,0.9566422686263413
62,LES,06,5362,2,299,0.9979491188993435
63,LES,06,5601,2,24,0.9540237389820895
64,LES,06,5605,2,299,0.99774190507911
65,LES,06,4779,2,163,0.9575842656156838
66,LES,06,4994,2,20,0.9524154704086651
67,LES,06,4620,2,11,0.9576761829143803
68,LES,06,5106,2,51,0.9564609757887726
69,LES,06,4658,2,2,0.95409536336419
70,LES,06,4708,2,12,0.943777949318115
71,LES,06,5392,2,4,0.961441147441205
72,LES,06,5187,2,6,0.9454937350308152
73,LES,06,5154,2,5,0.9542193738328019
74,LES,06,4947,2,2,0.9352930783034827
75,LES,06,4850,2,17,0.9583050018718128
76,LES,06,5511,2,299,0.9997569265848194
77,LES,06,5323,2,54,0.9549757149736569
78,LES,06,5005,2,159,0.9364675211796296
79,LES,06,5594,2,0,
80,LES,06,5078,2,42,0.962806661032765
81,LES,06,5237,2,12,0.9560938669480666
82,LES,06,4985,2,2,0.9257895693170257
83,LES,06,4674,2,0,
84,LES,06,4818,2,299,0.9989685001648351
85,LES,06,5513,2,299,0.9998525922819617
86,LES,06,5655,2,299,0.999977191426571
87,LES,06,5549,2,96,0.8976281210974403
88,LES,06,5667,2,66,0.900507894376418
89,LES,06,5137,2,14,0.944621832833571
90,LES,06,5368,2,5,0.9523314850290718
91,LES,06,4746,2,3,0.9221590906674996
92,LES,06,5369,2,5,0.9515548261493233
93,LES,06,4760,2,299,0.9984147598718828
94,LES,06,4835,2,299,0.9990367171411895
95,LES,06,5028,2,134,0.8957377634854005
96,LES,06,4904,2,0,
97,LES,06,4859,2,13,0.9499864607575006
98,LES,06,5186,2,7,0.9469704779505037
99,LES,06,4710,2,4,0.9494576523405193
100,LES,06,5460,2,18,0.9485150262465021
101,LES,06,5169,2,1,0.9962495523904477
102,LES,06,5648,2,25,-0.3871935561519191
103,LES,06,4719,2,299,0.9997756078477518
104,LES,06,4974,2,0,
105,LES,06,4837,2,26,0.9656995941946598
106,LES,06,5654,2,299,0.9999304839714646
107,LES,06,4778,2,164,0.9580764313949801
108,LES,06,5451,2,97,0.9563460081078528
109,LES,06,5470,2,299,0.9999864793189782
110,LES,06,5588,2,90,0.956741553743034
