,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,LES,S0,4748,2,299,0.9989799529913975
1,LES,S0,5117,2,4,0.9461973342086052
2,LES,S0,5238,2,4,0.9503927559432441
3,LES,S0,5532,2,13,0.9518686878950164
4,LES,S0,4881,2,3,0.8467908388502908
5,LES,S0,5084,2,299,0.9925235620113848
6,LES,S0,5635,2,299,0.9994847481484354
7,LES,S0,4825,2,10,0.9554675599281024
8,LES,S0,4685,2,0,
9,LES,S0,5056,2,2,0.9502083647882194
10,LES,S0,4730,2,299,0.9992446651852076
11,LES,S0,5481,2,299,0.9999953556243381
12,LES,S0,5433,2,299,0.9952088699635605
13,LES,S0,5430,2,3,0.9556409730465015
14,LES,S0,5014,2,7,0.9537354429138951
15,LES,S0,5082,2,9,0.9473658255672203
16,LES,S0,5644,2,299,0.9986281463440531
17,LES,S0,5011,2,21,0.9363254491299425
18,LES,S0,4720,2,88,0.9509385923921786
19,LES,S0,5511,2,58,0.9339309804216438
20,LES,S0,5400,2,10,0.9633990155320973
21,LES,S0,4764,2,25,0.9489645132168105
22,LES,S0,5511,2,58,0.9339309804216438
23,LES,S0,4707,2,299,0.9967608900970203
24,LES,S0,5662,2,74,0.9562928197704781
25,LES,S0,4983,2,22,0.9561791877940375
26,LES,S0,4862,2,299,0.9895421341211345
27,LES,S0,5496,2,299,0.9997527703696738
28,LES,S0,5322,2,0,
29,LES,S0,5353,2,299,0.9975919372637275
30,LES,S0,5113,2,2,0.9030859296221415
31,LES,S0,5651,2,299,0.9991615043554118
32,LES,S0,5425,2,299,0.9985231443697045
33,LES,S0,5575,2,0,
34,LES,S0,5031,2,6,0.9553606404409193
35,LES,S0,5292,2,0,
36,LES,S0,5362,2,299,0.9896084393720975
37,LES,S0,5031,2,6,0.9553606404409193
38,LES,S0,5380,2,4,0.925688836120556
39,LES,S0,4692,2,1,0.991982709429258
40,LES,S0,5615,2,3,0.9343018530163906
41,LES,S0,4859,2,299,0.9992042623825849
