,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,LID,25,4973,2,9,0.9526204613848049
1,LID,25,4626,2,2,0.954933386892663
2,LID,25,5102,2,299,0.9999735240060894
3,LID,25,4937,2,4,0.9524217022306103
4,LID,25,4648,2,0,
5,LID,25,4773,2,53,0.978563560955448
6,LID,25,5527,2,299,0.9970195727801497
7,LID,25,5367,2,78,0.9663593698556485
8,LID,25,5000,2,10,0.9420223770434948
9,LID,25,4731,2,0,
10,LID,25,4826,2,25,0.9608852200974952
11,LID,25,5394,2,60,0.9645374957446062
12,LID,25,5170,2,84,0.9334659906828332
13,LID,25,4964,2,22,0.951334960918588
14,LID,25,5177,2,299,0.9999534784212334
15,LID,25,4624,2,4,0.9462652377157896
16,LID,25,4763,2,62,0.9839131889395695
17,LID,25,5033,2,14,0.9464170938901988
18,LID,25,5477,2,34,0.948826915570483
19,LID,25,5611,2,1,0.9823124416757418
20,LID,25,5259,2,6,0.9620697712654529
21,LID,25,5058,2,299,0.9999220499383776
22,LID,25,4889,2,2,0.9322587899291718
23,LID,25,4633,2,299,0.9999934294005246
24,LID,25,5236,2,32,0.9787494942508709
25,LID,25,4924,2,8,0.9441482945907163
26,LID,25,5390,2,52,0.9436775042425233
27,LID,25,4781,2,8,0.9540486952197997
28,LID,25,5615,2,0,
29,LID,25,4804,2,80,0.9677498238307507
30,LID,25,4954,2,299,0.9998419473015149
31,LID,25,4631,2,2,0.9283533540262594
32,LID,25,5315,2,18,-1.9476168111388377
33,LID,25,4792,2,20,0.9631475121508053
34,LID,25,4801,2,299,0.9996417313333034
35,LID,25,5661,2,0,
36,LID,25,5196,2,75,0.956237532940908
37,LID,25,5279,2,25,0.974012677892469
38,LID,25,4718,2,6,0.9480524572815505
39,LID,25,4887,2,3,0.9039833009825996
40,LID,25,4720,2,5,0.9455881647157172
41,LID,25,5350,2,17,0.9483954880547064
42,LID,25,5352,2,16,0.9488305115579305
43,LID,25,4710,2,8,0.9487423842665216
44,LID,25,5315,2,18,-1.9476168111388377
45,LID,25,4678,2,299,0.9995422619014259
46,LID,25,5257,2,4,0.9624448968478312
47,LID,25,4635,2,299,0.9998277058251933
48,LID,25,5372,2,59,0.9462646127164892
49,LID,25,5056,2,299,0.9999362464356304
50,LID,25,5086,2,83,0.8963758983196581
51,LID,25,5346,2,107,0.9466594039775028
52,LID,25,5434,2,0,
53,LID,25,5374,2,299,0.9999456725037369
54,LID,25,4767,2,18,0.9514135544068412
55,LID,25,4677,2,299,0.9996059220928171
56,LID,25,4618,2,3,0.9443449569105106
57,LID,25,5322,2,294,0.9917515672063707
58,LID,25,5045,2,116,0.8934583567257212
59,LID,25,4635,2,299,0.9998277058251933
60,LID,25,4749,2,8,0.9541559420192409
61,LID,25,4861,2,288,0.9814675325857848
62,LID,25,5591,2,0,
63,LID,25,5366,2,79,0.9671679016957367
64,LID,25,5650,2,0,
65,LID,25,5295,2,0,
66,LID,25,5412,2,299,0.9996841330580588
67,LID,25,5165,2,8,0.94696982004928
68,LID,25,5619,2,0,
69,LID,25,4757,2,6,0.9424834750697467
70,LID,25,5111,2,32,0.9641523349573036
71,LID,25,4841,2,299,0.9995942604047697
72,LID,25,5394,2,60,0.9645374957446062
73,LID,25,5196,2,75,0.956237532940908
74,LID,25,4988,2,6,0.9526185828872099
75,LID,25,4691,2,24,0.8746341032112804
76,LID,25,5064,2,299,0.9997767609652464
77,LID,25,4748,2,87,0.9326634476275324
78,LID,25,5483,2,89,0.9705043121816167
79,LID,25,4753,2,6,0.9446840542571441
80,LID,25,5225,2,50,0.9371763155445911
81,LID,25,5457,2,85,0.9725085391881073
82,LID,25,5371,2,59,0.9472535265568481
83,LID,25,5658,2,0,
84,LID,25,4708,2,27,0.9436940350862405
85,LID,25,4643,2,0,
86,LID,25,5606,2,2,0.9210847677370073
87,LID,25,4965,2,9,0.9497636817924572
88,LID,25,5198,2,70,0.9566897249216965
89,LID,25,5173,2,299,0.9994411076865808
90,LID,25,4746,2,89,0.9350345113932063
91,LID,25,5184,2,18,0.9469772285157604
92,LID,25,4914,2,1,0.7635148504254748
93,LID,25,5210,2,41,0.9590087271780355
94,LID,25,4646,2,0,
95,LID,25,4932,2,60,0.9489037678933854
96,LID,25,4758,2,7,0.9454433769242673
97,LID,25,4722,2,6,0.9561255279248878
98,LID,25,5069,2,299,0.9997793979294733
99,LID,25,5488,2,126,0.9743892261479532
100,LID,25,4657,2,299,0.998503527395057
101,LID,25,5551,2,16,0.9630205246530228
102,LID,25,5092,2,56,0.9697499657365037
103,LID,25,4825,2,27,0.9632504861870509
104,LID,25,4704,2,10,0.9403874753275124
105,LID,25,5573,2,7,0.9560920592238238
106,LID,25,4996,2,38,0.8930540298348717
107,LID,25,5348,2,104,0.9459519547941843
108,LID,25,5152,2,299,0.9994803200714647
109,LID,25,5521,2,64,0.9588672457092622
110,LID,25,5481,2,66,0.9044708657828565
111,LID,25,5524,2,112,0.9715978589633357
