,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,SHM,41,5138,2,299,0.9995888638721115
1,SHM,41,5511,2,299,0.9992044529142748
2,SHM,41,4839,2,2,0.9299321709902046
3,SHM,41,5505,2,299,0.9999934230544543
4,SHM,41,5205,2,2,0.8509095260454621
5,SHM,41,5099,2,299,0.9953619158815157
6,SHM,41,5675,2,288,0.9272825718339536
7,SHM,41,5039,2,5,0.9211687726393432
8,SHM,41,5018,2,299,0.9969020807716907
9,SHM,41,4874,2,299,0.9890813295024891
10,SHM,41,4860,2,12,0.9587559773502364
11,SHM,41,5353,2,299,0.9997949504776364
12,SHM,41,5621,2,299,0.9983337380058495
13,SHM,41,5490,2,8,0.9397203852418401
14,SHM,41,5435,2,64,0.9203735225018289
15,SHM,41,4820,2,5,0.942786743269951
16,SHM,41,4822,2,299,0.994176368241523
17,SHM,41,4719,2,1,0.8689398899161386
18,SHM,41,5426,2,18,0.951751992824516
19,SHM,41,4769,2,5,0.5336715867619013
20,SHM,41,5424,2,25,0.959031900587736
21,SHM,41,5367,2,4,0.949039540503777
22,SHM,41,5600,2,299,0.999704311530153
23,SHM,41,5211,2,3,0.9270943389189544
24,SHM,41,5353,2,299,0.9997949504776364
25,SHM,41,5619,2,299,0.9981891036128586
26,SHM,41,5069,2,2,0.9602520098097
27,SHM,41,5355,2,299,0.9998408450270515
28,SHM,41,5190,2,299,0.9921946116918602
29,SHM,41,5228,2,2,0.9631213267306087
30,SHM,41,4894,2,0,
31,SHM,41,5216,2,25,0.7877362934976692
32,SHM,41,4815,2,0,
33,SHM,41,5239,2,299,0.9999643529043697
34,SHM,41,5302,2,16,0.9598291099686322
35,SHM,41,5007,2,299,0.9979892495233118
36,SHM,41,5467,2,299,0.9991922899452502
37,SHM,41,5269,2,18,0.9438187303770064
38,SHM,41,4631,2,3,0.9623286891334173
39,SHM,41,4774,2,13,0.9423399933699426
40,SHM,41,5038,2,5,0.93366497552149
41,SHM,41,4672,2,0,
42,SHM,41,4809,2,0,
43,SHM,41,5186,2,299,0.9983386326451115
44,SHM,41,4903,2,293,0.9904175875904037
45,SHM,41,5308,2,299,0.9983340585734204
46,SHM,41,4890,2,1,0.8908971143780889
47,SHM,41,4887,2,0,
48,SHM,41,4861,2,10,0.9593542447167549
49,SHM,41,5339,2,0,
50,SHM,41,5512,2,299,0.9962693923718015
51,SHM,41,5499,2,6,0.9447381828882574
52,SHM,41,4630,2,2,0.9712992177137845
53,SHM,41,5285,2,299,0.9997991128399735
54,SHM,41,4766,2,0,
55,SHM,41,5652,2,1,0.9809305657716375
56,SHM,41,5091,2,299,0.999855477089746
57,SHM,41,5001,2,299,0.998416899495772
58,SHM,41,4755,2,0,
59,SHM,41,5235,2,3,0.9108838780134412
60,SHM,41,5203,2,0,
61,SHM,41,5358,2,29,0.9375631026753574
62,SHM,41,4691,2,0,
63,SHM,41,5657,2,1,0.8970341043156276
64,SHM,41,5098,2,299,0.9952049843458136
65,SHM,41,5241,2,299,0.9997904298292103
66,SHM,41,4996,2,299,0.9986711311026976
67,SHM,41,4944,2,299,0.9988843210731958
68,SHM,41,5526,2,6,0.9523945974531385
69,SHM,41,4795,2,38,0.9453544285925662
70,SHM,41,4806,2,299,0.99952724820011
71,SHM,41,4863,2,0,
72,SHM,41,4752,2,0,
73,SHM,41,4705,2,0,
74,SHM,41,5197,2,2,0.9524522379566682
75,SHM,41,5597,2,299,0.9997389558409703
76,SHM,41,4751,2,0,
77,SHM,41,5288,2,0,
78,SHM,41,5040,2,9,0.9417802786684493
79,SHM,41,4735,2,1,0.8810168284824601
80,SHM,41,5496,2,5,0.9353995588300158
81,SHM,41,5590,2,299,0.9996361691972628
82,SHM,41,5418,2,13,0.9438050722182761
83,SHM,41,5133,2,299,0.9995634283057927
84,SHM,41,5552,2,297,0.9970548221478561
85,SHM,41,4728,2,0,
86,SHM,41,5499,2,6,0.9447381828882574
87,SHM,41,4949,2,299,0.999065928171235
88,SHM,41,5040,2,9,0.9417802786684493
89,SHM,41,4923,2,295,0.9895276224039874
90,SHM,41,5583,2,299,0.9995683265821672
91,SHM,41,5035,2,0,
92,SHM,41,4876,2,1,0.9593685892587184
93,SHM,41,4815,2,0,
94,SHM,41,5070,2,2,0.9619992123403627
95,SHM,41,5387,2,299,0.9992804195441997
96,SHM,41,4965,2,299,0.99924680271091
97,SHM,41,5340,2,0,
98,SHM,41,4945,2,299,0.9988898170216715
99,SHM,41,4974,2,299,0.9995677095306753
100,SHM,41,4957,2,299,0.9992128764712482
101,SHM,41,5612,2,30,0.9504477835172711
102,SHM,41,4765,2,0,
103,SHM,41,5404,2,299,0.9990540978070034
104,SHM,41,5651,2,7,0.9219182435896502
105,SHM,41,5420,2,12,0.9503803573956131
106,SHM,41,4846,2,12,0.9464749373438891
107,SHM,41,5167,2,6,0.9495470662079636
108,SHM,41,5383,2,299,0.9994378835850342
109,SHM,41,4891,2,2,0.8852999531400998
110,SHM,41,5041,2,5,0.9443338982641514
111,SHM,41,4904,2,293,0.9895095305002011
112,SHM,41,5196,2,299,0.9915883293641246
113,SHM,41,5549,2,2,0.9575942658198104
114,SHM,41,5123,2,17,0.9272287160583773
115,SHM,41,5660,2,299,0.9995532754729768
116,SHM,41,5130,2,299,0.9995029736542304
117,SHM,41,4814,2,0,
118,SHM,41,4831,2,4,0.9622124366878972
119,SHM,41,5302,2,16,0.9598291099686322
120,SHM,41,5632,2,15,0.9578675461428491
121,SHM,41,4636,2,9,0.9468843376166851
122,SHM,41,5059,2,4,0.9578923866323141
123,SHM,41,5667,2,287,0.6162234060951272
124,SHM,41,4745,2,32,0.5686903135140153
125,SHM,41,5140,2,299,0.9996346800001545
126,SHM,41,4791,2,24,0.9633938275939213
127,SHM,41,5557,2,299,0.9995332317486175
128,SHM,41,4683,2,0,
129,SHM,41,5413,2,299,0.9990751932016902
130,SHM,41,5475,2,1,0.9693080113933783
131,SHM,41,4890,2,1,0.8908971143780889
132,SHM,41,5168,2,4,0.9413853065039182
133,SHM,41,5287,2,0,
134,SHM,41,5013,2,299,0.997613855981236
135,SHM,41,5277,2,299,0.999696571816785
136,SHM,41,5634,2,9,0.9560375403963935
137,SHM,41,5232,2,3,0.8846575783879501
138,SHM,41,4767,2,0,
139,SHM,41,5461,2,299,0.9960406729989812
140,SHM,41,5139,2,299,0.9995545835163493
141,SHM,41,4980,2,299,0.99960016673938
142,SHM,41,5175,2,2,0.9490764646323737
143,SHM,41,5094,2,299,0.9936675734357493
144,SHM,41,5171,2,4,0.9643668015516487
145,SHM,41,5245,2,299,0.997346464386843
146,SHM,41,4944,2,299,0.9988843210731958
147,SHM,41,5099,2,299,0.9953619158815157
148,SHM,41,5510,2,299,0.9992450773187956
149,SHM,41,5576,2,299,0.9993467077234792
150,SHM,41,5101,2,299,0.9944805588975131
151,SHM,41,5326,2,4,0.9330350887772462
152,SHM,41,5007,2,299,0.9979892495233118
153,SHM,41,4849,2,24,0.9703839211521563
154,SHM,41,5034,2,1,0.9876731610721534
155,SHM,41,5397,2,299,0.999049300246252
156,SHM,41,5593,2,299,0.999676829509829
157,SHM,41,5400,2,299,0.9991154767381291
158,SHM,41,4998,2,299,0.9986630722607388
159,SHM,41,4780,2,8,0.9501600878095411
160,SHM,41,4796,2,7,0.9504140633754922
161,SHM,41,5279,2,299,0.9996942734316837
162,SHM,41,5301,2,299,0.9986021937489707
163,SHM,41,5380,2,299,0.9995538063889635
