,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,SKF,18,4775,2,32,0.9619534254173387
1,SKF,18,4725,2,0,
2,SKF,18,5546,2,164,0.9474457970343548
3,SKF,18,5528,2,86,0.962480346978196
4,SKF,18,5410,2,262,0.9421231355674472
5,SKF,18,4911,2,299,0.9992387121207352
6,SKF,18,5422,2,55,0.9466106982658452
7,SKF,18,5439,2,299,0.9993407913638287
8,SKF,18,4790,2,28,0.9553651080498857
9,SKF,18,5286,2,5,0.9455616321416537
10,SKF,18,5355,2,40,0.6433119086350467
11,SKF,18,5372,2,279,0.9170253561018238
12,SKF,18,5358,2,4,0.9556050927540171
13,SKF,18,5067,2,8,0.9563858309978442
14,SKF,18,5084,2,4,0.9274417067579686
15,SKF,18,4998,2,36,0.9546767466242925
16,SKF,18,5679,2,69,0.9442528206236094
17,SKF,18,5227,2,70,0.9302714446084104
18,SKF,18,4730,2,299,0.9997161029968513
19,SKF,18,5177,2,49,0.9427714765589523
20,SKF,18,4913,2,0,
21,SKF,18,4645,2,0,
22,SKF,18,5187,2,143,0.9468954553927845
23,SKF,18,5563,2,42,0.9590972717622492
24,SKF,18,5334,2,18,0.9584095841905526
25,SKF,18,5040,2,53,0.957589665198021
26,SKF,18,5339,2,14,0.9607114207327446
27,SKF,18,4653,2,67,0.7691269915111584
28,SKF,18,4908,2,299,0.9989963316227622
29,SKF,18,5102,2,1,0.9421916723983367
30,SKF,18,4686,2,145,0.9482672154892455
31,SKF,18,5041,2,51,0.951265549272193
32,SKF,18,5429,2,299,0.9997281291925264
33,SKF,18,5383,2,11,0.9438986070554116
34,SKF,18,4680,2,14,0.9496317248470484
35,SKF,18,4952,2,299,0.9992637300251179
36,SKF,18,4808,2,62,0.9349745994100354
37,SKF,18,4750,2,299,0.9999028821575582
38,SKF,18,5068,2,7,0.9578318231050309
39,SKF,18,5450,2,107,0.5110439064595027
40,SKF,18,4961,2,77,0.9550110350711266
41,SKF,18,4782,2,299,0.9999989001086537
42,SKF,18,5568,2,299,0.9999064606853156
43,SKF,18,5178,2,47,0.9449476336735744
44,SKF,18,4816,2,60,0.9249348725256987
45,SKF,18,5035,2,28,0.945648630216425
46,SKF,18,5518,2,95,0.9701191541115839
47,SKF,18,4945,2,299,0.999411226183399
48,SKF,18,5360,2,5,0.9455069162523977
49,SKF,18,5147,2,11,0.9366807961483704
50,SKF,18,4840,2,26,0.9601899527779134
51,SKF,18,5647,2,188,0.9552126798397113
52,SKF,18,5381,2,38,0.9574301505213924
53,SKF,18,5555,2,60,0.9632402535734441
54,SKF,18,5309,2,12,0.9528180622956698
55,SKF,18,5193,2,52,0.9582148620181636
56,SKF,18,5204,2,299,0.999984749156652
57,SKF,18,5663,2,33,0.939642649869084
58,SKF,18,4848,2,11,0.9568025851445315
59,SKF,18,5017,2,299,0.9998485564230797
60,SKF,18,4860,2,299,0.9991268545823754
61,SKF,18,5203,2,90,0.9251228313706089
62,SKF,18,5185,2,93,0.9324959771518841
63,SKF,18,4956,2,86,0.9360971008880892
64,SKF,18,5024,2,299,0.999881483814789
65,SKF,18,5412,2,299,0.9998147569070601
66,SKF,18,5541,2,299,0.9999565127024231
67,SKF,18,5258,2,7,0.9548819816694921
68,SKF,18,4636,2,2,0.9589469924232149
69,SKF,18,5075,2,3,0.9520723993863222
70,SKF,18,5523,2,91,0.9662758457473035
71,SKF,18,4793,2,299,0.9995829161177785
72,SKF,18,4757,2,25,0.9334567848089453
73,SKF,18,5378,2,41,0.9610097099776979
74,SKF,18,4799,2,15,0.9558327011580285
75,SKF,18,4655,2,4,0.937619268501859
76,SKF,18,5106,2,2,0.9190265882562603
77,SKF,18,4858,2,299,0.9997191196660353
78,SKF,18,4970,2,68,0.9648337008441087
79,SKF,18,5248,2,45,0.9791870981815333
80,SKF,18,4999,2,34,0.9546344617401907
81,SKF,18,5596,2,112,0.8818880359861906
82,SKF,18,4926,2,176,0.8966643811289178
83,SKF,18,5530,2,0,
84,SKF,18,4965,2,73,0.9586231694041156
85,SKF,18,4643,2,0,
86,SKF,18,5186,2,145,0.9475459663575758
87,SKF,18,5159,2,163,0.9144295715335895
88,SKF,18,5268,2,14,0.9658389227736395
89,SKF,18,4989,2,299,0.9998347539805298
90,SKF,18,4645,2,0,
91,SKF,18,5134,2,80,0.8856259273691475
92,SKF,18,5113,2,5,0.9455479109845676
93,SKF,18,4686,2,145,0.9482672154892455
94,SKF,18,5291,2,6,0.9455827245842173
95,SKF,18,4991,2,299,0.9997395018877597
96,SKF,18,5214,2,75,0.9370410544429562
97,SKF,18,4932,2,0,
98,SKF,18,5069,2,7,0.950148156848453
99,SKF,18,5416,2,299,0.9997928827372149
100,SKF,18,5627,2,92,0.9477120059657171
101,SKF,18,5617,2,61,0.9492851365799637
102,SKF,18,4727,2,299,0.9995336572806424
103,SKF,18,4700,2,110,0.915849766619909
104,SKF,18,5501,2,1,0.8638905974952391
105,SKF,18,4633,2,299,0.9991950109558478
106,SKF,18,4906,2,299,0.9950910152367037
107,SKF,18,5597,2,61,0.9470796323480533
108,SKF,18,5095,2,0,
