,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,SUM,12,2414,2,0,
1,SUM,12,2504,2,132,0.9625913313841603
2,SUM,12,2680,2,6,0.944024522433223
3,SUM,12,2491,2,299,0.9987665932009232
4,SUM,12,2564,2,1,0.9007750265179949
5,SUM,12,2291,2,299,0.9771881393003892
6,SUM,12,2484,2,10,0.9437244541136185
7,SUM,12,2555,2,25,0.23057171220346262
8,SUM,12,2497,2,299,0.9946556505251865
9,SUM,12,2401,2,6,0.9510766964060449
10,SUM,12,2640,2,62,0.9625220403174499
11,SUM,12,2707,2,299,0.9962503232757385
12,SUM,12,2634,2,299,0.9566551040034322
13,SUM,12,2312,2,284,0.9513336315401928
14,SUM,12,2373,2,11,0.9516775055804231
15,SUM,12,2334,2,299,0.9944757613590242
16,SUM,12,2625,2,299,0.9715976439512981
17,SUM,12,2359,2,5,0.9408122684548624
18,SUM,12,2458,2,3,0.9302843489060929
19,SUM,12,2641,2,60,0.961256230423707
20,SUM,12,2347,2,0,
21,SUM,12,2447,2,293,0.9881871119724104
22,SUM,12,2350,2,290,0.9787283895702736
23,SUM,12,2564,2,1,0.9007750265179949
24,SUM,12,2620,2,26,0.9228922919521749
25,SUM,12,2454,2,2,0.9418312539620275
26,SUM,12,2429,2,299,0.9971757414865746
27,SUM,12,2379,2,6,0.9464922759752722
28,SUM,12,2401,2,6,0.9510766964060449
29,SUM,12,2540,2,6,0.9516605877635603
30,SUM,12,2731,2,16,0.9655513117917913
31,SUM,12,2589,2,85,0.8569059062978857
32,SUM,12,2772,2,299,0.9993186456571749
33,SUM,12,2577,2,5,0.9438634870060252
34,SUM,12,2304,2,299,0.9938386342414899
35,SUM,12,2366,2,299,0.9923368593269498
36,SUM,12,2301,2,299,0.9767592182367288
37,SUM,12,2351,2,290,0.9789839276575941
38,SUM,12,2566,2,1,0.9480412601605712
39,SUM,12,2557,2,2,0.9393483406093919
40,SUM,12,2700,2,299,0.9998329045099834
41,SUM,12,2558,2,1,0.9858002025296286
42,SUM,12,2341,2,289,0.9802191477032364
43,SUM,12,2451,2,0,
44,SUM,12,2641,2,60,0.961256230423707
45,SUM,12,2680,2,6,0.944024522433223
46,SUM,12,2320,2,292,0.9734116545122731
47,SUM,12,2385,2,299,0.9904089992016619
48,SUM,12,2779,2,299,0.998599428399413
49,SUM,12,2356,2,8,0.9389493639327248
50,SUM,12,2718,2,10,0.4665316462883456
51,SUM,12,2732,2,15,0.9623213400409338
52,SUM,12,2798,2,299,0.99581763940214
53,SUM,12,2793,2,299,0.9970446960106812
54,SUM,12,2330,2,299,0.9948342430182977
55,SUM,12,2300,2,299,0.9771173703939747
56,SUM,12,2640,2,62,0.9625220403174499
57,SUM,12,2742,2,299,0.9998481766872066
58,SUM,12,2650,2,44,0.9569170434485859
59,SUM,12,2276,2,0,
60,SUM,12,2537,2,8,0.9500844978227113
61,SUM,12,2351,2,290,0.9789839276575941
62,SUM,12,2679,2,3,0.9375295436782437
63,SUM,12,2387,2,299,0.9976086176613469
64,SUM,12,2641,2,60,0.961256230423707
65,SUM,12,2301,2,299,0.9767592182367288
66,SUM,12,2381,2,299,0.9905504955833903
67,SUM,12,2746,2,299,0.99891130606797
68,SUM,12,2333,2,299,0.9945940212238151
69,SUM,12,2778,2,299,0.9987702097787339
70,SUM,12,2316,2,288,0.9202863327327991
71,SUM,12,2611,2,177,0.8632604362512396
72,SUM,12,2747,2,299,0.9950116360974472
73,SUM,12,2526,2,10,0.9471711711536026
74,SUM,12,2471,2,299,0.9983114386413093
75,SUM,12,2378,2,6,0.9492055413962808
76,SUM,12,2343,2,286,0.9689758268146478
77,SUM,12,2486,2,24,0.9591739779564804
78,SUM,12,2664,2,299,0.9938150666141568
79,SUM,12,2793,2,299,0.9970446960106812
80,SUM,12,2566,2,1,0.9480412601605712
81,SUM,12,2573,2,3,0.9603904103447457
82,SUM,12,2601,2,79,0.8891142731802695
83,SUM,12,2458,2,3,0.9302843489060929
84,SUM,12,2516,2,114,0.9312120212733414
85,SUM,12,2750,2,299,0.9978691172218863
86,SUM,12,2457,2,2,0.949975383504009
87,SUM,12,2718,2,10,0.4665316462883456
88,SUM,12,2434,2,0,
89,SUM,12,2583,2,15,0.9381607754885831
90,SUM,12,2580,2,11,0.9345724171574626
91,SUM,12,2641,2,60,0.961256230423707
92,SUM,12,2576,2,6,0.9319587548070506
93,SUM,12,2351,2,290,0.9789839276575941
94,SUM,12,2281,2,0,
95,SUM,12,2471,2,299,0.9983114386413093
96,SUM,12,2742,2,299,0.9998481766872066
97,SUM,12,2717,2,2,0.8914717486949274
98,SUM,12,2722,2,299,0.99936512773348
99,SUM,12,2558,2,1,0.9858002025296286
100,SUM,12,2732,2,15,0.9623213400409338
101,SUM,12,2460,2,2,0.9697445553380056
102,SUM,12,2740,2,299,0.9997266052037825
103,SUM,12,2734,2,10,0.9422318571550321
104,SUM,12,2370,2,14,0.9468231958690664
105,SUM,12,2570,2,41,0.8728148590399873
106,SUM,12,2776,2,299,0.9990470998918877
107,SUM,12,2689,2,16,0.5485208007526996
108,SUM,12,2487,2,15,0.9412906936981464
109,SUM,12,2401,2,6,0.9510766964060449
110,SUM,12,2287,2,295,0.9735320086525148
111,SUM,12,2592,2,80,0.8975436171636713
112,SUM,12,2614,2,84,0.8989927260910188
113,SUM,12,2286,2,294,0.9716152900992416
114,SUM,12,2442,2,299,0.9904008291287799
115,SUM,12,2727,2,18,0.9582183200865761
116,SUM,12,2552,2,3,0.9629045817011592
117,SUM,12,2562,2,299,0.9998103739692301
118,SUM,12,2438,2,299,0.990684202222493
119,SUM,12,2771,2,299,0.9994042479809115
120,SUM,12,2388,2,299,0.9889210885160377
121,SUM,12,2700,2,299,0.9998329045099834
122,SUM,12,2282,2,0,
123,SUM,12,2347,2,0,
124,SUM,12,2753,2,299,0.9987916704437463
125,SUM,12,2658,2,32,0.9786431199950254
126,SUM,12,2507,2,128,0.958856061525752
127,SUM,12,2604,2,299,0.9983505108942524
128,SUM,12,2483,2,9,0.9448313191566808
129,SUM,12,2421,2,299,0.9997324667520819
130,SUM,12,2321,2,293,0.9747714629439015
131,SUM,12,2277,2,0,
132,SUM,12,2616,2,59,0.9194533028648361
