,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,LES,10,4706,2,31,0.9640596875939367
1,LES,10,5117,2,40,0.9518243482438533
2,LES,10,5397,2,14,0.9613248029085574
3,LES,10,5572,2,299,0.9995720367420688
4,LES,10,5332,2,8,0.9543130538806512
5,LES,10,5125,2,299,0.9988011937209101
6,LES,10,5220,2,114,0.927973412828176
7,LES,10,4778,2,28,0.9390228421187834
8,LES,10,4808,2,13,0.9470031477440968
9,LES,10,4894,2,11,0.9483323616121254
10,LES,10,5219,2,299,0.9989673605184587
11,LES,10,5668,2,9,0.9531022644422982
12,LES,10,5648,2,0,
13,LES,10,5491,2,1,0.9993200372727618
14,LES,10,4864,2,299,0.9996080818246471
15,LES,10,4768,2,53,0.9568798935518001
16,LES,10,5673,2,14,0.9460236792578585
17,LES,10,5279,2,299,0.9992075673710294
18,LES,10,4758,2,36,0.9164628419631369
19,LES,10,4714,2,299,0.9998759052712133
20,LES,10,4832,2,10,0.9596381306703803
21,LES,10,4743,2,0,
22,LES,10,5086,2,0,
23,LES,10,5280,2,299,0.9992056195257109
24,LES,10,5539,2,299,0.9996704226113369
25,LES,10,5564,2,299,0.9995967598655758
26,LES,10,4699,2,10,0.946678753280964
27,LES,10,4650,2,299,0.9947761665173566
28,LES,10,5440,2,299,0.9987036760347828
29,LES,10,4757,2,16,0.9526009524694915
30,LES,10,5601,2,38,0.8730392034489559
31,LES,10,5226,2,100,0.9244667611397576
32,LES,10,5043,2,3,0.9320504260890118
33,LES,10,5011,2,2,0.8965579038912941
34,LES,10,5648,2,0,
35,LES,10,4785,2,12,0.947452050772566
36,LES,10,5128,2,0,
37,LES,10,4899,2,80,0.9378428030897406
38,LES,10,4932,2,46,0.9677301133512344
39,LES,10,4766,2,299,0.9995762493014784
40,LES,10,5147,2,2,0.968388302005049
41,LES,10,5125,2,299,0.9988011937209101
42,LES,10,5282,2,14,0.9545862776261408
43,LES,10,4877,2,299,0.9990616147280245
44,LES,10,4683,2,297,0.9933135398554103
45,LES,10,5300,2,299,0.9994508696786665
46,LES,10,5561,2,299,0.9995897101733827
47,LES,10,5311,2,9,0.958690238802849
48,LES,10,4977,2,299,0.9980381050686428
49,LES,10,5618,2,10,0.9511579193103172
50,LES,10,4617,2,16,0.9537028523700539
51,LES,10,4787,2,299,0.9998685553222666
52,LES,10,5239,2,299,0.9997837129614544
53,LES,10,5051,2,17,0.9505038565755707
54,LES,10,4878,2,299,0.9995517167491478
55,LES,10,5674,2,15,0.9422652141868684
56,LES,10,4904,2,14,0.9500069792776715
57,LES,10,5447,2,0,
58,LES,10,4884,2,299,0.9997375486479332
59,LES,10,5023,2,299,0.9984566327562789
60,LES,10,4841,2,10,0.9536448795647555
61,LES,10,4835,2,5,0.9472647452387537
62,LES,10,5089,2,29,0.9467502532832085
63,LES,10,4681,2,294,0.9872746526492469
64,LES,10,5603,2,34,0.8382648620190016
65,LES,10,4779,2,28,0.9406425677780079
66,LES,10,4763,2,299,0.9997918424238296
67,LES,10,5074,2,44,0.9771812263766839
68,LES,10,5615,2,24,0.9554677709282019
69,LES,10,5561,2,299,0.9995897101733827
70,LES,10,5049,2,16,0.9533387990928665
71,LES,10,4891,2,10,0.9525049203919984
72,LES,10,5626,2,299,0.9998071660994319
73,LES,10,5059,2,7,0.9478688155800847
74,LES,10,4913,2,299,0.9998287769567954
75,LES,10,5609,2,32,0.9652255978782417
76,LES,10,5442,2,299,0.9992433208018525
77,LES,10,5486,2,1,0.9218306945718187
78,LES,10,5120,2,299,0.9992162889434324
79,LES,10,5212,2,6,0.933411328309156
80,LES,10,5329,2,299,0.9992938199565684
81,LES,10,4678,2,290,0.9289150662175816
82,LES,10,4859,2,299,0.999944863061386
83,LES,10,5214,2,299,0.998850578368253
84,LES,10,4622,2,15,0.9528514608395235
85,LES,10,4834,2,4,0.9645055655199648
86,LES,10,5070,2,50,0.9792541384715159
87,LES,10,5485,2,2,0.9442217052493185
88,LES,10,4624,2,19,0.958953279726452
89,LES,10,5167,2,24,0.7188856242803587
90,LES,10,4636,2,17,0.9688925107845276
91,LES,10,4744,2,0,
92,LES,10,5478,2,0,
93,LES,10,5095,2,14,0.9471925018926669
94,LES,10,4671,2,299,0.9962430948780554
95,LES,10,5595,2,299,0.9991437822734278
96,LES,10,4643,2,11,0.9554909406469428
97,LES,10,4933,2,299,0.9998642762533515
98,LES,10,4671,2,299,0.9962430948780554
99,LES,10,4760,2,85,0.8730192795389473
100,LES,10,5186,2,0,
101,LES,10,5611,2,16,0.9458151618403339
102,LES,10,5350,2,0,
103,LES,10,5204,2,299,0.99722512220349
104,LES,10,5654,2,11,0.9072864592810916
105,LES,10,4933,2,299,0.9998642762533515
106,LES,10,4844,2,7,0.949336697810634
107,LES,10,5159,2,57,0.7796510701596702
108,LES,10,5461,2,299,0.9923112896040054
109,LES,10,4929,2,299,0.9997974134612212
110,LES,10,5266,2,66,0.9459243996234663
111,LES,10,4951,2,14,0.9611609078780562
112,LES,10,5152,2,56,0.607957157977325
113,LES,10,4850,2,8,0.9577013959084263
114,LES,10,4895,2,13,0.9438576300764765
115,LES,10,5343,2,2,0.9683564720340485
116,LES,10,5348,2,2,0.9323847036418126
117,LES,10,5479,2,1,0.9984742206259821
118,LES,10,4975,2,299,0.9978375427365904
119,LES,10,5072,2,47,0.9784036148027142
120,LES,10,5040,2,3,0.9466379131732813
121,LES,10,5084,2,56,0.9867037757968483
122,LES,10,5216,2,299,0.9989886345282742
123,LES,10,5263,2,299,0.9993236433429437
124,LES,10,5332,2,8,0.9543130538806512
125,LES,10,4665,2,106,-0.4420222982340066
126,LES,10,5666,2,6,0.9485495732843551
127,LES,10,4934,2,299,0.99987797524382
128,LES,10,5327,2,299,0.9992696019984083
129,LES,10,5286,2,37,0.9431555568725516
130,LES,10,5194,2,298,0.9977276766751026
131,LES,10,5506,2,299,0.9995688031965616
132,LES,10,4944,2,25,0.9738342575060364
133,LES,10,5602,2,37,0.8554325861011987
134,LES,10,4934,2,299,0.99987797524382
135,LES,10,5439,2,0,
136,LES,10,5388,2,299,0.9901744713162587
137,LES,10,5198,2,299,0.9949254921749635
138,LES,10,4791,2,299,0.9994508394207544
139,LES,10,4981,2,299,0.9982771868335647
140,LES,10,4883,2,299,0.9997380698596696
141,LES,10,4696,2,88,0.9195356501076202
142,LES,10,5606,2,36,0.9610744400196395
143,LES,10,5063,2,299,0.9990540582523338
144,LES,10,5287,2,35,0.9439067019158383
145,LES,10,4876,2,299,0.9984881004298208
146,LES,10,5223,2,109,0.9260867708144553
147,LES,10,5232,2,299,0.9996531191462786
148,LES,10,5408,2,299,0.9982834330355205
149,LES,10,5103,2,13,0.9510811415289767
150,LES,10,4706,3,299,0.9999818815780361
151,LES,10,5117,3,299,0.9951702230267209
152,LES,10,5397,3,299,0.9946095416639604
153,LES,10,5572,3,299,0.9998896519427203
154,LES,10,5332,3,299,0.9953442804650945
155,LES,10,5125,3,299,0.9964836069112587
156,LES,10,5220,3,299,0.9999263758032246
157,LES,10,4778,3,299,0.9998305563934395
158,LES,10,4808,3,299,0.9984260274578294
159,LES,10,4894,3,299,0.9997710266591257
160,LES,10,5219,3,299,0.999931106275526
161,LES,10,5668,3,299,0.9986239656299427
162,LES,10,5648,3,69,0.9340072917547184
163,LES,10,5491,3,299,0.9994134009378428
164,LES,10,4864,3,299,0.9952922319721587
165,LES,10,4768,3,41,0.8950237855988115
166,LES,10,5673,3,299,0.9966547379037248
167,LES,10,5279,3,299,0.9993353858702032
168,LES,10,4758,3,299,0.9997548838560448
169,LES,10,4714,3,299,0.9998093662568192
170,LES,10,4832,3,299,0.9982646862552115
171,LES,10,4743,3,299,0.9999645189347667
172,LES,10,5086,3,299,0.9973532676306913
173,LES,10,5280,3,299,0.999407302564003
174,LES,10,5539,3,299,0.9999236759082687
175,LES,10,5564,3,299,0.999971882507584
176,LES,10,4699,3,299,0.9999327469841872
177,LES,10,4650,3,299,0.9975574091031069
178,LES,10,5440,3,299,0.9996536082624302
179,LES,10,4757,3,299,0.9997061863807136
180,LES,10,5601,3,299,0.9994881769433313
181,LES,10,5226,3,51,0.8950326662772173
182,LES,10,5043,3,299,0.9979025148155551
183,LES,10,5011,3,299,0.9996340821265233
184,LES,10,5648,3,69,0.9340072917547184
185,LES,10,4785,3,299,0.9994612603840742
186,LES,10,5128,3,299,0.9955504834244513
187,LES,10,4899,3,299,0.9999733848466418
188,LES,10,4932,3,299,0.9972864649010096
189,LES,10,4766,3,40,0.8889333501213589
190,LES,10,5147,3,3,0.9377024582454037
191,LES,10,5125,3,299,0.9964836069112587
192,LES,10,5282,3,299,0.9994598749552763
193,LES,10,4877,3,299,0.9998786589814204
194,LES,10,4683,3,299,0.9993911075144633
195,LES,10,5300,3,299,0.9995456973941388
196,LES,10,5561,3,299,0.9999715274835469
197,LES,10,5311,3,299,0.9989077097571011
198,LES,10,4977,3,299,0.9953309836986809
199,LES,10,5618,3,299,0.9995586245492241
200,LES,10,4617,3,299,0.9977456148503216
201,LES,10,4787,3,299,0.999339294400429
202,LES,10,5239,3,299,0.9998764177394511
203,LES,10,5051,3,299,0.9976945301148015
204,LES,10,4878,3,299,0.9999493680030024
205,LES,10,5674,3,299,0.9970286086148724
206,LES,10,4904,3,299,0.9996998447767041
207,LES,10,5447,3,299,0.9971274043049121
208,LES,10,4884,3,299,0.9998974128467139
209,LES,10,5023,3,299,0.9990281383155638
210,LES,10,4841,3,299,0.9989844723359166
211,LES,10,4835,3,299,0.9985705049303197
212,LES,10,5089,3,299,0.9977179931173783
213,LES,10,4681,3,299,0.9993708744400545
214,LES,10,5603,3,299,0.9995255513415104
215,LES,10,4779,3,299,0.9998135085130448
216,LES,10,4763,3,299,0.9998227362876125
217,LES,10,5074,3,40,0.9650533109210923
218,LES,10,5615,3,299,0.9998466771521155
219,LES,10,5561,3,299,0.9999715274835469
220,LES,10,5049,3,299,0.9975473560041761
221,LES,10,4891,3,299,0.999595530139877
222,LES,10,5626,3,299,0.9992004160717747
223,LES,10,5059,3,299,0.9988633004391919
224,LES,10,4913,3,299,0.9980716105513818
225,LES,10,5609,3,30,0.9505547863804664
226,LES,10,5442,3,299,0.9996331813923542
227,LES,10,5486,3,8,0.9134485053135034
228,LES,10,5120,3,299,0.9955434358706093
229,LES,10,5212,3,299,0.999985045017965
230,LES,10,5329,3,299,0.9967708796717689
231,LES,10,4678,3,299,0.9991396094818864
232,LES,10,4859,3,299,0.998526115645951
233,LES,10,5214,3,299,0.99997321261704
234,LES,10,4622,3,299,0.9978812963299788
235,LES,10,4834,3,299,0.9984532040188031
236,LES,10,5070,3,45,0.9716027160345708
