,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,LES,S0,4831,2,9,0.9763933024374027
1,LES,S0,4722,2,6,0.9433080651900582
2,LES,S0,5324,2,1,0.9983993279918416
3,LES,S0,5165,2,16,0.9393650570771498
4,LES,S0,5583,2,23,0.9753471437512814
5,LES,S0,5182,2,45,0.9771023485757692
6,LES,S0,5362,2,299,0.9940940177865312
7,LES,S0,5629,2,9,0.9488424936579433
8,LES,S0,5470,2,6,0.9651540752240226
9,LES,S0,5254,2,7,0.9564155081931874
10,LES,S0,5569,2,299,0.9994844750418431
11,LES,S0,4682,2,7,0.9450715083884855
12,LES,S0,5349,2,299,0.9999900122246719
13,LES,S0,5285,2,1,0.9089402229226377
14,LES,S0,5389,2,295,0.9907697359068441
15,LES,S0,5359,2,299,0.9931973873289823
16,LES,S0,5414,2,299,0.999746998558546
17,LES,S0,5560,2,55,0.9716883926823481
18,LES,S0,4950,2,4,0.9372150276475277
19,LES,S0,4738,2,1,0.8596299645605631
20,LES,S0,5299,2,1,0.917002810595309
21,LES,S0,5384,2,5,0.9579090916459148
22,LES,S0,5471,2,5,0.9465101690635469
23,LES,S0,4709,2,299,0.9950175182689759
24,LES,S0,4622,2,299,0.9971166521081771
25,LES,S0,5305,2,0,
26,LES,S0,4812,2,4,0.9368698754308222
27,LES,S0,4967,2,33,0.9373768518677714
28,LES,S0,4689,2,299,0.9999624246531958
29,LES,S0,5087,2,4,0.9561314190840817
30,LES,S0,4956,2,0,
31,LES,S0,4631,2,13,0.9587862464144071
32,LES,S0,4789,2,0,
33,LES,S0,5213,2,3,0.9619132754095845
34,LES,S0,5642,2,22,0.9411754766987337
35,LES,S0,5344,2,6,0.9461917185811474
36,LES,S0,5417,2,299,0.9999853382840299
37,LES,S0,5487,2,3,0.8237310320095462
38,LES,S0,4822,2,13,0.9574840363268158
39,LES,S0,5100,2,15,0.9607286536681844
40,LES,S0,5272,2,0,
41,LES,S0,5587,2,17,0.9731188411695797
42,LES,S0,5434,2,299,0.9983920227053844
43,LES,S0,4620,2,299,0.9999578330372066
44,LES,S0,4733,2,2,0.9565336268718503
45,LES,S0,5459,2,299,0.9954533371799633
46,LES,S0,5084,2,10,0.957022330432338
47,LES,S0,5131,2,293,0.9724779888545629
48,LES,S0,4740,2,0,
49,LES,S0,4975,2,0,
50,LES,S0,5240,2,0,
51,LES,S0,5185,2,7,0.9545819918221168
52,LES,S0,5204,2,12,0.946366790621846
53,LES,S0,5509,2,299,0.9993575913120545
54,LES,S0,5078,2,36,0.8780885093384088
55,LES,S0,4787,2,11,0.9434483503265486
56,LES,S0,5481,2,1,0.9728916133876003
57,LES,S0,4667,2,1,0.9930351347777223
58,LES,S0,5585,2,20,0.9747466388218262
59,LES,S0,5621,2,5,0.9449322518402841
60,LES,S0,5008,2,0,
61,LES,S0,4989,2,6,0.9640956773998437
