,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,LID,25,4958,2,299,0.9998469178589443
1,LID,25,5448,2,129,0.9710687803818604
2,LID,25,5306,2,0,
3,LID,25,4841,2,299,0.9995942604047697
4,LID,25,4622,2,5,0.9534706448415425
5,LID,25,5323,2,1,0.835582221324991
6,LID,25,4726,2,8,0.9428653519252078
7,LID,25,5059,2,299,0.9998203781669861
8,LID,25,5305,2,0,
9,LID,25,5261,2,6,0.9596574884125822
10,LID,25,4699,2,299,0.9976897660631708
11,LID,25,5069,2,299,0.9997793979294733
12,LID,25,5447,2,62,0.9729250832437838
13,LID,25,4730,2,89,0.9465631953569154
14,LID,25,4772,2,53,0.9806490235183802
15,LID,25,5444,2,0,
16,LID,25,5650,2,0,
17,LID,25,4633,2,299,0.9999934294005246
18,LID,25,5429,2,0,
19,LID,25,5298,2,8,0.5629815037819043
20,LID,25,4817,2,25,0.9743579592978441
21,LID,25,4912,2,8,0.7424759884503123
22,LID,25,4835,2,7,0.972832562939005
23,LID,25,5155,2,299,0.9987632743951395
24,LID,25,5041,2,101,0.9386603891593017
25,LID,25,4822,2,16,0.9671750878704156
26,LID,25,4804,2,80,0.9677498238307507
27,LID,25,4638,2,299,0.9994731722057398
28,LID,25,5233,2,9,0.9620361533447317
29,LID,25,5342,2,99,0.9084142176399082
30,LID,25,5457,2,85,0.9725085391881073
31,LID,25,5286,2,13,0.95944575905361
32,LID,25,5063,2,299,0.9997873223533411
33,LID,25,5142,2,12,0.9483663816761975
34,LID,25,5432,2,0,
35,LID,25,5408,2,299,0.9989214451480082
36,LID,25,4979,2,7,0.9444780872185696
37,LID,25,4860,2,299,0.9997199398930446
38,LID,25,4719,2,7,0.9489717460828754
39,LID,25,5430,2,0,
40,LID,25,5043,2,299,0.9999246782805147
41,LID,25,5312,2,90,0.5190384304211791
42,LID,25,4838,2,14,0.9466301410731007
43,LID,25,5066,2,299,0.9998018672140688
44,LID,25,4772,2,53,0.9806490235183802
45,LID,25,4925,2,7,0.9356501693423385
46,LID,25,5261,2,6,0.9596574884125822
47,LID,25,5083,2,68,0.9105070048789909
48,LID,25,5418,2,299,0.9999566434578332
49,LID,25,5640,2,0,
50,LID,25,4638,2,299,0.9994731722057398
51,LID,25,5070,2,111,0.917415488856961
52,LID,25,5049,2,14,0.9446796911531589
53,LID,25,4782,2,9,0.9489509469817481
54,LID,25,4736,2,299,0.9977890600200023
55,LID,25,5358,2,298,0.9593981643355302
56,LID,25,4965,2,9,0.9497636817924572
57,LID,25,5546,2,27,0.9659486772007443
58,LID,25,4795,2,20,0.9644136039258859
59,LID,25,5518,2,95,0.9358334821264196
60,LID,25,5106,2,29,0.943218044361271
61,LID,25,4948,2,11,0.9497178033415655
62,LID,25,5197,2,73,0.9557320529332628
63,LID,25,4626,2,2,0.954933386892663
64,LID,25,5600,2,1,0.9549738702117214
65,LID,25,5630,2,3,0.9495460241374479
66,LID,25,5646,2,0,
67,LID,25,4725,2,7,0.9430576827775103
68,LID,25,5033,2,14,0.9464170938901988
69,LID,25,4947,2,11,0.9570619014276788
70,LID,25,5147,2,9,0.9524014619810013
71,LID,25,4720,2,5,0.9455881647157172
72,LID,25,5249,2,5,0.9420577842672244
73,LID,25,5301,2,0,
74,LID,25,4744,2,91,0.9362137884561922
75,LID,25,5512,2,48,0.9583803626243174
76,LID,25,5495,2,70,0.9646505041039012
77,LID,25,5611,2,1,0.9823124416757418
78,LID,25,5339,2,109,0.9735934688396828
79,LID,25,5550,2,18,0.9650900162540014
80,LID,25,4837,2,3,0.9429894379667986
81,LID,25,5213,2,15,0.9643941775256264
82,LID,25,5331,2,299,0.9626338039299818
83,LID,25,5634,2,0,
84,LID,25,5053,2,299,0.9999054292532767
85,LID,25,4804,2,80,0.9677498238307507
86,LID,25,4772,2,53,0.9806490235183802
87,LID,25,5588,2,0,
88,LID,25,4619,2,99,0.4203125236830999
89,LID,25,4709,2,8,0.9457698416763107
90,LID,25,4940,2,44,0.9497547452163797
91,LID,25,5636,2,0,
92,LID,25,5578,2,1,0.8735649798066741
93,LID,25,4750,2,8,0.9544328461738734
94,LID,25,5293,2,0,
95,LID,25,5003,2,26,0.8960003624014141
96,LID,25,5313,2,16,-0.811657772660658
97,LID,25,4760,2,65,0.9822765261665509
98,LID,25,5463,2,158,0.9339864583755498
99,LID,25,4800,2,45,0.9379831988836399
100,LID,25,5231,2,11,0.9642472757578527
101,LID,25,5025,2,23,0.9473366245320859
102,LID,25,4683,2,2,0.9666830303987157
103,LID,25,5006,2,11,0.945525719038801
104,LID,25,4981,2,6,0.9551396597317506
105,LID,25,5387,2,54,0.9434700795460124
106,LID,25,5477,2,34,0.948826915570483
107,LID,25,5328,2,2,0.9480562186817738
