,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,SHM,20,4900,2,71,0.8979226989916195
1,SHM,20,5483,2,1,0.9806770922595578
2,SHM,20,4732,2,299,0.9994308330301005
3,SHM,20,5427,2,0,
4,SHM,20,4969,2,16,0.9593089280254237
5,SHM,20,5456,2,2,0.9598222571275721
6,SHM,20,5067,2,299,0.999866008539002
7,SHM,20,5443,2,299,0.9991099162142898
8,SHM,20,5207,2,299,0.9998244859449371
9,SHM,20,5223,2,299,0.9990764045573631
10,SHM,20,5101,2,299,0.999816359550885
11,SHM,20,5301,2,299,0.9994075792616486
12,SHM,20,5356,2,299,0.9959132185720385
13,SHM,20,5096,2,33,0.9018954892361936
14,SHM,20,4850,2,299,0.9998992148289997
15,SHM,20,5444,2,299,0.9989982266879217
16,SHM,20,4714,2,9,0.935914776536368
17,SHM,20,4935,2,299,0.9964515882606946
18,SHM,20,5599,2,2,0.9705190792158656
19,SHM,20,5528,2,299,0.998757274826524
20,SHM,20,4646,2,299,0.9989009703264979
21,SHM,20,4735,2,299,0.9996563285090544
22,SHM,20,4939,2,1,0.9556292811224809
23,SHM,20,5480,2,1,0.9129372706147424
24,SHM,20,4793,2,299,0.9997245535746325
25,SHM,20,4776,2,299,0.9996641022303645
26,SHM,20,4732,2,299,0.9994308330301005
27,SHM,20,4902,2,60,0.8874599440099536
28,SHM,20,4892,2,9,0.9561753387460278
29,SHM,20,4982,2,1,0.8731832376937527
30,SHM,20,5611,2,299,0.9921372317975036
31,SHM,20,5522,2,10,0.9394143228222024
32,SHM,20,5479,2,2,0.9240419699879301
33,SHM,20,5051,2,8,0.9459260670978316
34,SHM,20,5253,2,299,0.9997482471479093
35,SHM,20,5216,2,0,
36,SHM,20,4848,2,299,0.99985859174255
37,SHM,20,4823,2,299,0.9974960937986785
38,SHM,20,5252,2,299,0.9997411531905654
39,SHM,20,4767,2,299,0.9989395382200994
40,SHM,20,4847,2,299,0.9998303740722689
41,SHM,20,5074,2,299,0.9999950395028184
42,SHM,20,5216,2,0,
43,SHM,20,5051,2,8,0.9459260670978316
44,SHM,20,5010,2,16,0.9380503958947121
45,SHM,20,4657,2,5,0.9501921646878216
46,SHM,20,4734,2,299,0.9995769341793069
47,SHM,20,5369,2,5,0.9373329512446233
48,SHM,20,4950,2,1,0.9729401551971203
49,SHM,20,5392,2,22,0.9664382841468148
50,SHM,20,5150,2,299,0.9998142010686956
51,SHM,20,5274,2,0,
52,SHM,20,5091,2,299,0.9987253478616549
53,SHM,20,5120,2,6,0.9551421461200321
54,SHM,20,5549,2,0,
55,SHM,20,4691,2,299,0.9958475083528375
56,SHM,20,4681,2,294,0.9902342546666292
57,SHM,20,5656,2,0,
58,SHM,20,5250,2,299,0.9996492142458586
59,SHM,20,5306,2,299,0.9995303274575587
60,SHM,20,5398,2,35,0.9580210456119843
61,SHM,20,5574,2,3,0.9430049928963252
62,SHM,20,4728,2,299,0.9996657909451618
63,SHM,20,5611,2,299,0.9921372317975036
64,SHM,20,5097,2,17,0.9257357531968154
65,SHM,20,5343,2,299,0.9999317984232359
66,SHM,20,4854,2,299,0.9999314521841367
67,SHM,20,5034,2,299,0.9982016091775462
68,SHM,20,5600,2,299,0.9989335738405227
69,SHM,20,5509,2,299,0.9949412106857853
70,SHM,20,5429,2,297,0.9963255710789427
71,SHM,20,4634,2,299,0.9996637558786486
72,SHM,20,5093,2,16,0.9297202648633549
73,SHM,20,4911,2,20,0.9565900719124565
74,SHM,20,4977,2,4,0.9219352368567528
75,SHM,20,5014,2,22,0.9508268251069147
76,SHM,20,4902,2,60,0.8874599440099536
77,SHM,20,5372,2,299,0.999892162591174
78,SHM,20,5010,2,16,0.9380503958947121
79,SHM,20,5395,2,18,0.955957065405141
80,SHM,20,5204,2,299,0.999792143356734
81,SHM,20,5675,2,0,
82,SHM,20,5565,2,4,0.9608865132325914
83,SHM,20,5151,2,299,0.9998224646938807
84,SHM,20,5026,2,18,0.9492870816514569
85,SHM,20,4709,2,16,0.9516639409638021
86,SHM,20,5267,2,299,0.9999821497237077
87,SHM,20,4624,2,29,0.9595270531594327
88,SHM,20,4687,2,0,
89,SHM,20,5617,2,11,0.9514125445093157
90,SHM,20,5604,2,299,0.9949247598801793
91,SHM,20,5669,2,0,
92,SHM,20,5101,2,299,0.999816359550885
93,SHM,20,5570,2,3,0.9600164845621105
94,SHM,20,5210,2,299,0.9998816156298824
95,SHM,20,5505,2,4,0.9449548477467522
96,SHM,20,5263,2,299,0.9998571128519032
97,SHM,20,4756,2,299,0.9996438813263796
98,SHM,20,4798,2,299,0.998742655720366
99,SHM,20,4747,2,0,
100,SHM,20,5191,2,299,0.9996605296554644
101,SHM,20,4717,2,6,0.9553829989700428
102,SHM,20,5278,2,245,0.8974244226453952
103,SHM,20,5425,2,1,0.8717273553510688
104,SHM,20,5379,2,299,0.9965967387444518
105,SHM,20,5364,2,4,0.9531180510838488
106,SHM,20,5226,2,299,0.99910843043541
107,SHM,20,5461,2,299,0.9970311298137767
108,SHM,20,4991,2,50,0.8332857807898258
109,SHM,20,4959,2,6,0.9363112536686375
110,SHM,20,5567,2,3,0.9601878826941693
111,SHM,20,5133,2,0,
112,SHM,20,5058,2,9,0.9485120606299515
113,SHM,20,4887,2,33,0.9286665544238873
114,SHM,20,5334,2,296,0.9919042302961606
115,SHM,20,5610,2,4,0.9543656400283793
116,SHM,20,4782,2,299,0.9998755122725005
117,SHM,20,4709,2,16,0.9516639409638021
118,SHM,20,5092,2,20,0.9088877497717194
119,SHM,20,5227,2,299,0.9991056498954846
120,SHM,20,5359,2,299,0.9964725118397285
121,SHM,20,4758,2,299,0.9995000785935204
122,SHM,20,5284,2,14,0.9488935830789645
123,SHM,20,4904,2,44,0.8890485793938958
124,SHM,20,4625,2,299,0.9995594558269543
125,SHM,20,5649,2,0,
126,SHM,20,5236,2,299,0.9990279018375495
127,SHM,20,4849,2,299,0.999883842554979
128,SHM,20,5361,2,5,0.9538628939512674
129,SHM,20,4890,2,20,0.9425622255105202
130,SHM,20,5638,2,10,0.9472238360040441
131,SHM,20,5263,2,299,0.9998571128519032
