,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,SKF,19,4990,2,49,0.9604091172363137
1,SKF,19,4797,2,299,0.9996685626231971
2,SKF,19,5072,2,0,
3,SKF,19,4708,2,297,0.996181822965036
4,SKF,19,5167,2,299,0.9947329435038715
5,SKF,19,4819,2,299,0.9999308821222944
6,SKF,19,5295,2,299,0.9995858518313834
7,SKF,19,4624,2,299,0.9995966104625876
8,SKF,19,5046,2,69,0.9274490105789404
9,SKF,19,5017,2,299,0.999869293885065
10,SKF,19,5483,2,166,0.8919732026392343
11,SKF,19,4679,2,27,0.957063131823522
12,SKF,19,5096,2,299,0.9989428316591179
13,SKF,19,5106,2,49,0.9154027239128293
14,SKF,19,5433,2,299,0.999533070269041
15,SKF,19,4902,2,298,0.9972774475920294
16,SKF,19,5296,2,299,0.9995966307615157
17,SKF,19,5589,2,299,0.9999739691277059
18,SKF,19,5410,2,46,0.566191883882598
19,SKF,19,4956,2,299,0.9998990601938812
20,SKF,19,4659,2,299,0.9990554517626522
21,SKF,19,5238,2,0,
22,SKF,19,4980,2,299,0.9999243431895795
23,SKF,19,5174,2,299,0.9967897211389017
24,SKF,19,5403,2,10,0.945361564228922
25,SKF,19,4652,2,34,0.9553278069573143
26,SKF,19,5525,2,10,0.9510301462391689
27,SKF,19,5620,2,6,0.9503446293135666
28,SKF,19,5092,2,299,0.9999482641636737
29,SKF,19,5119,2,4,0.958583455646405
30,SKF,19,4637,2,0,
31,SKF,19,4631,2,56,0.9207064152048713
32,SKF,19,5007,2,0,
33,SKF,19,5194,2,299,0.9993140444033595
34,SKF,19,5069,2,299,0.9999705350033167
35,SKF,19,5118,2,6,0.9533727927736416
36,SKF,19,4740,2,299,0.9997793797998675
37,SKF,19,4927,2,299,0.99989044805065
38,SKF,19,5388,2,5,0.9106839802034186
39,SKF,19,5519,2,30,0.9388935969812302
40,SKF,19,5339,2,3,0.9638509981803086
41,SKF,19,4740,2,299,0.9997793797998675
42,SKF,19,5263,2,299,0.9988686868924335
43,SKF,19,4850,2,5,0.955411914982142
44,SKF,19,4765,2,299,0.9998131448579382
45,SKF,19,5130,2,299,0.9988205622143058
46,SKF,19,5450,2,76,0.8824218352381271
47,SKF,19,5480,2,61,0.9355929543473007
48,SKF,19,5283,2,299,0.999637248024904
49,SKF,19,4918,2,299,0.9998592151937111
50,SKF,19,4651,2,37,0.9562456611818672
51,SKF,19,5338,2,3,0.9554762233603963
52,SKF,19,5147,2,30,0.9400654288544822
53,SKF,19,4877,2,299,0.9995107831565843
54,SKF,19,5189,2,299,0.9988868264195071
55,SKF,19,5112,2,299,0.998580081487541
56,SKF,19,5302,2,22,0.9634723580313452
57,SKF,19,5274,2,299,0.999797525778978
58,SKF,19,4800,2,299,0.9996629927408809
59,SKF,19,4638,2,0,
60,SKF,19,4646,2,48,0.9525120497599154
61,SKF,19,4662,2,299,0.9991094417782562
62,SKF,19,5208,2,0,
63,SKF,19,5012,2,299,0.9998706501387087
64,SKF,19,5435,2,299,0.999535870109654
65,SKF,19,5490,2,111,0.9369982313848726
66,SKF,19,5084,2,20,0.9473608458788181
67,SKF,19,4856,2,7,0.9646705385709142
68,SKF,19,5280,2,45,0.9672933693179718
69,SKF,19,4657,2,299,0.9990214970176479
70,SKF,19,5014,2,299,0.9998706836126426
71,SKF,19,5237,2,0,
72,SKF,19,5413,2,299,0.9998805776415388
73,SKF,19,4732,2,22,0.9409678196671909
74,SKF,19,5076,2,299,0.9815143826967839
75,SKF,19,5320,2,299,0.9989572185649053
76,SKF,19,5252,2,299,0.9958741086548745
77,SKF,19,5679,2,299,0.9999650792685698
78,SKF,19,5471,2,299,0.9998731707610413
79,SKF,19,5001,2,0,
80,SKF,19,5505,2,11,0.9425400916099046
81,SKF,19,5619,2,6,0.9460312068543485
82,SKF,19,5618,2,6,0.9402688617493808
83,SKF,19,5002,2,0,
84,SKF,19,5266,2,5,0.9335926276863814
85,SKF,19,4971,2,40,0.9624604394642227
86,SKF,19,5129,2,299,0.9988707236864176
87,SKF,19,5079,2,299,0.9293580671831255
88,SKF,19,5517,2,31,0.943924873869216
89,SKF,19,5654,2,148,0.9162541305616888
90,SKF,19,5085,2,17,0.9496698332488516
91,SKF,19,5207,2,0,
92,SKF,19,4933,2,299,0.9998903304958549
93,SKF,19,5453,2,299,0.9997564387813738
94,SKF,19,4895,2,298,0.9944874394344829
95,SKF,19,5569,2,299,0.9998785802485857
96,SKF,19,4983,2,54,0.9625579501099957
97,SKF,19,5648,2,155,0.9223714959300552
98,SKF,19,5603,2,299,0.9996100411337656
99,SKF,19,4808,2,30,0.9364534501422056
100,SKF,19,5207,2,0,
101,SKF,19,5246,2,0,
102,SKF,19,5435,2,299,0.999535870109654
103,SKF,19,5441,2,121,0.9670776927803579
104,SKF,19,5635,2,299,0.9999125628755829
105,SKF,19,5056,2,299,0.9999000459681384
106,SKF,19,5312,2,299,0.9991815130379403
107,SKF,19,5252,2,299,0.9958741086548745
108,SKF,19,5393,2,292,0.9910783239913498
109,SKF,19,4654,2,299,0.9990764188298166
110,SKF,19,5609,2,299,0.9999805186674122
111,SKF,19,5291,2,299,0.9994486863464868
112,SKF,19,5028,2,89,0.9412465768743026
113,SKF,19,4791,2,21,0.9438020797391906
114,SKF,19,5483,2,166,0.8919732026392343
115,SKF,19,4948,2,212,0.9538242573231944
116,SKF,19,5016,2,299,0.9998692703860751
117,SKF,19,4980,2,299,0.9999243431895795
118,SKF,19,4982,2,299,0.9999174739197082
119,SKF,19,4839,2,13,0.9633807190764119
120,SKF,19,5309,2,11,0.9527104666575332
121,SKF,19,5290,2,299,0.9994524349358583
122,SKF,19,5072,2,0,
123,SKF,19,5338,2,3,0.9554762233603963
124,SKF,19,4830,2,299,0.9989985614609587
125,SKF,19,5005,2,0,
126,SKF,19,5630,2,9,0.9446333313246629
127,SKF,19,5174,2,299,0.9967897211389017
128,SKF,19,5119,2,4,0.958583455646405
129,SKF,19,4693,2,2,0.9572856646007158
130,SKF,19,5059,2,0,
131,SKF,19,4800,2,299,0.9996629927408809
132,SKF,19,4782,2,299,0.9996449443922908
133,SKF,19,5300,2,299,0.9996275701469648
134,SKF,19,5133,2,299,0.9986068014970509
135,SKF,19,5103,2,56,0.9235591664835081
136,SKF,19,5294,2,299,0.9994785889125526
137,SKF,19,4867,2,299,0.9967580654366835
138,SKF,19,5179,2,295,0.9753840027234614
139,SKF,19,4645,2,40,0.9618160700559739
