,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,SUM,12,2509,2,299,0.9997691705322134
1,SUM,12,2558,2,1,0.9858002025296286
2,SUM,12,2457,2,2,0.949975383504009
3,SUM,12,2408,2,2,0.9552244149315723
4,SUM,12,2714,2,0,
5,SUM,12,2531,2,6,0.9596227430339509
6,SUM,12,2734,2,10,0.9422318571550321
7,SUM,12,2676,2,6,0.9582862303097145
8,SUM,12,2532,2,6,0.9588783825713169
9,SUM,12,2637,2,71,0.9687362275250128
10,SUM,12,2795,2,299,0.9967174908475882
11,SUM,12,2586,2,12,0.9413403168853165
12,SUM,12,2414,2,0,
13,SUM,12,2658,2,32,0.9786431199950254
14,SUM,12,2739,2,299,0.9996822695426654
15,SUM,12,2637,2,71,0.9687362275250128
16,SUM,12,2402,2,4,0.9580246750181102
17,SUM,12,2675,2,7,0.9674197519137012
18,SUM,12,2623,2,78,0.9367299818840268
19,SUM,12,2392,2,5,0.9484839590907793
20,SUM,12,2470,2,299,0.9983650328073757
21,SUM,12,2774,2,299,0.9991763126866596
22,SUM,12,2540,2,6,0.9516605877635603
23,SUM,12,2638,2,69,0.9673669413689598
24,SUM,12,2370,2,14,0.9468231958690664
25,SUM,12,2785,2,299,0.9843674184167462
26,SUM,12,2477,2,299,0.9943459376318863
27,SUM,12,2411,2,1,0.9380721972986545
28,SUM,12,2458,2,3,0.9302843489060929
29,SUM,12,2752,2,299,0.9985699532699073
30,SUM,12,2584,2,62,0.8197373784376218
31,SUM,12,2585,2,66,0.8188887967214205
32,SUM,12,2600,2,65,0.8971472278354136
33,SUM,12,2540,2,6,0.9516605877635603
34,SUM,12,2550,2,3,0.9622593441171917
35,SUM,12,2338,2,299,0.9947093195869195
36,SUM,12,2664,2,299,0.9938150666141568
37,SUM,12,2567,2,5,0.9392799625255114
38,SUM,12,2523,2,13,0.9521031503735321
39,SUM,12,2533,2,13,0.9483237195611228
40,SUM,12,2387,2,299,0.9976086176613469
41,SUM,12,2790,2,299,0.9977037490215979
42,SUM,12,2593,2,19,0.9507984542064092
43,SUM,12,2513,2,299,0.9984649420706397
44,SUM,12,2551,2,2,0.960805446204968
45,SUM,12,2696,2,7,0.9507121960492232
46,SUM,12,2462,2,1,0.9070639255347841
47,SUM,12,2799,2,299,0.9953580798207567
48,SUM,12,2570,2,41,0.8728148590399873
49,SUM,12,2595,2,19,0.9418838073444299
50,SUM,12,2320,2,292,0.9734116545122731
51,SUM,12,2629,2,0,
52,SUM,12,2722,2,299,0.99936512773348
53,SUM,12,2344,2,0,
54,SUM,12,2536,2,8,0.9566886183616263
55,SUM,12,2735,2,12,0.9575589238404754
56,SUM,12,2673,2,12,0.9525307662174632
57,SUM,12,2744,2,299,0.9999871149609688
58,SUM,12,2767,2,299,0.9997173586091986
59,SUM,12,2639,2,64,0.9642703438020988
60,SUM,12,2740,2,299,0.9997266052037825
61,SUM,12,2746,2,299,0.99891130606797
62,SUM,12,2713,2,299,0.9965426921467662
63,SUM,12,2360,2,4,0.9232706594319711
64,SUM,12,2536,2,8,0.9566886183616263
65,SUM,12,2759,2,299,0.9985897226977615
66,SUM,12,2609,2,299,0.9490085555630292
67,SUM,12,2559,2,1,0.992663164942519
68,SUM,12,2566,2,1,0.9480412601605712
69,SUM,12,2434,2,0,
70,SUM,12,2319,2,291,0.971347595568713
71,SUM,12,2697,2,4,0.9411895375049397
72,SUM,12,2564,2,1,0.9007750265179949
73,SUM,12,2652,2,40,0.9465728630846545
74,SUM,12,2557,2,2,0.9393483406093919
75,SUM,12,2591,2,81,0.8970102081969265
76,SUM,12,2585,2,66,0.8188887967214205
77,SUM,12,2581,2,77,0.7637775034148048
78,SUM,12,2317,2,289,0.9595294461347345
79,SUM,12,2526,2,10,0.9471711711536026
80,SUM,12,2332,2,299,0.9946993523631381
81,SUM,12,2731,2,16,0.9655513117917913
82,SUM,12,2276,2,0,
83,SUM,12,2479,2,299,0.9953691451028416
84,SUM,12,2620,2,26,0.9228922919521749
85,SUM,12,2542,2,3,0.9481140703776685
86,SUM,12,2463,2,3,0.941918263032809
87,SUM,12,2575,2,8,0.9375532114200031
88,SUM,12,2456,2,1,0.8353668258093335
89,SUM,12,2463,2,3,0.941918263032809
90,SUM,12,2323,2,299,0.994734033860545
91,SUM,12,2360,2,4,0.9232706594319711
92,SUM,12,2509,2,299,0.9997691705322134
93,SUM,12,2730,2,16,0.9702080582388896
94,SUM,12,2790,2,299,0.9977037490215979
95,SUM,12,2787,2,299,0.9836890166515497
96,SUM,12,2763,2,299,0.9996492858592176
97,SUM,12,2358,2,6,0.9544557166613123
98,SUM,12,2413,2,1,0.9708190805145963
99,SUM,12,2652,2,40,0.9465728630846545
100,SUM,12,2493,2,299,0.9987000521670943
101,SUM,12,2765,2,299,0.9998167674705102
102,SUM,12,2694,2,16,0.9648362815056356
103,SUM,12,2506,2,130,0.959916002541918
104,SUM,12,2316,2,288,0.9202863327327991
105,SUM,12,2487,2,15,0.9412906936981464
106,SUM,12,2660,2,299,0.9999598328115207
107,SUM,12,2390,2,299,0.9882138582873752
108,SUM,12,2532,2,6,0.9588783825713169
109,SUM,12,2520,2,29,0.9484112163103343
110,SUM,12,2729,2,17,0.9662578987228163
111,SUM,12,2389,2,299,0.9885371391748201
112,SUM,12,2516,2,114,0.9312120212733414
113,SUM,12,2433,2,0,
114,SUM,12,2547,2,6,0.9513221513822373
115,SUM,12,2577,2,5,0.9438634870060252
116,SUM,12,2552,2,3,0.9629045817011592
117,SUM,12,2357,2,7,0.9551225038567145
118,SUM,12,2524,2,12,0.9491595853349818
119,SUM,12,2446,2,299,0.9995757227933662
120,SUM,12,2520,2,29,0.9484112163103343
121,SUM,12,2541,2,3,0.9309448710697675
122,SUM,12,2767,2,299,0.9997173586091986
123,SUM,12,2771,2,299,0.9994042479809115
124,SUM,12,2312,2,284,0.9513336315401928
125,SUM,12,2587,2,9,0.9458697205571797
126,SUM,12,2552,2,3,0.9629045817011592
127,SUM,12,2556,2,2,0.9767271197414231
128,SUM,12,2559,2,1,0.992663164942519
129,SUM,12,2406,2,3,0.9484282776580765
130,SUM,12,2615,2,79,0.8934310281941455
131,SUM,12,2416,2,0,
132,SUM,12,2516,2,114,0.9312120212733414
133,SUM,12,2575,2,8,0.9375532114200031
134,SUM,12,2702,2,299,0.9938164367742447
135,SUM,12,2379,2,6,0.9464922759752722
136,SUM,12,2302,2,299,0.9941595828432126
137,SUM,12,2409,2,2,0.9575258674949609
138,SUM,12,2713,2,299,0.9965426921467662
139,SUM,12,2453,2,0,
140,SUM,12,2295,2,6,0.9448101271496179
141,SUM,12,2333,2,299,0.9945940212238151
142,SUM,12,2525,2,12,0.9509471932444931
143,SUM,12,2549,2,3,0.9631954073441958
144,SUM,12,2332,2,299,0.9946993523631381
145,SUM,12,2658,2,32,0.9786431199950254
146,SUM,12,2635,2,74,0.9702551733622033
147,SUM,12,2325,2,299,0.9948974648490977
148,SUM,12,2794,2,299,0.9968934098647092
149,SUM,12,2316,2,288,0.9202863327327991
150,SUM,12,2509,3,299,0.9971751441983926
151,SUM,12,2558,3,299,0.9992819541855635
152,SUM,12,2457,3,299,0.9909470437101643
153,SUM,12,2408,3,299,0.9987547605897134
154,SUM,12,2714,3,0,
155,SUM,12,2531,3,26,0.93516611105899
156,SUM,12,2734,3,299,0.9992912125309086
157,SUM,12,2676,3,25,0.9265949045192337
158,SUM,12,2532,3,26,0.9333223161408293
159,SUM,12,2637,3,78,0.9512546646511529
160,SUM,12,2795,3,299,0.9977107766090492
161,SUM,12,2586,3,299,0.9912884347295723
162,SUM,12,2414,3,299,0.997287613076317
163,SUM,12,2658,3,299,0.9999312361586772
164,SUM,12,2739,3,299,0.9977561566523268
165,SUM,12,2637,3,78,0.9512546646511529
166,SUM,12,2402,3,299,0.9987364074615968
167,SUM,12,2675,3,24,0.9190382342246918
168,SUM,12,2623,3,299,0.9992761456646572
169,SUM,12,2392,3,299,0.9984834260623721
170,SUM,12,2470,3,299,0.997733737733892
171,SUM,12,2774,3,299,0.9889628154759377
172,SUM,12,2540,3,299,0.9971754211999835
173,SUM,12,2638,3,77,0.9493983507291959
174,SUM,12,2370,3,299,0.9900301200752287
175,SUM,12,2785,3,299,0.9973942107726165
176,SUM,12,2477,3,299,0.9822910579132098
177,SUM,12,2411,3,299,0.9974818437419837
178,SUM,12,2458,3,299,0.9911488824571834
179,SUM,12,2752,3,299,0.9998638297992634
180,SUM,12,2584,3,299,0.9915399583548878
181,SUM,12,2585,3,299,0.991872903234132
182,SUM,12,2600,3,5,0.9244733730516312
183,SUM,12,2540,3,299,0.9971754211999835
184,SUM,12,2550,3,299,0.998800302714986
185,SUM,12,2338,3,299,0.9929169107831056
