,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,LES,10,4673,2,31,0.9377225492122667
1,LES,10,5177,2,299,0.9999619614119842
2,LES,10,5318,2,299,0.9982554072071007
3,LES,10,4742,2,299,0.9993982477270201
4,LES,10,5260,2,299,0.9999938896580924
5,LES,10,5499,2,299,0.9992988026234723
6,LES,10,5540,2,18,0.9433830060008622
7,LES,10,5427,2,10,0.9500681154527575
8,LES,10,5656,2,299,0.9887994343603704
9,LES,10,5319,2,299,0.9983437893101642
10,LES,10,4931,2,6,0.9593431951736789
11,LES,10,4955,2,0,
12,LES,10,5538,2,60,0.9589490139235514
13,LES,10,5381,2,299,0.9987438913831417
14,LES,10,5581,2,299,0.999997887712644
15,LES,10,5251,2,27,0.9562449574472366
16,LES,10,4643,2,10,0.9421639682835246
17,LES,10,5382,2,9,0.9565705124682826
18,LES,10,4710,2,299,0.9976668259927598
19,LES,10,5067,2,297,0.9710358197779461
20,LES,10,5097,2,121,0.9642580916836508
21,LES,10,5387,2,16,0.9485284222734471
22,LES,10,5448,2,1,0.8648360851697949
23,LES,10,5416,2,299,0.9999978300620392
24,LES,10,5605,2,299,0.9996596012846343
25,LES,10,4708,2,299,0.9977032357521102
26,LES,10,5099,2,0,
27,LES,10,4706,2,299,0.9977702433437929
28,LES,10,4682,2,299,0.9999901729253542
29,LES,10,5122,2,5,0.9521271642606894
30,LES,10,5292,2,5,0.9511906150020369
31,LES,10,5429,2,207,0.7816406010724783
32,LES,10,5096,2,123,0.9646230288619879
33,LES,10,4825,2,46,0.9611998026735257
34,LES,10,5576,2,92,0.9061948831234189
35,LES,10,5374,2,46,0.9048357924890711
36,LES,10,5517,2,39,0.9419983870172953
37,LES,10,5636,2,299,0.9996780311218498
38,LES,10,4922,2,7,0.9450986705797204
39,LES,10,5466,2,299,0.9998007677392027
40,LES,10,4908,2,11,0.9494030466976217
41,LES,10,5103,2,108,0.962195285826584
42,LES,10,5457,2,114,0.8179513162646014
43,LES,10,5273,2,76,0.7729869458715373
44,LES,10,4733,2,10,0.9651106026268534
45,LES,10,4755,2,299,0.9897766283644859
46,LES,10,5453,2,3,0.9506965735216708
47,LES,10,4919,2,9,0.9601457256390431
48,LES,10,4837,2,299,0.9924419494660918
49,LES,10,4724,2,10,0.9501181247499101
50,LES,10,4643,2,10,0.9421639682835246
51,LES,10,5224,2,0,
52,LES,10,5355,2,0,
53,LES,10,4785,2,2,0.9660989857783064
54,LES,10,4987,2,299,0.9949734667951018
