,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,LES,S0,4832,2,299,0.999827646035195
1,LES,S0,5300,2,299,0.9985369523453318
2,LES,S0,5230,2,299,0.9990195172358942
3,LES,S0,4737,2,299,0.999889145406835
4,LES,S0,4886,2,299,0.9997902134552424
5,LES,S0,5149,2,0,
6,LES,S0,4638,2,0,
7,LES,S0,4993,2,12,0.9455175861134274
8,LES,S0,4771,2,299,0.9998666302619336
9,LES,S0,5007,2,102,0.9340103986711947
10,LES,S0,5158,2,0,
11,LES,S0,4669,2,0,
12,LES,S0,5679,2,299,0.9994981571461388
13,LES,S0,5378,2,296,0.9787648864443931
14,LES,S0,5066,2,100,0.9475175133426257
15,LES,S0,4903,2,299,0.9998457070507667
16,LES,S0,4766,2,299,0.9998652634052264
17,LES,S0,5423,2,299,0.9995741731586743
18,LES,S0,5099,2,299,0.999761614127176
19,LES,S0,4720,2,299,0.9999367481571024
20,LES,S0,5323,2,299,0.999024483949067
21,LES,S0,4712,2,299,0.9999091684525557
22,LES,S0,5644,2,59,0.963327710755793
23,LES,S0,4807,2,299,0.9999326933412701
24,LES,S0,5476,2,187,0.9409776773496871
25,LES,S0,4727,2,299,0.9999386572036978
26,LES,S0,5208,2,299,0.9991206129399245
27,LES,S0,5138,2,299,0.9998706529035867
28,LES,S0,5010,2,299,0.9998285483945681
29,LES,S0,5301,2,299,0.998541512357416
30,LES,S0,5143,2,0,
31,LES,S0,4630,2,0,
32,LES,S0,5648,2,299,0.9998098209734774
33,LES,S0,5281,2,299,0.999045085639654
34,LES,S0,5161,2,0,
35,LES,S0,4821,2,57,0.9704102711829027
36,LES,S0,5453,2,299,0.9997365626377407
37,LES,S0,5644,2,59,0.963327710755793
38,LES,S0,4858,2,299,0.9998178074955745
39,LES,S0,5215,2,299,0.9989676637665325
40,LES,S0,5420,2,299,0.9995263352117693
41,LES,S0,4862,2,299,0.9998215687170835
42,LES,S0,5055,2,17,0.9543160748093373
43,LES,S0,5619,2,299,0.9998608635479266
44,LES,S0,5291,2,299,0.9992385346008575
45,LES,S0,4876,2,299,0.9998074141111993
46,LES,S0,5609,2,299,0.9998181768599228
47,LES,S0,5281,2,299,0.999045085639654
48,LES,S0,5254,2,299,0.997428991766165
49,LES,S0,5589,2,299,0.9998664508793514
50,LES,S0,5096,2,299,0.9997606949237824
51,LES,S0,4910,2,0,
52,LES,S0,5432,2,12,0.9379287359549103
53,LES,S0,5290,2,299,0.9992140479049921
54,LES,S0,4864,2,299,0.9998226927355713
55,LES,S0,5332,2,299,0.999390249682025
56,LES,S0,5474,2,192,0.9412998622941592
57,LES,S0,5165,2,0,
58,LES,S0,4621,2,0,
59,LES,S0,5288,2,299,0.9984932696479694
60,LES,S0,4636,2,0,
61,LES,S0,4721,2,299,0.9999371645094243
62,LES,S0,5142,2,299,0.9999214933072462
63,LES,S0,5072,2,135,0.9187561276059565
64,LES,S0,4845,2,299,0.9998044669864132
65,LES,S0,4832,2,299,0.999827646035195
66,LES,S0,5193,2,7,0.9477327312363463
67,LES,S0,4783,2,299,0.9999173679429428
68,LES,S0,5313,2,299,0.9985271906945522
69,LES,S0,5497,2,18,0.9555534777807849
70,LES,S0,5331,2,299,0.9992109277185993
71,LES,S0,5342,2,299,0.9995115138938871
72,LES,S0,4935,2,27,0.9575183254419722
73,LES,S0,5183,2,9,0.9559533839011832
74,LES,S0,5581,2,94,0.9088963121302183
75,LES,S0,4997,2,93,0.9104180357253099
76,LES,S0,5536,2,299,0.9992901342516783
