,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,LID,26,5048,2,99,0.9622183364571257
1,LID,26,4943,2,4,0.9320463481867759
2,LID,26,4867,2,4,0.9492157257710359
3,LID,26,5015,2,299,0.9999018571984444
4,LID,26,4729,2,8,0.9567021966842602
5,LID,26,4905,2,12,0.9539227863234284
6,LID,26,5580,2,5,0.9511652413592661
7,LID,26,5646,2,14,0.9437470198035482
8,LID,26,5363,2,48,0.9031713510614084
9,LID,26,4648,2,13,0.9544254574197873
10,LID,26,4669,2,1,0.9580528076845711
11,LID,26,5084,2,59,0.980383966729771
12,LID,26,5497,2,0,
13,LID,26,5339,2,11,0.9534499987446439
14,LID,26,4826,2,4,0.9428802732652267
15,LID,26,4986,2,9,0.9518339123637083
16,LID,26,5349,2,33,0.8687285413035593
17,LID,26,4713,2,1,0.9798502985350265
18,LID,26,5466,2,0,
19,LID,26,4654,2,9,0.956614417532971
20,LID,26,5127,2,87,0.9873618201872153
21,LID,26,5230,2,53,0.9485090918792363
22,LID,26,5388,2,48,0.9626947085535518
23,LID,26,4816,2,299,0.9955328785277237
24,LID,26,5514,2,7,0.9466850156562739
25,LID,26,5174,2,30,0.9729379084850087
26,LID,26,5647,2,14,0.9451631179417258
27,LID,26,4897,2,12,0.9373741374476396
28,LID,26,4768,2,4,0.9478251546533836
29,LID,26,5461,2,28,0.9733997120843666
30,LID,26,5665,2,11,0.9504961669647135
31,LID,26,5015,2,299,0.9999018571984444
32,LID,26,5398,2,6,0.9506851109416011
33,LID,26,5512,2,4,0.9551765535217582
34,LID,26,5326,2,81,0.8787548358920069
35,LID,26,4900,2,299,0.9996103216445893
36,LID,26,5554,2,11,0.9492590002326394
37,LID,26,5521,2,173,0.9634940798960722
38,LID,26,5187,2,71,0.9391385991588259
39,LID,26,4866,2,4,0.9558568421329018
40,LID,26,5092,2,0,
41,LID,26,4986,2,9,0.9518339123637083
42,LID,26,4762,2,4,0.9587760132303396
43,LID,26,4890,2,23,0.9291278712580688
44,LID,26,5460,2,11,0.9574780794450531
45,LID,26,5615,2,66,0.7503731900389359
46,LID,26,5342,2,37,0.8898276842408227
47,LID,26,5033,2,299,0.9999019544216645
48,LID,26,5004,2,299,0.9998929869941455
49,LID,26,5065,2,299,0.9999286067076683
50,LID,26,5149,2,0,
51,LID,26,5447,2,46,0.9853864058326665
52,LID,26,4982,2,11,0.9496668672668881
53,LID,26,5261,2,6,0.958036351342041
54,LID,26,5244,2,0,
55,LID,26,5515,2,7,0.9489519077199702
56,LID,26,5621,2,45,0.16690096107054198
57,LID,26,5277,2,3,0.9707091280957978
58,LID,26,4666,2,2,0.9516494786974838
59,LID,26,4811,2,299,0.9999829720309178
60,LID,26,5179,2,26,0.9693606549640461
61,LID,26,4986,2,9,0.9518339123637083
62,LID,26,5096,2,0,
63,LID,26,5436,2,1,0.5619434661209052
64,LID,26,4794,2,2,0.9405853375757812
65,LID,26,5016,2,299,0.9998969607025339
66,LID,26,5353,2,36,0.9041361711153174
67,LID,26,4953,2,12,0.5083439850344982
68,LID,26,5490,2,1,0.9840725713003494
69,LID,26,5537,2,156,0.9532926918257086
70,LID,26,5128,2,86,0.9870197719661368
71,LID,26,5173,2,31,0.9731287485052151
72,LID,26,5470,2,3,0.9456193410304009
73,LID,26,5260,2,9,0.9549925726453079
74,LID,26,5402,2,1,0.8708556194084461
75,LID,26,5303,2,104,0.9492481153381724
76,LID,26,4891,2,10,0.9460436818783681
77,LID,26,4919,2,299,0.9994378459364818
78,LID,26,5528,2,167,0.9616427028034439
79,LID,26,5068,2,299,0.9998320770596947
80,LID,26,4883,2,74,0.8994080608072818
81,LID,26,5175,2,29,0.971090663914724
82,LID,26,5646,2,14,0.9437470198035482
83,LID,26,4904,2,12,0.9504622397673569
84,LID,26,5053,2,43,0.9603415396473644
85,LID,26,4734,2,7,0.9622227912523114
86,LID,26,5298,2,113,0.9585404361402814
87,LID,26,4688,2,4,0.9393445847466176
88,LID,26,5576,2,30,0.8331665272868627
89,LID,26,4717,2,3,0.9359162831402416
90,LID,26,5069,2,299,0.9998299006779304
91,LID,26,4968,2,58,0.9505424453197066
92,LID,26,4656,2,9,0.9616955951247407
93,LID,26,4682,2,4,0.9466193418641871
94,LID,26,5502,2,50,0.8746911363545532
95,LID,26,5486,2,0,
96,LID,26,4991,2,27,0.9678603159847078
97,LID,26,4953,2,12,0.5083439850344982
98,LID,26,4830,2,3,0.9400113946520153
99,LID,26,5177,2,28,0.9527750406790829
100,LID,26,5501,2,2,0.9478366933429337
101,LID,26,5499,2,2,0.9151003474170234
102,LID,26,5131,2,0,
103,LID,26,5357,2,73,0.969861273602555
104,LID,26,4872,2,4,0.9522236511627883
105,LID,26,4924,2,20,0.955092126715875
106,LID,26,4686,2,8,0.9488002614016344
107,LID,26,5329,2,108,0.9289461253546321
108,LID,26,5160,2,0,
109,LID,26,5504,2,33,0.9591166220953752
110,LID,26,5052,2,43,0.9598617976595498
111,LID,26,4617,2,3,0.9506976887437723
112,LID,26,5228,2,16,0.9502201957159596
113,LID,26,5336,2,102,0.9606105985476708
114,LID,26,5569,2,7,0.946553395903976
115,LID,26,5318,2,105,0.9015693515286799
116,LID,26,5600,2,6,0.9499605632667283
117,LID,26,4669,2,1,0.9580528076845711
118,LID,26,5249,2,98,0.9340890113406751
119,LID,26,5282,2,1,0.9384110018638047
120,LID,26,5569,2,7,0.946553395903976
121,LID,26,4997,2,139,0.9396878517431512
122,LID,26,4756,2,1,0.9164692944379353
123,LID,26,5009,2,299,0.999899388993461
124,LID,26,5420,2,6,0.9586296947172158
125,LID,26,4775,2,3,0.9389476240814073
126,LID,26,5073,2,299,0.9998224816748453
127,LID,26,5473,2,32,0.7640957726561346
128,LID,26,5277,2,3,0.9707091280957978
129,LID,26,5513,2,7,0.9475801354946182
130,LID,26,4635,2,299,0.9968669892251582
131,LID,26,4690,2,7,0.9571544665358418
132,LID,26,5377,2,20,0.9453882029160166
133,LID,26,5268,2,5,0.9426937903303397
134,LID,26,4895,2,15,0.9412674999041102
135,LID,26,5003,2,11,0.9515315991201029
136,LID,26,5676,2,14,0.9621966731990634
137,LID,26,4947,2,1,0.9001569845825318
138,LID,26,5280,2,4,0.951191411752079
139,LID,26,5001,2,11,0.948344417952507
140,LID,26,4912,2,46,0.9462634517297173
141,LID,26,4931,2,12,0.9641235621689092
142,LID,26,4918,2,19,0.9480473088108704
143,LID,26,4977,2,10,0.9422956611366283
144,LID,26,5285,2,1,0.9989496979831112
145,LID,26,5608,2,299,0.9941501699044312
146,LID,26,5390,2,45,0.9570837763856356
147,LID,26,5629,2,3,0.9465848049730153
148,LID,26,5050,2,98,0.9617817262170257
149,LID,26,5474,2,33,0.7480535096779267
150,LID,26,5015,2,299,0.9999018571984444
151,LID,26,5407,2,47,0.7888143464071106
152,LID,26,5243,2,110,0.9331370729487126
153,LID,26,5487,2,1,0.935406223815165
154,LID,26,5212,2,144,0.9276320931978054
155,LID,26,5200,2,158,0.9423386013509577
156,LID,26,5440,2,2,0.945323790018562
157,LID,26,5136,2,0,
158,LID,26,5094,2,0,
159,LID,26,4870,2,3,0.9579873853160604
160,LID,26,4862,2,1,0.9931394685337129
161,LID,26,5601,2,5,0.9468662746116184
162,LID,26,5087,2,58,0.9801519236509727
163,LID,26,5280,2,4,0.951191411752079
164,LID,26,4622,2,0,
165,LID,26,4940,2,3,0.9695525741750467
166,LID,26,4681,2,3,0.9590989876846132
167,LID,26,4836,2,2,0.9359708962362681
168,LID,26,5287,2,126,0.953932814055953
169,LID,26,4841,2,3,0.9371782737476896
170,LID,26,5007,2,299,0.9998970940345614
171,LID,26,5143,2,0,
172,LID,26,5497,2,0,
173,LID,26,5645,2,11,0.9482832934302778
174,LID,26,4848,2,2,0.9060138307888193
175,LID,26,5296,2,55,0.9394037718756701
176,LID,26,4871,2,4,0.9511300236859581
177,LID,26,5268,2,5,0.9426937903303397
178,LID,26,4860,2,0,
179,LID,26,4791,2,1,0.9934464885994212
180,LID,26,5357,2,73,0.969861273602555
181,LID,26,4735,2,6,0.9609013241279251
182,LID,26,5519,2,9,0.9417613388758453
183,LID,26,5101,2,54,0.9822042680886767
184,LID,26,5359,2,71,0.9705106670075526
185,LID,26,4837,2,1,0.9741823764338767
186,LID,26,4886,2,7,0.9455353175718698
187,LID,26,5028,2,299,0.9999125050747429
188,LID,26,5172,2,33,0.9751584574723617
189,LID,26,4994,2,9,0.9524990463021433
190,LID,26,4618,2,2,0.9678959832910599
191,LID,26,4616,2,3,0.9414082600703954
192,LID,26,5094,2,0,
193,LID,26,5098,2,56,0.9802927415205452
194,LID,26,5179,2,26,0.9693606549640461
195,LID,26,5369,2,13,0.9453093761629758
196,LID,26,5244,2,0,
197,LID,26,4675,2,1,0.9708289405123879
198,LID,26,5483,2,22,0.016500228243688242
199,LID,26,5526,2,169,0.9629985815407157
200,LID,26,5388,2,48,0.9626947085535518
201,LID,26,4840,2,4,0.9441179528582243
202,LID,26,5295,2,56,0.9462549357701339
203,LID,26,5137,2,0,
204,LID,26,5561,2,8,0.9474917790303286
205,LID,26,5218,2,139,0.9362933279948913
206,LID,26,4878,2,5,0.9493431173861637
207,LID,26,5481,2,38,-0.07297781468006234
208,LID,26,5354,2,38,0.9101239414012469
209,LID,26,5457,2,5,0.9423336221876566
210,LID,26,5365,2,32,0.9105765137224745
211,LID,26,4911,2,46,0.9399036567164367
212,LID,26,4719,2,3,0.9622161916380713
213,LID,26,4951,2,0,
214,LID,26,5080,2,299,0.9997866486663607
215,LID,26,5405,2,35,0.7700281084690322
216,LID,26,4812,2,12,0.9528564762752126
217,LID,26,4745,2,2,0.9577376344986273
218,LID,26,5643,2,11,0.9455585791913511
219,LID,26,5413,2,4,0.9568730308008883
220,LID,26,4961,2,184,0.9454565364046618
221,LID,26,5539,2,153,0.9517868266827979
222,LID,26,5438,2,1,0.9995603929956076
223,LID,26,5640,2,49,0.9197724768515845
224,LID,26,5662,2,36,0.969859854055842
225,LID,26,4652,2,9,0.9570929264623881
226,LID,26,5499,2,2,0.9151003474170234
227,LID,26,5506,2,31,0.9574953094467586
228,LID,26,5573,2,38,0.8110705484591998
229,LID,26,4752,2,0,
230,LID,26,5401,2,2,0.9696708963908943
231,LID,26,5404,2,0,
232,LID,26,4711,2,1,0.9748917180676404
233,LID,26,4954,2,18,0.7055991207033517
234,LID,26,5345,2,29,0.8551589459746769
235,LID,26,4719,2,3,0.9622161916380713
236,LID,26,5119,2,96,0.987761953215932
237,LID,26,5566,2,66,0.8252955743496501
238,LID,26,5550,2,135,0.9259847118233746
239,LID,26,5118,2,299,0.9999788679682828
240,LID,26,5047,2,99,0.9614760528046142
241,LID,26,5606,2,299,0.9939318707050401
242,LID,26,4650,2,10,0.9491823705417144
243,LID,26,5136,2,0,
244,LID,26,4685,2,4,0.9631824573132326
245,LID,26,5593,2,13,0.9486201836354407
246,LID,26,5369,2,13,0.9453093761629758
247,LID,26,5216,2,139,0.9355153530095092
248,LID,26,4718,2,3,0.9510836777188474
249,LID,26,5574,2,36,0.824550655844178
250,LID,26,5048,3,299,0.9999979569999677
251,LID,26,4943,3,299,0.9999872620182739
252,LID,26,4867,3,299,0.9991896165482009
253,LID,26,5015,3,299,0.9999976794150032
254,LID,26,4729,3,53,0.9436487640460891
255,LID,26,4905,3,299,0.9999887718201418
256,LID,26,5580,3,7,0.9395290413589604
257,LID,26,5646,3,50,0.9486441990824339
258,LID,26,5363,3,71,0.979120197036305
259,LID,26,4648,3,299,0.9997294918546368
260,LID,26,4669,3,299,0.9995462225164896
261,LID,26,5084,3,299,0.9999749799322128
262,LID,26,5497,3,25,0.9033740291552717
263,LID,26,5339,3,299,0.9999604771363784
264,LID,26,4826,3,299,0.9999275310547954
265,LID,26,4986,3,4,0.9483958927299811
266,LID,26,5349,3,86,0.9714411893106376
267,LID,26,4713,3,299,0.9999313377822139
268,LID,26,5466,3,56,0.9572052744752436
269,LID,26,4654,3,299,0.9999040364426542
270,LID,26,5127,3,87,0.9865086145164099
271,LID,26,5230,3,96,0.9223009013021225
272,LID,26,5388,3,43,0.9469600079322495
273,LID,26,4816,3,22,0.9387915909984291
274,LID,26,5514,3,27,0.9433910564199692
275,LID,26,5174,3,27,0.9455946817014095
276,LID,26,5647,3,49,0.946378563645492
277,LID,26,4897,3,299,0.9999893447617718
278,LID,26,4768,3,99,0.9415263187297299
279,LID,26,5461,3,30,0.9708373387894444
280,LID,26,5665,3,36,0.9560351779101587
281,LID,26,5015,3,299,0.9999976794150032
282,LID,26,5398,3,112,0.9305924773527678
283,LID,26,5512,3,14,0.9398552681661372
284,LID,26,5326,3,299,0.9999525037833188
285,LID,26,4900,3,299,0.9999891645238485
286,LID,26,5554,3,299,0.9999729150046291
287,LID,26,5521,3,168,0.9586057467875971
288,LID,26,5187,3,74,0.9571857486573154
289,LID,26,4866,3,299,0.9998211775033011
290,LID,26,5092,3,299,0.9999000469622609
291,LID,26,4986,3,4,0.9483958927299811
292,LID,26,4762,3,13,0.9561844146323346
293,LID,26,4890,3,299,0.9999783961862652
294,LID,26,5460,3,75,0.976536803722068
295,LID,26,5615,3,36,0.8761949417347553
296,LID,26,5342,3,299,0.9999616519665349
297,LID,26,5033,3,299,0.9999985761347038
298,LID,26,5004,3,299,0.999995189597871
299,LID,26,5065,3,299,0.9999942162361345
300,LID,26,5149,3,0,
301,LID,26,5447,3,49,0.9581519396862979
302,LID,26,4982,3,299,0.9999542060065073
303,LID,26,5261,3,32,0.9725513368850711
304,LID,26,5244,3,299,0.9999225091532812
305,LID,26,5515,3,26,0.9392570233001265
306,LID,26,5621,3,4,0.9344816828667053
307,LID,26,5277,3,85,0.9762421045589917
308,LID,26,4666,3,299,0.9998086832202042
309,LID,26,4811,3,19,0.9303863970687368
310,LID,26,5179,3,26,0.9668912737133024
311,LID,26,4986,3,4,0.9483958927299811
312,LID,26,5096,3,299,0.9998336872690615
313,LID,26,5436,3,58,0.952138312001142
314,LID,26,4794,3,299,0.9999317086809598
315,LID,26,5016,3,299,0.9999983965261249
316,LID,26,5353,3,81,0.9704337105461713
317,LID,26,4953,3,299,0.9998817578109279
318,LID,26,5490,3,181,0.9326635420207037
319,LID,26,5537,3,148,0.9497458734288486
320,LID,26,5128,3,0,
321,LID,26,5173,3,25,0.9473543871167273
322,LID,26,5470,3,57,0.9483883836716249
323,LID,26,5260,3,34,0.9708109319244272
324,LID,26,5402,3,99,0.9266321715245246
325,LID,26,5303,3,111,0.9208287899434866
326,LID,26,4891,3,6,0.9402118957057229
327,LID,26,4919,3,299,0.9999877620770578
328,LID,26,5528,3,160,0.9547409905223319
329,LID,26,5068,3,299,0.9999933525018175
330,LID,26,4883,3,6,0.9369278651423979
331,LID,26,5175,3,31,0.9398818739835968
332,LID,26,5646,3,50,0.9486441990824339
333,LID,26,4904,3,11,0.9431000283459453
334,LID,26,5053,3,299,0.9999975769743626
335,LID,26,4734,3,49,0.9462784539674628
336,LID,26,5298,3,299,0.9994030924632679
337,LID,26,4688,3,5,0.9435274680013528
338,LID,26,5576,3,299,0.9999684119870721
339,LID,26,4717,3,299,0.9999290678324888
340,LID,26,5069,3,299,0.9999931018547681
341,LID,26,4968,3,299,0.9998811465878938
342,LID,26,4656,3,299,0.9998816274021441
343,LID,26,4682,3,299,0.9997295977972492
344,LID,26,5502,3,26,0.9223338675410643
345,LID,26,5486,3,43,0.9568646240102191
346,LID,26,4991,3,299,0.9999809600525049
347,LID,26,4953,3,299,0.9998817578109279
348,LID,26,4830,3,299,0.9999215640700195
349,LID,26,5177,3,39,0.923183904480468
350,LID,26,5501,3,25,0.8885233439254289
351,LID,26,5499,3,0,
352,LID,26,5131,3,0,
353,LID,26,5357,3,77,0.9721740197515454
354,LID,26,4872,3,299,0.99966473447735
355,LID,26,4924,3,299,0.999986971446511
356,LID,26,4686,3,6,0.9394359476623361
357,LID,26,5329,3,13,0.9512685681904465
358,LID,26,5160,3,49,0.9772864441678218
359,LID,26,5504,3,27,0.9403931274509807
360,LID,26,5052,3,299,0.9999977154672328
361,LID,26,4617,3,299,0.9998879706033647
362,LID,26,5228,3,102,0.9245477470534715
363,LID,26,5336,3,13,0.9504444669820066
364,LID,26,5569,3,44,0.9051743916545164
365,LID,26,5318,3,299,0.9995413020427978
366,LID,26,5600,3,14,0.9638594667132143
367,LID,26,4669,3,299,0.9995462225164896
368,LID,26,5249,3,95,0.9193713812849015
369,LID,26,5282,3,78,0.974455118365317
370,LID,26,5569,3,44,0.9051743916545164
371,LID,26,4997,3,299,0.9999950506798614
372,LID,26,4756,3,23,0.9657865578106705
373,LID,26,5009,3,299,0.9999953332748154
374,LID,26,5420,3,65,0.9059966381403884
375,LID,26,4775,3,91,0.9380780964751081
376,LID,26,5073,3,299,0.9999928446963583
377,LID,26,5473,3,62,0.9558132798091719
378,LID,26,5277,3,85,0.9762421045589917
379,LID,26,5513,3,13,0.9412183282507207
380,LID,26,4635,3,54,0.9159678779055801
381,LID,26,4690,3,6,0.9192733436565872
382,LID,26,5377,3,53,0.9723442791831969
383,LID,26,5268,3,299,0.9999757746530025
384,LID,26,4895,3,299,0.9999894938962005
385,LID,26,5003,3,299,0.9999951840559657
386,LID,26,5676,3,22,0.9680240550081938
387,LID,26,4947,3,299,0.9999927986596937
388,LID,26,5280,3,82,0.973752770362666
389,LID,26,5001,3,299,0.9999951405409468
390,LID,26,4912,3,11,0.9432177525056752
391,LID,26,4931,3,299,0.9999866336186772
392,LID,26,4918,3,299,0.9999877644396669
393,LID,26,4977,3,299,0.9999133278554555
394,LID,26,5285,3,74,0.9734384972979386
