,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,SHM,11,5027,2,12,0.9616864156398384
1,SHM,11,5170,2,62,0.9589057605410082
2,SHM,11,4774,2,0,
3,SHM,11,4842,2,5,0.9692479075517694
4,SHM,11,5265,2,80,0.91080934544767
5,SHM,11,5262,2,17,0.9592255883977332
6,SHM,11,4963,2,16,0.9434441404202648
7,SHM,11,5298,2,299,0.9966984629838976
8,SHM,11,5654,2,3,0.9424404067694011
9,SHM,11,5607,2,13,0.9542453838360356
10,SHM,11,5653,2,2,0.9506034341226861
11,SHM,11,4971,2,299,0.9997860779112254
12,SHM,11,5000,2,3,0.9665101628465589
13,SHM,11,4854,2,1,0.9014943807587095
14,SHM,11,5034,2,299,0.999959562407881
15,SHM,11,4665,2,299,0.9975997539361506
16,SHM,11,5594,2,299,0.9967185453305247
17,SHM,11,4678,2,14,0.9391072042263621
18,SHM,11,5296,2,299,0.9963591110884212
19,SHM,11,5491,2,0,
20,SHM,11,5366,2,36,0.9323189302213462
21,SHM,11,4763,2,0,
22,SHM,11,4933,2,11,0.9585235976168291
23,SHM,11,4810,2,0,
24,SHM,11,5155,2,70,0.9053145325100281
25,SHM,11,5067,2,10,0.9503588529107393
26,SHM,11,5050,2,7,0.9466923707957006
27,SHM,11,5097,2,6,0.9610318870399759
28,SHM,11,5392,2,299,0.9995116001417335
29,SHM,11,5277,2,46,0.7574683275112976
30,SHM,11,4689,2,299,0.9973067353266978
31,SHM,11,5379,2,299,0.9999643835957861
32,SHM,11,4736,2,0,
33,SHM,11,4820,2,0,
34,SHM,11,4688,2,299,0.997365842071255
35,SHM,11,4791,2,0,
36,SHM,11,5024,2,14,0.9613807582335134
37,SHM,11,4629,2,0,
38,SHM,11,4636,2,299,0.9956482556686005
39,SHM,11,5315,2,4,0.9398389427888894
40,SHM,11,5468,2,0,
41,SHM,11,5501,2,0,
42,SHM,11,5646,2,5,0.9365462143210215
43,SHM,11,5182,2,299,0.999966261231828
44,SHM,11,4896,2,299,0.9995033205003035
45,SHM,11,5357,2,299,0.9999172671921893
46,SHM,11,4937,2,4,0.9443077211066473
47,SHM,11,4719,2,16,0.9346568346786375
48,SHM,11,5136,2,299,0.9990844835287375
49,SHM,11,5308,2,6,0.9396526783758543
50,SHM,11,5245,2,299,0.9961815025470568
51,SHM,11,5551,2,0,
52,SHM,11,4936,2,4,0.9596536799188286
53,SHM,11,5384,2,21,0.9411333129445163
54,SHM,11,5156,2,299,0.9999957024913823
55,SHM,11,4694,2,16,0.9671338015573339
56,SHM,11,5323,2,8,0.9581862887551722
57,SHM,11,4800,2,0,
58,SHM,11,4784,2,0,
59,SHM,11,5657,2,3,0.9159396321519808
60,SHM,11,5384,2,21,0.9411333129445163
61,SHM,11,5631,2,299,0.9999622435686002
62,SHM,11,5564,2,9,0.9563891765094643
63,SHM,11,4665,2,299,0.9975997539361506
64,SHM,11,4749,2,0,
65,SHM,11,5247,2,299,0.996648961357828
66,SHM,11,5260,2,19,0.9561629027704641
67,SHM,11,5112,2,9,0.9441678961214589
68,SHM,11,4909,2,299,0.9998491888826274
69,SHM,11,5524,2,0,
70,SHM,11,5088,2,21,0.94596962362097
71,SHM,11,5388,2,0,
72,SHM,11,4829,2,12,0.9583337599088325
73,SHM,11,4964,2,15,0.9392586565453792
74,SHM,11,5053,2,299,0.9998515707595271
75,SHM,11,5087,2,22,0.9415544627305148
76,SHM,11,5421,2,299,0.9999699378072991
77,SHM,11,4694,2,16,0.9671338015573339
78,SHM,11,5325,2,5,0.9511611324220933
79,SHM,11,5424,2,299,0.9999847777434758
80,SHM,11,4651,2,0,
81,SHM,11,5347,2,0,
82,SHM,11,5271,2,10,0.961807477007689
83,SHM,11,4889,2,299,0.9987694121299727
84,SHM,11,4720,2,17,0.9354082889741446
85,SHM,11,5601,2,7,0.9453469152840726
86,SHM,11,5442,2,299,0.9997917028231652
87,SHM,11,5104,2,11,0.951782959633666
88,SHM,11,5259,2,19,0.9587960739683734
89,SHM,11,4640,2,4,0.9306068516826403
90,SHM,11,5102,2,299,0.9994145522153153
91,SHM,11,4834,2,7,0.9436736338864667
92,SHM,11,5196,2,11,0.9453103107173084
93,SHM,11,5582,2,299,0.9991995764785307
94,SHM,11,5510,2,0,
95,SHM,11,4853,2,3,0.9177441644382051
96,SHM,11,5015,2,1,0.9953930454244085
97,SHM,11,4890,2,299,0.9988637224503721
98,SHM,11,5484,2,0,
99,SHM,11,5635,2,299,0.9998022584961757
100,SHM,11,5673,2,2,0.8772538907006433
101,SHM,11,5234,2,299,0.9999045173470968
102,SHM,11,5294,2,299,0.999928912893082
103,SHM,11,4685,2,6,0.9589408605918407
104,SHM,11,5525,2,0,
105,SHM,11,5219,2,62,0.905754068485294
106,SHM,11,5187,2,299,0.9988518755153243
107,SHM,11,4662,2,3,0.9627648465096689
108,SHM,11,5439,2,299,0.9998365409342781
109,SHM,11,5609,2,10,0.948081165474407
110,SHM,11,5577,2,299,0.9997941560712219
111,SHM,11,5632,2,299,0.9998453452480778
112,SHM,11,5515,2,0,
113,SHM,11,5549,2,0,
114,SHM,11,4874,2,64,0.9370845050222497
