,delta,tau,fname
0,0.0,0,LES
1,0.018389070380338973,1,LES
2,0.029592885509672713,2,LES
3,0.04077542882557643,3,LES
4,0.051954738504595165,4,LES
5,0.06301726289759478,5,LES
6,0.07406031811092555,6,LES
7,0.08509583059437381,7,LES
8,0.09607147145555274,8,LES
9,0.10702086108715511,9,LES
10,0.11786386493432964,10,LES
11,0.1286546120148004,11,LES
12,0.13944287551315207,12,LES
13,0.1502211597473717,13,LES
14,0.1609849134595644,14,LES
15,0.17171837554862915,15,LES
16,0.18244300119865206,16,LES
17,0.19314325755613523,17,LES
18,0.20377744062135222,18,LES
19,0.2143720667437991,19,LES
20,0.2249618851755181,20,LES
21,0.23553967122039826,21,LES
22,0.24611005437239508,22,LES
23,0.25667972522403376,23,LES
24,0.26719958890276874,24,LES
25,0.27770328777780734,25,LES
26,0.2881811135303616,26,LES
27,0.29865879159660225,27,LES
28,0.30907978655598256,28,LES
29,0.31948298056983304,29,LES
30,0.32988036469072773,30,LES
31,0.3402650587694636,31,LES
32,0.3506382564050063,32,LES
33,0.36098697831666177,33,LES
34,0.3713160475400403,34,LES
35,0.3816301524003892,35,LES
36,0.3919337007979353,36,LES
37,0.4022311057193832,37,LES
38,0.41251786000517227,38,LES
39,0.4227808765561577,39,LES
40,0.43300225794252517,40,LES
41,0.4432062784087873,41,LES
42,0.4533516903224703,42,LES
43,0.4634864164541371,43,LES
44,0.47356373443833233,44,LES
45,0.4835998924061782,45,LES
46,0.49357558611076774,46,LES
47,0.5035500549231219,47,LES
48,0.5135055901755888,48,LES
49,0.5234596006659458,49,LES
50,0.5333929407098352,50,LES
51,0.5433243659421632,51,LES
52,0.5531619190408827,52,LES
53,0.5629910553828571,53,LES
54,0.5728064146064806,54,LES
55,0.5826188068010071,55,LES
56,0.5923836426036665,56,LES
57,0.6021189303821368,57,LES
58,0.6118471429152745,58,LES
59,0.6215474679798447,59,LES
60,0.6312355202129557,60,LES
61,0.6408977107265244,61,LES
62,0.6505566710425811,62,LES
63,0.6601894209047833,63,LES
64,0.6697838551221247,64,LES
65,0.6793527215261512,65,LES
66,0.6889114764150124,66,LES
67,0.6984598470639325,67,LES
68,0.7079568284230754,68,LES
69,0.7174289970878822,69,LES
70,0.7268894257364183,70,LES
71,0.7363488098292329,71,LES
72,0.745802091935791,72,LES
73,0.7552410135711182,73,LES
74,0.7646601870381976,74,LES
75,0.7740759188705644,75,LES
76,0.7834671522007222,76,LES
77,0.7928210719598109,77,LES
78,0.8021731791652511,78,LES
79,0.8115109955877146,79,LES
80,0.8208236313041805,80,LES
81,0.8301331933103611,81,LES
82,0.8393870529483113,82,LES
83,0.8486123906959155,83,LES
84,0.857833902231564,84,LES
85,0.8670441302778741,85,LES
86,0.8762432681375323,86,LES
87,0.8854268090816015,87,LES
88,0.8946078294922433,88,LES
89,0.9036654112637764,89,LES
90,0.9127144237362109,90,LES
91,0.9216751588354454,91,LES
92,0.9306328477440651,92,LES
93,0.9395059913012876,93,LES
94,0.9483696838531939,94,LES
95,0.9571409909967263,95,LES
96,0.9658940851464654,96,LES
97,0.9745305833354202,97,LES
98,0.9831550536803693,98,LES
99,0.991587629873675,99,LES
100,0.0,0,LES
101,0.032452207743223875,1,LES
102,0.04349371304886959,2,LES
103,0.05445595735494335,3,LES
104,0.06532866990682396,4,LES
105,0.07619112495604745,5,LES
106,0.08688978049695312,6,LES
107,0.09758194472342648,7,LES
108,0.10821103919132007,8,LES
109,0.11883160324447681,9,LES
110,0.12944851440459396,10,LES
111,0.14006004627361177,11,LES
112,0.150653307036552,12,LES
113,0.16119693848848748,13,LES
114,0.171728663891319,14,LES
115,0.182254308102792,15,LES
116,0.19277633631011323,16,LES
117,0.20325360365786646,17,LES
118,0.21369367067473408,18,LES
119,0.2241271765871031,19,LES
