,treatment,animal,smapling_point,dimension,prediction_length,mean_score
0,SHM,10,4662,2,7,0.9602726724147009
1,SHM,10,5296,2,13,0.9556412156655747
2,SHM,10,5461,2,13,0.9944522294510262
3,SHM,10,5492,2,6,0.9433142950117288
4,SHM,10,5691,2,0,
5,SHM,10,4980,2,10,0.9399684012102456
6,SHM,10,4791,2,6,0.9470793541827295
7,SHM,10,5185,2,5,0.9476199898938976
8,SHM,10,5417,2,4,0.9339579492826678
9,SHM,10,5674,2,2,0.9187664156349755
10,SHM,10,5026,2,12,0.8933986861594713
11,SHM,10,4831,2,7,0.9545148896828549
12,SHM,10,4984,2,2,0.9651595721897057
13,SHM,10,4814,2,36,0.9690196310521448
14,SHM,10,4886,2,2,0.9340221341387515
15,SHM,10,5024,2,0,
16,SHM,10,5027,2,0,
17,SHM,10,4675,2,4,0.9508775251376641
18,SHM,10,5099,2,2,0.946455909140137
19,SHM,10,5376,2,10,0.9481608411469373
20,SHM,10,5077,2,0,
21,SHM,10,5168,2,17,0.9286148562517579
22,SHM,10,5057,2,21,0.9605848627216185
23,SHM,10,5681,2,4,0.9560156763489448
24,SHM,10,5222,2,11,0.9965276518605997
25,SHM,10,5179,2,8,0.9455756999066689
26,SHM,10,4975,2,9,0.9423896000051862
27,SHM,10,5137,2,16,0.9387413351429413
28,SHM,10,4906,2,3,0.9240879931229644
29,SHM,10,5680,2,5,0.9748741858416899
30,SHM,10,4997,2,6,0.9655029822549729
31,SHM,10,5513,2,12,0.9953011892595085
32,SHM,10,5497,2,4,0.9399712707521011
33,SHM,10,4940,2,2,0.9511153604526968
34,SHM,10,5595,2,1,0.9491583337954254
35,SHM,10,4800,2,20,0.9252044708082323
36,SHM,10,5628,2,36,0.9064213194740804
37,SHM,10,4705,2,4,0.9419862834283445
38,SHM,10,4908,2,7,0.9266906429578882
39,SHM,10,4786,2,81,0.9223064822832047
40,SHM,10,5269,2,15,0.9657778969921281
41,SHM,10,5001,2,3,0.9495127714538117
42,SHM,10,5537,2,102,0.9398086507726602
43,SHM,10,5092,2,5,0.9498190292723127
44,SHM,10,4658,2,7,0.9587529890936441
45,SHM,10,5473,2,12,0.9849496603998354
46,SHM,10,4710,2,40,0.9153366406625294
47,SHM,10,5412,2,1,0.9808312836867856
48,SHM,10,4850,2,5,0.951017187597278
49,SHM,10,5566,2,6,0.9635520890547785
50,SHM,10,5034,2,8,0.9312163528957995
51,SHM,10,5351,2,57,0.9542486981713963
52,SHM,10,5494,2,2,0.9520301356040582
53,SHM,10,5523,2,3,0.9359952701289748
54,SHM,10,4744,2,6,0.9440537720063554
55,SHM,10,4926,2,13,0.9740039227024392
56,SHM,10,5008,2,6,0.9600757750962493
57,SHM,10,5143,2,90,0.9630268182748233
58,SHM,10,5447,2,4,0.9405371186617941
59,SHM,10,5353,2,56,0.958476976609604
60,SHM,10,4927,2,12,0.9684188713282212
61,SHM,10,5510,2,11,0.999736173075985
62,SHM,10,4962,2,3,0.9561104878492293
63,SHM,10,5629,2,6,0.9613563884470847
64,SHM,10,5584,2,1,0.9941755839303196
65,SHM,10,5284,2,17,0.9354414293024814
66,SHM,10,5327,2,1,0.9164366632395223
67,SHM,10,5647,2,2,0.9641997137617135
68,SHM,10,5040,2,4,0.9472543132575684
69,SHM,10,5660,2,0,
70,SHM,10,5418,2,5,0.9531655187857858
71,SHM,10,5543,2,12,0.9925528040261914
72,SHM,10,5121,2,107,0.9108594028535769
73,SHM,10,5611,2,32,0.9652919175732623
74,SHM,10,5311,2,4,0.9451106611671237
75,SHM,10,5069,2,3,0.9465719209302165
76,SHM,10,4969,2,14,0.9525178024745902
77,SHM,10,5380,2,11,0.9428400863380891
78,SHM,10,5388,2,3,0.9382960744659751
79,SHM,10,5063,2,7,0.9517471645871654
80,SHM,10,4986,2,6,0.9592521999903774
81,SHM,10,5315,2,2,0.9378398440443018
82,SHM,10,4973,2,38,0.931525577152498
83,SHM,10,4839,2,3,0.916117276374551
84,SHM,10,5534,2,50,0.9235631139948067
85,SHM,10,5120,2,109,0.9126965206924923
86,SHM,10,5715,2,11,0.9958988115698966
87,SHM,10,4793,2,13,0.9141314252012354
88,SHM,10,5716,2,11,0.9959478342365543
89,SHM,10,4795,2,14,0.918739832063696
90,SHM,10,4854,2,22,0.9504316957655937
91,SHM,10,5134,2,107,0.9681605175611697
92,SHM,10,5333,2,3,0.9573495995699078
93,SHM,10,5648,2,2,0.9411008167180598
94,SHM,10,5511,2,12,0.9980591019300706
95,SHM,10,5260,2,4,0.9546913988621883
96,SHM,10,5458,2,9,0.999520152024028
97,SHM,10,4955,2,2,0.9651537492254694
98,SHM,10,5393,2,7,0.9299496240260012
99,SHM,10,4818,2,44,0.9441716689840028
100,SHM,10,5554,2,11,0.9469846935632166
101,SHM,10,5120,2,109,0.9126965206924923
102,SHM,10,4802,2,70,0.9527168425503871
103,SHM,10,4677,2,35,0.8560351126713436
104,SHM,10,5580,2,0,
105,SHM,10,5707,2,1,0.996870049389759
106,SHM,10,5405,2,1,0.9449429804117413
107,SHM,10,5285,2,20,0.9323463548178212
108,SHM,10,5668,2,1,0.9957864500221502
109,SHM,10,4751,2,0,
110,SHM,10,5090,2,2,0.9669484315752688
111,SHM,10,5427,2,50,0.9771232633932297
112,SHM,10,5039,2,3,0.960628219639716
113,SHM,10,5087,2,3,0.9585604171218233
114,SHM,10,5572,2,11,0.9618029306235893
115,SHM,10,4821,2,28,0.9172130249448458
116,SHM,10,5388,2,3,0.9382960744659751
117,SHM,10,5068,2,5,0.9555423961329236
118,SHM,10,4873,2,0,
119,SHM,10,5368,2,13,0.9544213981389803
120,SHM,10,5430,2,45,0.9251153467875489
121,SHM,10,4737,2,4,0.9403754171302813
122,SHM,10,4686,2,2,0.9631872812390645
123,SHM,10,5291,2,32,0.9642045055376125
124,SHM,10,5370,2,28,0.9283894826177942
125,SHM,10,4748,2,1,0.9261132355855424
126,SHM,10,5343,2,4,0.9362516393844905
127,SHM,10,5299,2,11,0.9589437461511419
128,SHM,10,4862,2,14,0.9747207615161096
129,SHM,10,4801,2,72,0.9532280040972125
130,SHM,10,4912,2,5,0.9644996106679482
131,SHM,10,5169,2,6,0.9525744379356827
132,SHM,10,5145,2,85,0.9563931445345799
133,SHM,10,5601,2,0,
134,SHM,10,5378,2,7,0.9545824175292174
135,SHM,10,5552,2,3,0.9548290570347283
136,SHM,10,5585,2,1,0.9837568278440957
137,SHM,10,5568,2,20,0.9640780744454807
138,SHM,10,5554,2,11,0.9469846935632166
139,SHM,10,4680,2,0,
140,SHM,10,5255,2,5,0.950230970211844
141,SHM,10,5073,2,1,0.9639487127041001
142,SHM,10,4676,2,38,0.8555957516615295
143,SHM,10,5552,2,3,0.9548290570347283
144,SHM,10,5255,2,5,0.950230970211844
145,SHM,10,5231,2,4,0.9439541001931082
146,SHM,10,4863,2,13,0.9679245407859092
147,SHM,10,4939,2,17,0.40348611210995117
148,SHM,10,4907,2,4,0.9455357444181356
149,SHM,10,5326,2,28,0.8164233817876144
150,SHM,10,4793,2,13,0.9141314252012354
151,SHM,10,5444,2,12,0.9989948553694945
152,SHM,10,5636,2,3,0.9353099358096966
153,SHM,10,5526,2,1,0.9708712527257805
154,SHM,10,5023,2,0,
155,SHM,10,5226,2,18,0.8762756386360989
156,SHM,10,5475,2,9,0.9621921622298333
157,SHM,10,4974,2,36,0.918434180737646
158,SHM,10,5709,2,1,0.9689051903370852
159,SHM,10,5456,2,11,0.9998770557650551
160,SHM,10,4680,2,0,
161,SHM,10,5209,2,1,0.9392308755882437
162,SHM,10,4916,2,8,0.9483471155428633
163,SHM,10,5384,2,6,0.9676254719288194
164,SHM,10,4964,2,9,0.9484150424177046
165,SHM,10,5272,2,13,0.9574847996336477
166,SHM,10,5556,2,3,0.9691425900064162
167,SHM,10,4874,2,0,
168,SHM,10,5624,2,23,0.947329702467548
169,SHM,10,5468,2,8,0.9488456733279151
170,SHM,10,5607,2,25,0.9638544102299419
171,SHM,10,5122,2,110,0.9336460816748425
172,SHM,10,5329,2,33,0.8959193215242488
173,SHM,10,5180,2,3,0.9670010493294177
174,SHM,10,5277,2,36,0.9445417084038596
