,delta,tau,fname
0,0.21071174954247618,0,LES
1,0.14023693537188722,1,LES
2,0.12277709661667362,2,LES
3,0.09759857178054628,3,LES
4,0.08062045120567223,4,LES
5,0.07656271003639148,5,LES
6,0.0713984156062325,6,LES
7,0.05696159374928164,7,LES
8,0.03899958098941402,8,LES
9,0.026113949113059996,9,LES
10,0.016297590925249034,10,LES
11,0.008843191230319607,11,LES
12,0.006417490717089795,12,LES
13,0.006124751018638587,13,LES
14,0.005177769950287557,14,LES
15,0.004248202009684823,15,LES
16,0.0027882854163727377,16,LES
17,0.0022088757111577866,17,LES
18,0.002044625114469976,18,LES
19,0.0014925240851063495,19,LES
20,0.0014385712571557195,20,LES
21,0.0012665234469952508,21,LES
22,0.0011008149910495457,22,LES
23,0.0010044391541121417,23,LES
24,0.000846692679590852,24,LES
25,0.0008315560882854204,25,LES
26,0.0008160904312447113,26,LES
27,0.0007329136009147742,27,LES
28,0.0006859320622395652,28,LES
29,0.0006729980867222715,29,LES
30,0.0005002660486167708,30,LES
31,0.0004915078909867862,31,LES
32,0.000481676508823816,32,LES
33,0.00046546161589341723,33,LES
34,0.0004583326042203151,34,LES
35,0.00041850176364580636,35,LES
36,0.0004182719057398018,36,LES
37,0.0003766706091085184,37,LES
38,0.00037666839141303293,38,LES
39,0.0003339078589373066,39,LES
40,0.0003336796244848334,40,LES
41,0.0002920461620726665,41,LES
42,0.0002543084257937987,42,LES
43,0.0002496554368396556,43,LES
44,0.00024590279699245884,44,LES
45,0.000244721220853643,45,LES
46,0.00022571807558637857,46,LES
47,0.00022518792687847565,47,LES
48,0.0002205925748121206,48,LES
49,0.0002205411480929603,49,LES
50,0.00020826933491630483,50,LES
51,0.00018918347710494184,51,LES
52,0.00018426682501907586,52,LES
53,0.00018392649251416097,53,LES
54,0.00018205438753525117,54,LES
55,0.00018187167563244954,55,LES
56,0.00017939354755119963,56,LES
57,0.00017787063801302742,57,LES
58,0.00017231111246844834,58,LES
59,0.00017038960869481584,59,LES
60,0.00016418011969600204,60,LES
61,0.0001628227992035776,61,LES
62,0.00016263813043324897,62,LES
63,0.00015507003977027398,63,LES
64,0.0001530406709074369,64,LES
65,0.00015174050036919506,65,LES
66,0.00014379019269266616,66,LES
67,0.00014153674186137558,67,LES
68,0.00014110837202675319,68,LES
69,0.00014057010626521965,69,LES
70,0.00013503833995390674,70,LES
71,0.00013323540765863422,71,LES
72,0.00013220895555825083,72,LES
73,0.00013215617378027318,73,LES
74,0.00012695480676671046,74,LES
75,0.00012677225947731278,75,LES
76,0.00011425720626492959,76,LES
77,0.00011161992682379575,77,LES
78,0.0001113592404785051,78,LES
79,0.00010960544039852753,79,LES
80,0.00010897268821594253,80,LES
81,0.0001059685918097741,81,LES
82,0.0001048710536855545,82,LES
83,9.57222427273552e-05,83,LES
84,9.453401955809191e-05,84,LES
85,9.04953410417407e-05,85,LES
86,8.157030875629219e-05,86,LES
87,8.133436703512757e-05,87,LES
88,7.997429632047199e-05,88,LES
89,7.966181870851732e-05,89,LES
90,7.680864662492468e-05,90,LES
91,7.678817673479269e-05,91,LES
92,7.38691353050387e-05,92,LES
93,7.373868469892363e-05,93,LES
94,6.514199718894881e-05,94,LES
95,6.31575768279152e-05,95,LES
96,5.716248321320931e-05,96,LES
97,5.474014938405429e-05,97,LES
98,5.4468800006462024e-05,98,LES
99,4.7266514206499305e-05,99,LES
100,0.17256177069309922,0,LES
101,0.12343850659416684,1,LES
102,0.11910862693124433,2,LES
103,0.11580995735792364,3,LES
104,0.09812801957532,4,LES
105,0.07664814080501856,5,LES
106,0.06632416636237541,6,LES
107,0.06117043270181993,7,LES
108,0.042160841628258394,8,LES
109,0.023610893938897367,9,LES
110,0.012651630137929824,10,LES
111,0.009456854282214351,11,LES
112,0.00922983807272008,12,LES
113,0.005997704862451073,13,LES
114,0.005504648613154378,14,LES
115,0.0054973025671799965,15,LES
116,0.003315584344866759,16,LES
117,0.0032897754808874687,17,LES
118,0.003270518351283547,18,LES
119,0.002654930169076576,19,LES
120,0.0025110837861307732,20,LES
121,0.0018513846625890231,21,LES
122,0.0018354778202079331,22,LES
123,0.0016329656883167858,23,LES
124,0.0014105140960789953,24,LES
125,0.0014020882855311093,25,LES
126,0.0013602138599340876,26,LES
127,0.0013189599429890666,27,LES
128,0.001266924559803812,28,LES
129,0.0012253650052816852,29,LES
130,0.0011648111235954002,30,LES
131,0.001144111753510898,31,LES
132,0.0009510704362197414,32,LES
133,0.0009470663399128203,33,LES
134,0.0008662733701859424,34,LES
135,0.000784469557293877,35,LES
136,0.0007620998354530272,36,LES
137,0.0007107936600370894,37,LES
138,0.000689159470703153,38,LES
139,0.0006890739786053619,39,LES
140,0.000676273126315909,40,LES
141,0.0006647855503982462,41,LES
142,0.0006301443626704024,42,LES
143,0.0006038317211424422,43,LES
144,0.0006003033417095852,44,LES
145,0.0005918067746318976,45,LES
146,0.0005593563855138793,46,LES
147,0.0004950291911094403,47,LES
148,0.00048481932597447636,48,LES
149,0.00045226632918071,49,LES
150,0.00044408546647685073,50,LES
151,0.00041746370913773136,51,LES
152,0.0004125098748121893,52,LES
153,0.000388885688957922,53,LES
154,0.00038699076930910116,54,LES
155,0.000386640770976731,55,LES
156,0.0003722678021146187,56,LES
157,0.0003536839691860017,57,LES
158,0.0003392545160751809,58,LES
159,0.0003336832367900258,59,LES
160,0.00027158578454852556,60,LES
161,0.0002678177094095217,61,LES
162,0.00026503670473578103,62,LES
163,0.0002539488851263422,63,LES
164,0.00024365316244360987,64,LES
165,0.00023029970397543084,65,LES
166,0.00021592347584922393,66,LES
167,0.00021433501436321235,67,LES
168,0.00020529678918371617,68,LES
169,0.00020514779852422236,69,LES
170,0.00020329948179655008,70,LES
171,0.0001917409009122374,71,LES
172,0.00018925473703808825,72,LES
173,0.0001876725685530735,73,LES
174,0.00017304506517359035,74,LES
175,0.00016894882043436493,75,LES
176,0.00016291714919003532,76,LES
177,0.00016284516854554956,77,LES
178,0.00015674516920038205,78,LES
179,0.00015366441650385273,79,LES
180,0.00014222559135456148,80,LES
181,0.00013980781104929883,81,LES
182,0.00013602384061208188,82,LES
183,0.00013553758926428854,83,LES
184,0.0001249975523922201,84,LES
185,0.00011805047411271253,85,LES
186,0.00010535339510810435,86,LES
187,0.00010517551664889308,87,LES
188,9.879111327608259e-05,88,LES
189,9.838996978621254e-05,89,LES
190,9.212868536798026e-05,90,LES
191,9.158928154080316e-05,91,LES
192,8.066749751609861e-05,92,LES
193,7.869161302551986e-05,93,LES
194,7.089646259554818e-05,94,LES
195,6.992304791553619e-05,95,LES
196,6.657402057135703e-05,96,LES
197,6.492030353059368e-05,97,LES
198,5.646640103348297e-05,98,LES
199,5.247871303994274e-05,99,LES
200,0.36194932214661474,0,SKF
201,0.13871986853990206,1,SKF
202,0.11367303507723085,2,SKF
203,0.09200613753172812,3,SKF
204,0.07449677732837817,4,SKF
205,0.056257065449853,5,SKF
206,0.04913908942897675,6,SKF
207,0.03856333714583769,7,SKF
208,0.028404375328505836,8,SKF
209,0.01964490691610686,9,SKF
210,0.010737115110046611,10,SKF
211,0.004656746100331908,11,SKF
212,0.0019662861240940794,12,SKF
213,0.0013846093037942003,13,SKF
214,0.0013782974432745001,14,SKF
215,0.0010676650976925114,15,SKF
216,0.0007986825074538085,16,SKF
217,0.0005015350256898567,17,SKF
218,0.00044192899574989596,18,SKF
219,0.00040299906347321363,19,SKF
220,0.0003224929746178526,20,SKF
221,0.00027536593705108697,21,SKF
222,0.00019850142108562144,22,SKF
223,0.00018792136772498053,23,SKF
224,0.00016069300423139806,24,SKF
225,0.00014912703973049305,25,SKF
226,0.00013347678387006483,26,SKF
227,0.0001108148209762227,27,SKF
228,0.00010751700055230598,28,SKF
229,9.480437208281228e-05,29,SKF
230,9.117619283150106e-05,30,SKF
231,8.298960169468746e-05,31,SKF
232,8.21084367210903e-05,32,SKF
233,7.384172995307415e-05,33,SKF
234,7.377281972581819e-05,34,SKF
235,7.048031024837888e-05,35,SKF
236,6.807154701949717e-05,36,SKF
237,6.568347809708264e-05,37,SKF
238,5.9717344510279534e-05,38,SKF
239,5.969670534007253e-05,39,SKF
240,4.942589707919562e-05,40,SKF
241,4.9257044276122366e-05,41,SKF
242,4.78351813940805e-05,42,SKF
243,4.753774208443109e-05,43,SKF
244,4.3265127799104334e-05,44,SKF
245,4.134052099679662e-05,45,SKF
246,4.108248399208796e-05,46,SKF
247,3.9653028385482625e-05,47,SKF
248,3.938355719440432e-05,48,SKF
249,3.5444145782326865e-05,49,SKF
250,3.5384029446539586e-05,50,SKF
251,3.4210140161051235e-05,51,SKF
252,3.399411201168754e-05,52,SKF
253,3.18490376798695e-05,53,SKF
254,3.18440938134068e-05,54,SKF
255,3.0172424923631314e-05,55,SKF
256,2.879311221546832e-05,56,SKF
257,2.802987808867195e-05,57,SKF
258,2.6473514342844237e-05,58,SKF
259,2.6467371780396846e-05,59,SKF
260,2.61751036787273e-05,60,SKF
261,2.5886831406052937e-05,61,SKF
262,2.344378483661684e-05,62,SKF
263,2.3413648566988158e-05,63,SKF
264,2.33866526447128e-05,64,SKF
265,2.2852697100552905e-05,65,SKF
266,2.1747097595300734e-05,66,SKF
