scorer,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000
bodyparts,headR,headR,headR,headL,headL,headL,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,286.80108642578125,379.69122314453125,0.9999997615814209,263.7289733886719,367.2903137207031,0.9999998807907104,295.6121520996094,380.5370788574219,0.004948914051055908
1,275.2801818847656,356.7005920410156,1.0,249.50146484375,356.9951171875,0.9999999403953552,242.73838806152344,437.6064758300781,1.0
2,267.195068359375,354.4680480957031,1.0,242.57785034179688,360.1305236816406,1.0,240.04928588867188,439.5505676269531,1.0
3,248.46580505371094,356.4347839355469,0.9999998807907104,226.98464965820312,369.8089599609375,1.0,239.31369018554688,440.9690856933594,1.0
4,233.4635467529297,363.1880187988281,0.9999995231628418,216.9855499267578,381.748046875,0.9999997615814209,246.55845642089844,441.26824951171875,1.0
5,227.97198486328125,366.7493896484375,1.0,215.6144256591797,388.8175964355469,0.9999999403953552,255.0912628173828,441.2748107910156,1.0
6,218.30975341796875,385.9543151855469,0.9999998211860657,221.6822967529297,408.0158386230469,0.9999997615814209,275.9625244140625,435.8251647949219,1.0
7,217.86077880859375,390.3072204589844,0.9999998211860657,226.2468719482422,412.9513244628906,0.9999998807907104,283.089599609375,433.6824951171875,1.0
8,218.331787109375,395.9486389160156,0.9999997019767761,229.01014709472656,417.7571105957031,1.0,287.9189147949219,432.7791748046875,1.0
9,218.73660278320312,412.2096252441406,0.9999998807907104,240.46043395996094,425.3618469238281,0.9999998807907104,300.512451171875,426.3089904785156,1.0
10,219.59474182128906,413.9549560546875,0.9999998807907104,243.15237426757812,424.25634765625,0.9999998807907104,304.6640319824219,419.82586669921875,1.0
11,220.8540496826172,415.2757263183594,0.9999997615814209,245.74200439453125,427.07904052734375,0.9999997615814209,308.8652038574219,415.4208679199219,1.0
12,244.44195556640625,433.7406921386719,0.9999999403953552,266.9573974609375,423.0926208496094,1.0,300.6845397949219,364.3044738769531,0.9999999403953552
13,267.8125,425.6993713378906,0.9999997615814209,282.60986328125,406.7720031738281,0.9999999403953552,279.5853271484375,335.7538146972656,0.9999998807907104
14,270.7551574707031,423.44647216796875,0.9999999403953552,284.994873046875,403.60748291015625,1.0,277.412109375,333.7842102050781,0.9999999403953552
15,280.3424072265625,414.615234375,0.9999998807907104,287.61297607421875,390.3582458496094,0.9999996423721313,265.5281066894531,326.9195556640625,1.0
16,284.6117858886719,401.3369140625,0.9999998807907104,283.44976806640625,375.63177490234375,0.9999995827674866,247.8842315673828,324.46612548828125,1.0
17,285.9114074707031,385.65960693359375,0.9999998807907104,279.3580627441406,360.34259033203125,0.9999996423721313,238.66519165039062,323.63641357421875,1.0
18,286.4289245605469,383.12353515625,0.999999463558197,278.9903869628906,358.71820068359375,0.9999998807907104,238.036376953125,322.8992919921875,1.0
19,289.8982849121094,359.2654113769531,0.9999998807907104,271.4374694824219,342.53546142578125,0.9999997615814209,236.84136962890625,321.2471008300781,1.0
20,287.38177490234375,345.745849609375,0.9999997615814209,267.36175537109375,332.8614196777344,0.9999991655349731,236.94508361816406,319.8387756347656,0.9999998807907104
21,282.5481262207031,340.1329650878906,1.0,263.6683654785156,326.8569030761719,0.9999997019767761,237.136474609375,319.31884765625,0.9999998807907104
22,279.96771240234375,336.8588562011719,0.9999998807907104,259.19012451171875,323.9984436035156,0.9999998807907104,237.050537109375,319.7110290527344,0.9999998807907104
23,278.16217041015625,328.16455078125,0.9999997615814209,255.20372009277344,318.0950012207031,0.9999983310699463,236.31503295898438,318.2476501464844,0.9999994039535522
24,276.85858154296875,319.23126220703125,1.0,255.2015838623047,313.51068115234375,0.9999972581863403,235.70884704589844,318.40673828125,0.9999995827674866
25,277.15673828125,317.8608703613281,1.0,255.3698272705078,310.5926818847656,0.9999997019767761,234.92286682128906,318.3980712890625,0.9999994039535522
26,277.4721984863281,316.4158630371094,0.9999998807907104,254.07862854003906,308.97760009765625,0.9999998807907104,234.09716796875,318.3586730957031,0.999998927116394
27,275.6310729980469,308.3973388671875,1.0,252.12844848632812,305.1264343261719,0.9999998807907104,233.48910522460938,315.2991943359375,0.9999985694885254
28,273.6354675292969,306.2054443359375,0.9999999403953552,250.51918029785156,303.71893310546875,0.9999997615814209,233.11863708496094,312.7786560058594,0.9999984502792358
29,272.8222961425781,304.92132568359375,0.9999998807907104,249.6115264892578,301.51947021484375,0.9999990463256836,232.08505249023438,309.255859375,0.9999957084655762
30,273.49652099609375,302.8591003417969,0.9999999403953552,249.95480346679688,301.02838134765625,0.9999990463256836,232.03176879882812,311.77496337890625,0.9999953508377075
31,271.5657043457031,300.90643310546875,0.9999998807907104,247.39453125,300.1526184082031,0.9999994039535522,233.66233825683594,302.64947509765625,0.9999922513961792
32,271.0264587402344,301.00079345703125,0.9999998807907104,246.25955200195312,300.0257873535156,0.9999995231628418,232.84805297851562,299.00537109375,0.9999151825904846
33,268.7196960449219,297.9801025390625,0.9999998807907104,244.2410888671875,298.251953125,0.999998927116394,234.2257843017578,288.8696594238281,0.9999806880950928
34,268.6923522949219,297.80316162109375,0.9999998807907104,244.2075653076172,298.0962219238281,0.9999986886978149,234.49639892578125,288.5290222167969,0.9999807476997375
35,267.51300048828125,298.1514587402344,0.9999999403953552,241.95578002929688,297.425048828125,0.999998927116394,234.96641540527344,286.2018127441406,0.9999804496765137
36,267.1123962402344,296.8739013671875,0.9999998807907104,241.49850463867188,296.6295166015625,0.9999993443489075,235.32925415039062,284.1116638183594,0.999984622001648
37,266.2420654296875,296.38134765625,0.9999998807907104,241.06053161621094,296.4694519042969,0.9999992251396179,236.70474243164062,284.03369140625,0.9999913573265076
38,264.5975341796875,297.2979736328125,0.9999995827674866,239.50982666015625,295.54217529296875,0.9999983906745911,236.80026245117188,284.2023010253906,0.9999873638153076
39,263.9220275878906,294.5581970214844,0.9999997615814209,237.81092834472656,294.89703369140625,0.9999989867210388,237.13983154296875,282.50592041015625,0.9999980926513672
40,263.30419921875,294.8207092285156,0.9999998807907104,237.37521362304688,294.8935546875,0.9999990463256836,236.98477172851562,282.6397399902344,0.9999975562095642
41,261.88128662109375,295.90631103515625,0.9999998807907104,236.44158935546875,295.23004150390625,0.9999988079071045,236.38916015625,282.98333740234375,0.9999971985816956
42,262.4757080078125,296.0505065917969,0.9999997615814209,235.8921661376953,295.130859375,0.9999983310699463,236.62753295898438,283.7342834472656,0.9999944567680359
43,259.1747741699219,293.8053894042969,0.9999998807907104,234.02854919433594,295.6988525390625,0.9999986886978149,237.23304748535156,285.23309326171875,0.9999895095825195
44,258.2602844238281,292.97100830078125,0.9999999403953552,234.03817749023438,295.0155334472656,0.9999989867210388,237.0303497314453,284.8102722167969,0.9999904036521912
45,258.2192077636719,293.4458923339844,0.9999998807907104,233.89488220214844,294.7822265625,0.999998927116394,237.1372833251953,285.1247863769531,0.9999896287918091
46,257.59625244140625,291.2798767089844,0.9999999403953552,231.96302795410156,292.705322265625,0.9999998807907104,238.24363708496094,282.65728759765625,0.9999970197677612
47,256.89642333984375,290.6505126953125,0.9999998807907104,231.64329528808594,292.6481018066406,0.9999998807907104,238.26539611816406,282.7698669433594,0.9999970197677612
48,254.65550231933594,289.53143310546875,0.9999998211860657,230.2930908203125,292.6927490234375,0.9999998807907104,238.30360412597656,282.89129638671875,0.999996542930603
49,252.97959899902344,290.0376281738281,0.9999998807907104,228.5989532470703,294.29388427734375,0.9999998211860657,238.83949279785156,283.84130859375,0.9999967813491821
50,252.67446899414062,290.20135498046875,0.9999998807907104,228.1415252685547,294.6861267089844,0.9999998211860657,238.791748046875,284.3388671875,0.9999968409538269
51,248.58615112304688,290.2745666503906,0.9999996423721313,225.42208862304688,297.08526611328125,0.9999974370002747,237.55120849609375,285.2336730957031,0.9999953508377075
52,244.88192749023438,285.2626647949219,0.9999992251396179,221.27859497070312,296.2695007324219,0.9999995231628418,240.08265686035156,280.977783203125,0.9999955892562866
53,244.9151611328125,284.5107116699219,0.9999992847442627,221.8936309814453,295.8995666503906,0.9999997615814209,239.43556213378906,279.9541931152344,0.9999961853027344
54,230.99200439453125,284.1963806152344,1.0,210.95404052734375,298.2384338378906,0.9999998807907104,215.60960388183594,362.9559020996094,0.9999998807907104
55,225.7263946533203,287.5824890136719,1.0,207.84445190429688,305.45068359375,0.9999998211860657,222.7668914794922,374.13067626953125,0.9999998807907104
56,220.28207397460938,292.2608642578125,0.9999998807907104,205.18406677246094,312.24566650390625,0.999999463558197,231.76405334472656,381.0205993652344,0.9999999403953552
57,212.6834716796875,304.7640686035156,1.0,202.41268920898438,327.55694580078125,0.9999996423721313,259.58551025390625,381.9142761230469,1.0
58,211.85028076171875,307.8311767578125,1.0,202.21446228027344,330.5072021484375,0.9999997615814209,261.796630859375,381.4700622558594,1.0
