scorer,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000
bodyparts,headR,headR,headR,headL,headL,headL,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,420.16554832458496,232.11152744293213,1.0,404.9969310760498,248.09367752075195,1.0,474.9644846916199,289.026798248291,1.0
1,420.3303985595703,231.74953818321228,1.0,405.0291337966919,248.02090692520142,1.0,475.6942186355591,288.7312307357788,1.0
2,420.79442024230957,231.7702956199646,1.0,404.61833572387695,247.3442256450653,1.0,475.98415184020996,288.98167753219604,1.0
3,420.39781856536865,231.77302026748657,1.0,404.55001163482666,247.5386712551117,1.0,475.9291396141052,290.2203516960144,1.0
4,419.70856189727783,231.7911891937256,1.0,404.8479299545288,248.20682334899902,1.0,475.959511756897,290.60916662216187,1.0
5,419.13616275787354,232.45949506759644,1.0,404.5245409011841,248.54585886001587,1.0,475.8514881134033,290.31594038009644,1.0
6,418.90819549560547,233.1070432662964,1.0,405.13658714294434,249.25574588775635,1.0,476.1911926269531,289.96026849746704,1.0
7,418.530189037323,233.71241188049316,1.0,405.1065855026245,249.9458122253418,1.0,476.22198009490967,289.84501791000366,1.0
8,418.76598167419434,234.06851291656494,1.0,405.4140911102295,250.4788794517517,1.0,476.84048956632614,290.26133966445923,1.0
9,419.3581643104553,234.79738521575928,1.0,404.97077322006226,250.85302352905273,1.0,476.22340646386147,290.23918199539185,1.0
10,421.06852173805237,236.0048942565918,1.0,405.9995723962784,251.5018229484558,1.0,476.57832181453705,290.35150957107544,1.0
11,421.4647444486618,236.67890071868896,1.0,406.25126791000366,252.00027465820312,1.0,476.3520514667034,291.27232456207275,1.0
12,422.17250633239746,236.54034996032715,1.0,406.2792110443115,251.6312084197998,1.0,475.5047869980335,292.04474925994873,1.0
13,423.2414360046387,236.6697874069214,1.0,406.9555377960205,251.386004447937,1.0,475.71645787358284,292.39395332336426,1.0
14,422.9775564670563,236.75825119018555,1.0,406.16155791282654,250.50991916656494,1.0,474.7037955522537,293.0475740432739,1.0
15,424.51077222824097,236.69042873382568,1.0,407.48889780044556,250.33768367767334,1.0,474.7170126438141,293.9486036300659,1.0
16,425.7973906993866,237.56409645080566,1.0,408.56992959976196,250.77203273773193,1.0,474.44072937965393,293.84907150268555,1.0
17,426.4552298784256,238.1804084777832,1.0,408.94003772735596,250.62291765213013,1.0,474.584894657135,294.17533779144287,1.0
18,427.6155878305435,238.34593296051025,1.0,409.92476987838745,250.42281198501587,1.0,474.5293585062027,293.9500799179077,1.0
19,428.79604238271713,238.13501167297363,1.0,410.4758858680725,249.61830759048462,1.0,474.6084449291229,293.5509376525879,1.0
20,429.2091773748398,238.7504758834839,1.0,410.4870572090149,249.2157745361328,1.0,474.4124583005905,293.6556634902954,1.0
21,429.87346601486206,238.1863889694214,1.0,410.61490297317505,248.79033422470093,1.0,473.79628920555115,293.7315330505371,1.0
22,430.34001660346985,238.48424911499023,1.0,410.82807970046997,248.40259885787964,1.0,474.25441431999207,293.97496795654297,1.0
23,429.98095202445984,238.61458015441895,1.0,410.97730779647827,248.70776510238647,1.0,473.99682879447937,294.01301288604736,1.0
24,430.446870803833,238.91801071166992,1.0,410.9719738960266,247.8531756401062,1.0,473.9958291053772,293.76898860931396,1.0
25,430.54029273986816,239.07368516921997,1.0,411.04771900177,246.8265814781189,1.0,473.80415630340576,293.78047466278076,1.0
26,431.1563332080841,239.1581416130066,1.0,411.57385209202766,245.996675491333,1.0,473.6131398677826,293.67899227142334,1.0
27,431.1725764274597,238.230366230011,1.0,411.44916623830795,244.73268222808838,1.0,473.50555396080017,293.71155548095703,1.0
28,432.73823523521423,237.86530590057373,1.0,412.200891494751,243.84200859069824,1.0,473.5268313884735,293.5087699890137,1.0
29,433.51056003570557,237.25598907470703,1.0,413.09783697128296,243.0108985900879,1.0,473.25559759140015,293.7518014907837,1.0
30,434.03713607788086,237.11797523498535,1.0,413.86734545230865,243.2260546684265,1.0,473.093138217926,293.3375358581543,1.0
31,435.0993790626526,237.40137481689453,1.0,413.83978164196014,243.50114250183105,1.0,474.0497575998306,293.6179265975952,1.0
32,435.6317226290703,237.40934658050537,1.0,414.172087430954,243.49292659759521,1.0,473.4208416938782,294.42272424697876,1.0
33,435.69585144519806,237.85754203796387,1.0,414.61976742744446,243.54310941696167,1.0,473.33787083625793,294.0083255767822,1.0
34,435.877359226346,238.2406129837036,1.0,414.70214772224426,243.3218126296997,1.0,473.10404539108276,293.9207754135132,1.0
35,435.84948143363,238.07267475128174,1.0,414.52073335647583,243.3525094985962,1.0,473.1951344013214,294.24577236175537,1.0
36,436.70355927944183,237.8665075302124,1.0,414.82759976387024,243.64732599258423,1.0,473.17663526535034,294.727548122406,1.0
37,436.142996519804,238.01599216461182,1.0,414.969220161438,243.21753406524658,1.0,472.9682455062866,294.68663573265076,1.0
38,436.08572271466255,238.04440593719482,1.0,414.69608664512634,242.54288053512573,1.0,473.19161009788513,294.1409902572632,1.0
39,436.300240367651,237.46599960327148,1.0,414.90294218063354,241.2705717086792,1.0,473.05081129074097,294.3236827850342,1.0
40,436.610693693161,236.67163753509521,1.0,414.5454378128052,239.74911642074585,1.0,472.73953008651733,294.95459842681885,1.0
41,437.35538721084595,234.761127948761,1.0,415.4167711734772,237.7094268798828,1.0,472.7443222999573,294.9073202610016,1.0
42,438.12465262413025,233.68900346755981,1.0,416.21498584747314,236.1659870147705,1.0,472.50959968566895,294.7856469154358,1.0
43,438.85517406463623,233.6390414237976,1.0,416.6590690612793,235.0914077758789,1.0,472.59667778015137,294.96009254455566,1.0
44,440.0123052597046,231.73214101791382,1.0,417.83832025527954,233.42502641677856,1.0,471.8383288383484,295.228759765625,1.0
45,440.5936527252197,232.77803945541382,1.0,417.91767740249634,233.23456287384033,1.0,471.8788950443268,295.7094554901123,1.0
46,440.7655029296875,232.46290111541748,1.0,418.13438844680786,233.19803667068481,1.0,471.90885162353516,295.4858524799347,1.0
47,441.67822074890137,233.93076133728027,1.0,419.8182988166809,234.28033065795898,1.0,472.56353759765625,295.977388381958,1.0
48,443.8743691444397,233.9769320487976,1.0,421.493935585022,234.5924620628357,1.0,473.4057159423828,297.0126633644104,1.0
49,446.71677827835083,235.0298833847046,1.0,424.41311979293823,234.82165908813477,1.0,474.436487197876,298.0478267669678,1.0
50,448.69612407684326,235.88288974761963,1.0,426.06863594055176,236.3075008392334,1.0,475.47216844558716,299.42341566085815,1.0
51,451.019943356514,237.47019290924072,1.0,427.81257247924805,236.36370277404785,1.0,476.7637862563133,300.2762088775635,1.0
52,452.0671623200178,238.09192752838135,1.0,429.61723363399506,235.71799612045288,1.0,476.0278846565634,301.43616485595703,1.0
53,453.66642713546753,238.67516326904297,1.0,431.353102684021,235.37193965911865,1.0,474.80979347229004,303.99634313583374,1.0
54,453.48967456817627,238.7050745487213,1.0,432.85855054855347,235.80354356765747,1.0,474.07302713394165,305.6868681907654,1.0
55,454.80846881866455,239.4768886566162,1.0,433.7612977027893,234.9435658454895,1.0,472.92272090911865,306.46156883239746,1.0
56,455.7292172908783,240.72898769378662,1.0,434.4091191291809,235.32785892486572,1.0,472.1038074493408,307.8286895751953,1.0
57,457.66290378570557,240.83141660690308,1.0,435.93574380874634,234.88306140899658,1.0,471.8883819580078,308.3926992416382,1.0
58,458.6500301361084,241.6116018295288,1.0,436.7912656068802,234.77186155319214,1.0,471.70570969581604,309.0644226074219,1.0
59,459.4948306083679,241.42545461654663,1.0,438.0867283344269,233.81995248794556,1.0,470.8799571990967,309.08323192596436,1.0
60,460.5151376724243,241.54098558425903,1.0,439.41432905197144,233.0345859527588,1.0,470.9898555278778,309.241868019104,1.0
61,461.2438803911209,241.5340700149536,1.0,440.2778844833374,232.32869338989258,1.0,470.68804717063904,309.32159519195557,1.0
62,462.06274819374084,241.05111455917358,1.0,441.231822013855,231.38342189788818,1.0,470.27440452575684,309.13007640838623,1.0
63,462.984712600708,240.64621353149414,1.0,442.3247113227844,230.90686917304993,1.0,469.80377638339996,309.1426076889038,1.0
64,463.9105088710785,239.92036986351013,1.0,444.3091826438904,229.9116153717041,1.0,469.3423880338669,308.72357845306396,1.0
65,465.2403326034546,238.874933719635,1.0,445.5127431154251,229.00111484527588,1.0,469.1202828884125,308.7786283493042,1.0
66,466.6027977466583,237.19538593292236,1.0,446.6300845146179,227.13814878463745,1.0,468.89737528562546,308.77836894989014,1.0
67,467.55174404382706,236.44250583648682,1.0,447.7310767173767,225.95166492462158,1.0,468.5970734357834,308.3196086883545,1.0
68,468.10676365345716,235.4266939163208,1.0,448.2710123062134,225.3340482711792,1.0,468.7025370001793,307.9687066078186,1.0
69,468.51720809936523,234.86211109161377,1.0,448.5687394142151,224.07969760894775,1.0,468.86879378557205,307.309175491333,1.0
70,469.28953647613525,234.55507564544678,1.0,448.86878061294556,223.22961115837097,1.0,468.81615686416626,306.763795375824,1.0
