scorer,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000
bodyparts,headR,headR,headR,headL,headL,headL,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,313.1277160644531,265.3002014160156,0.9999997019767761,335.7883605957031,271.8701171875,0.9999995231628418,398.1390686035156,227.97662353515625,1.0
1,318.0328063964844,273.10186767578125,1.0,340.1637878417969,277.1021423339844,0.9999999403953552,394.5885314941406,221.2397918701172,0.9999992251396179
2,323.39154052734375,279.2262268066406,0.9999998807907104,346.12200927734375,281.1091613769531,0.9999992847442627,392.582763671875,215.49673461914062,0.9999998807907104
3,331.08856201171875,285.24041748046875,1.0,353.3011474609375,283.8394470214844,0.9999998807907104,388.7095031738281,210.23487854003906,1.0
4,337.3544006347656,288.7794189453125,0.9999999403953552,359.8791198730469,285.46026611328125,0.9999998807907104,383.4580383300781,204.7624053955078,0.9999998807907104
5,344.4005432128906,291.37225341796875,1.0,366.13580322265625,285.550048828125,0.9999996423721313,377.1793518066406,200.37985229492188,0.9999998211860657
6,351.52191162109375,293.1971435546875,1.0,373.5155944824219,284.03155517578125,1.0,370.03253173828125,196.68264770507812,1.0
7,360.21856689453125,293.29168701171875,0.9999997615814209,381.2207336425781,280.7795715332031,0.9999997615814209,364.1559753417969,194.27490234375,1.0
8,369.1407775878906,291.38665771484375,0.9999998211860657,389.3003234863281,274.4360046386719,1.0,357.6374816894531,192.7444610595703,1.0
9,380.0791015625,286.8675537109375,0.9999998807907104,395.6311950683594,266.13922119140625,0.9999997019767761,353.3044738769531,191.9683380126953,1.0
10,390.901611328125,282.2643127441406,0.9999998211860657,402.2200927734375,259.5704040527344,1.0,350.2175598144531,191.97610473632812,1.0
11,400.34893798828125,277.3581848144531,0.9999998211860657,407.646484375,254.88172912597656,0.9999998807907104,347.61920166015625,193.43568420410156,1.0
12,409.22454833984375,272.10693359375,0.9999996423721313,412.8039855957031,248.95326232910156,0.9999991655349731,344.35205078125,195.29776000976562,1.0
13,415.29156494140625,267.71478271484375,0.9999997615814209,416.909423828125,244.72511291503906,0.9999998211860657,340.4112243652344,199.4735565185547,1.0
14,421.9018859863281,263.20013427734375,0.9999996423721313,421.68109130859375,240.9198760986328,0.9999998807907104,337.2911376953125,205.17324829101562,1.0
15,427.5447998046875,259.13018798828125,1.0,425.75042724609375,235.000732421875,0.9999995231628418,333.3509826660156,214.75392150878906,1.0
16,431.5717468261719,255.85699462890625,0.9999997615814209,428.6041564941406,231.23768615722656,0.9999992847442627,331.237060546875,222.21893310546875,0.9999998807907104
17,436.1794738769531,252.08473205566406,0.9999998807907104,431.4206237792969,228.31948852539062,0.9999991059303284,330.0707702636719,230.9697265625,0.9999999403953552
18,439.7747497558594,248.3125762939453,0.9999995827674866,434.6884460449219,224.9927978515625,0.9999998211860657,331.08734130859375,241.13275146484375,1.0
19,443.31256103515625,243.47726440429688,1.0,436.3693542480469,220.60125732421875,0.9999999403953552,333.2388610839844,247.03201293945312,1.0
20,444.91436767578125,238.86578369140625,0.9999996423721313,437.3324279785156,217.19552612304688,0.9999998807907104,336.6310119628906,252.72671508789062,0.9999998807907104
21,446.5716247558594,235.29916381835938,0.9999997615814209,438.3827819824219,213.6057891845703,0.9999998807907104,340.9051818847656,258.8523254394531,0.9999999403953552
22,446.8064270019531,230.73388671875,0.9999996423721313,437.4054260253906,209.8697509765625,1.0,345.44024658203125,264.2386474609375,0.9999997615814209
23,447.5943603515625,226.9444122314453,0.9999998807907104,436.0522766113281,207.53021240234375,0.9999998807907104,350.2315368652344,267.3576965332031,0.9999997615814209
24,447.48297119140625,222.3317108154297,0.9999998211860657,431.3971252441406,204.62083435058594,0.999999463558197,352.2247009277344,269.887451171875,0.9999998807907104
25,443.4505310058594,218.148681640625,0.9999998807907104,425.5627136230469,203.5965576171875,0.9999996423721313,353.8301086425781,273.4356384277344,1.0
26,438.63751220703125,214.379638671875,0.9999998807907104,418.53936767578125,201.89642333984375,0.9999998807907104,355.2767333984375,276.6096496582031,1.0
27,432.1638488769531,211.30877685546875,1.0,410.3695373535156,201.83424377441406,0.9999991655349731,355.88470458984375,279.9509582519531,1.0
28,423.9311828613281,208.43038940429688,0.9999998211860657,401.0578308105469,200.24171447753906,0.9999996423721313,354.9191589355469,283.2354431152344,1.0
29,414.9602355957031,206.29071044921875,0.9999996423721313,390.3930969238281,203.232666015625,0.9999998807907104,355.5588684082031,286.0744323730469,1.0
30,405.4303283691406,203.1891632080078,0.9999998211860657,379.6888122558594,206.4838104248047,0.9999997615814209,355.18585205078125,288.5111083984375,0.9999999403953552
31,395.2208251953125,200.45193481445312,0.9999997019767761,372.2370910644531,206.3583526611328,0.9999999403953552,356.4233703613281,290.2494201660156,1.0
32,384.9133605957031,198.11273193359375,0.9999997615814209,362.9475402832031,207.55413818359375,0.9999998807907104,359.1462097167969,291.4837646484375,1.0
33,373.64263916015625,196.540771484375,1.0,354.218505859375,209.488037109375,1.0,363.3472900390625,291.0394592285156,1.0
34,363.0437316894531,196.73028564453125,0.9999998807907104,346.27081298828125,213.17892456054688,0.9999998807907104,369.6547546386719,290.720458984375,1.0
35,351.38214111328125,198.57357788085938,0.9999997615814209,339.348876953125,217.92965698242188,1.0,375.7613830566406,290.5902099609375,1.0
36,343.1556701660156,202.26611328125,0.9999998807907104,333.67205810546875,224.4447784423828,0.9999998807907104,382.7154541015625,288.8230285644531,1.0
37,335.5361022949219,207.8087615966797,0.9999995827674866,329.94012451171875,231.5790252685547,0.9999995231628418,388.6254577636719,285.69512939453125,1.0
38,328.2659606933594,214.3325653076172,0.9999997615814209,325.5992431640625,239.79122924804688,0.9999998807907104,392.7626037597656,282.5583190917969,0.9999998807907104
39,323.0109558105469,219.87136840820312,1.0,323.76397705078125,245.49655151367188,0.9999998807907104,396.3785095214844,278.62152099609375,1.0
40,317.811279296875,226.0786895751953,0.9999998807907104,322.4606018066406,249.7792205810547,0.9999998807907104,400.2590637207031,273.4559020996094,0.9999998807907104
41,314.3929748535156,231.1064453125,0.9999997019767761,321.1166076660156,254.64431762695312,0.9999998807907104,403.55816650390625,266.36761474609375,0.9999998807907104
42,311.552734375,235.65663146972656,0.9999999403953552,319.8240051269531,259.3514709472656,0.9999998807907104,405.3328552246094,257.2550048828125,0.9999998807907104
43,309.4796142578125,241.62539672851562,1.0,320.2662048339844,263.1478576660156,0.9999995231628418,407.1071472167969,249.60873413085938,0.9999998211860657
44,309.01995849609375,247.0870361328125,0.9999999403953552,322.982666015625,267.98406982421875,0.9999999403953552,406.6325378417969,244.6407470703125,0.9999998807907104
45,311.1104431152344,254.4443817138672,0.9999998807907104,327.44842529296875,270.7513427734375,0.9999997019767761,406.37298583984375,238.65805053710938,0.9999998807907104
46,313.820556640625,262.7953796386719,0.9999999403953552,334.3822021484375,277.0940856933594,0.9999998807907104,406.0544128417969,231.41690063476562,0.9999999403953552
47,319.4132080078125,269.95465087890625,0.9999997615814209,340.9159851074219,280.5829772949219,0.9999995231628418,405.3628234863281,225.8251953125,1.0
48,326.2706298828125,276.5321350097656,1.0,349.1489562988281,283.4297790527344,0.9999993443489075,403.40655517578125,219.0936279296875,1.0
49,333.660888671875,281.6328125,0.9999998807907104,357.70086669921875,284.8014221191406,0.9999998807907104,400.3397216796875,212.965576171875,1.0
50,343.7906799316406,284.8872985839844,0.9999999403953552,367.82110595703125,283.3680114746094,0.9999996423721313,398.4566955566406,207.68551635742188,0.9999998807907104
51,354.73016357421875,288.57012939453125,0.9999998211860657,377.4582214355469,281.06964111328125,0.9999995231628418,395.658203125,204.3429412841797,0.9999998807907104
52,364.7491149902344,290.8880310058594,1.0,385.3204040527344,278.18084716796875,0.9999998211860657,392.3007507324219,201.2940216064453,0.9999998807907104
53,374.0787353515625,292.3360290527344,0.9999998807907104,392.71295166015625,276.70501708984375,0.9999998807907104,388.62213134765625,200.2407684326172,1.0
54,383.313720703125,293.84130859375,0.9999998807907104,400.3979187011719,275.9020080566406,0.9999998807907104,385.3761901855469,199.3524932861328,0.9999999403953552
55,392.3973693847656,294.1339111328125,0.9999995827674866,407.2009582519531,273.7371826171875,1.0,382.1885986328125,199.29803466796875,1.0
56,401.0401611328125,292.76806640625,0.9999999403953552,412.2337646484375,271.6484680175781,0.9999997615814209,376.5670166015625,200.1078643798828,0.9999999403953552
57,408.0916748046875,291.3357238769531,0.9999998211860657,416.94464111328125,268.4463195800781,0.9999998807907104,369.5740661621094,202.35975646972656,0.9999999403953552
58,413.8161315917969,288.9466247558594,0.9999999403953552,420.7815246582031,265.2539978027344,0.9999999403953552,360.8485107421875,205.7443084716797,0.9999998807907104
59,418.8367614746094,284.7890319824219,1.0,423.1685791015625,261.1558532714844,0.9999999403953552,352.15350341796875,210.5269775390625,0.9999998807907104
