scorer,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000,DLC_resnet101_DLC_TopDec8shuffle1_1030000
bodyparts,headR,headR,headR,headL,headL,headL,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,134.7355499267578,260.177001953125,0.9999999403953552,113.7773666381836,278.15533447265625,0.9999998807907104,156.56292724609375,355.387939453125,1.0
1,134.18919372558594,260.3509521484375,0.9999998807907104,113.70262908935547,278.3912048339844,0.9999999403953552,156.4383087158203,355.19342041015625,1.0
2,133.58055114746094,260.31884765625,1.0,113.62369537353516,278.8071594238281,0.9999998211860657,156.35214233398438,355.40008544921875,1.0
3,133.23434448242188,260.4453430175781,1.0,112.66754150390625,279.12457275390625,0.9999997615814209,156.49484252929688,355.48095703125,1.0
4,132.61631774902344,260.386474609375,1.0,111.91546630859375,279.76898193359375,0.9999994039535522,156.4284210205078,355.1280822753906,1.0
5,132.14053344726562,260.09649658203125,1.0,111.54672241210938,279.81805419921875,0.999999463558197,156.4180145263672,355.07958984375,1.0
6,131.72621154785156,260.54779052734375,1.0,111.5277328491211,280.40618896484375,0.9999994039535522,156.4593048095703,355.27239990234375,1.0
7,131.40757751464844,260.7442321777344,1.0,112.06587982177734,281.58380126953125,0.9999995827674866,156.43875122070312,355.11309814453125,1.0
8,130.95274353027344,260.70733642578125,1.0,111.9188461303711,282.10089111328125,0.9999996423721313,156.453125,355.2357177734375,1.0
9,130.49488830566406,260.6405334472656,1.0,112.00918579101562,282.1672058105469,0.9999997019767761,156.60067749023438,355.48321533203125,1.0
10,129.96473693847656,260.47515869140625,0.9999999403953552,111.8564224243164,282.4017639160156,0.9999996423721313,156.60675048828125,355.1517028808594,1.0
11,129.3004150390625,260.4778137207031,0.9999999403953552,111.97342681884766,282.53973388671875,0.9999997615814209,156.5904998779297,355.04736328125,1.0
12,128.73934936523438,260.86077880859375,0.9999998807907104,111.87301635742188,283.14208984375,0.9999997019767761,156.84451293945312,355.1534729003906,1.0
13,128.22410583496094,261.1744689941406,0.9999998807907104,111.74468994140625,283.6470031738281,0.9999997019767761,157.33929443359375,354.99676513671875,1.0
14,127.07398223876953,262.154052734375,0.9999998211860657,110.96784210205078,284.44427490234375,0.9999996423721313,158.7124786376953,354.515625,1.0
15,126.47403717041016,262.58575439453125,0.9999998807907104,110.42691802978516,285.89227294921875,0.9999994039535522,160.07032775878906,354.3716125488281,1.0
16,125.5669174194336,263.1510314941406,0.9999999403953552,109.5597152709961,286.46539306640625,0.9999992847442627,161.08416748046875,354.0024719238281,1.0
17,124.44287109375,264.0443115234375,0.9999997615814209,109.64921569824219,287.4214782714844,0.9999995231628418,163.30224609375,354.0704345703125,1.0
18,123.50035858154297,265.24481201171875,0.9999998807907104,110.10365295410156,288.64495849609375,0.9999995827674866,164.67330932617188,354.1468811035156,0.9999998807907104
19,122.67235565185547,266.1141662597656,0.9999998807907104,110.3351058959961,290.18145751953125,0.9999996423721313,166.00379943847656,353.70196533203125,0.9999999403953552
20,121.88658142089844,266.8330078125,0.9999998807907104,111.44747924804688,291.58685302734375,0.9999996423721313,169.28048706054688,352.7506408691406,0.9999997615814209
21,121.14566802978516,267.9743957519531,0.9999998211860657,112.23991394042969,293.0167236328125,0.9999997615814209,172.85264587402344,351.50897216796875,1.0
22,120.81742095947266,269.1248474121094,0.9999998807907104,112.82010650634766,295.339111328125,0.9999997615814209,175.1313934326172,350.98504638671875,0.9999999403953552
23,120.50148010253906,270.68939208984375,0.9999997019767761,114.02840423583984,297.1285095214844,1.0,178.65643310546875,350.9942321777344,0.9999998807907104
24,120.26844024658203,271.7784118652344,0.9999995827674866,114.69794464111328,298.0148620605469,1.0,182.5267333984375,350.7297058105469,0.9999998211860657
25,120.24581909179688,272.9708251953125,0.9999997615814209,115.36569213867188,299.5229797363281,0.9999999403953552,186.01466369628906,349.8922424316406,0.9999997615814209
26,119.8521499633789,274.3252258300781,0.9999999403953552,116.0327377319336,300.94757080078125,0.9999998807907104,189.09861755371094,349.172607421875,0.9999998211860657
27,120.04472351074219,276.07373046875,0.9999998807907104,116.62242889404297,302.15423583984375,0.9999998807907104,192.05679321289062,347.73663330078125,0.9999999403953552
28,119.9195785522461,277.47210693359375,0.9999998211860657,116.92424774169922,302.79827880859375,0.9999998807907104,194.08004760742188,346.5182189941406,0.9999998807907104
29,119.56351470947266,278.4888916015625,0.9999998807907104,116.94913482666016,303.98828125,0.9999998807907104,196.05592346191406,345.3440856933594,1.0
30,119.23648071289062,279.8620300292969,0.9999998211860657,117.07789611816406,305.2214050292969,0.9999998807907104,196.9571533203125,343.9175720214844,1.0
31,118.41903686523438,281.11822509765625,0.9999998807907104,116.47984313964844,306.0980529785156,0.9999999403953552,197.792724609375,343.80169677734375,0.9999999403953552
32,117.44475555419922,281.65814208984375,0.9999998807907104,116.1496810913086,306.5255126953125,0.9999998807907104,197.28884887695312,343.2544860839844,1.0
33,116.9684066772461,282.55450439453125,0.9999998807907104,115.51052856445312,306.8197326660156,0.9999999403953552,197.23582458496094,342.8057556152344,1.0
34,116.14642333984375,282.7669982910156,0.9999999403953552,114.78369140625,307.12518310546875,0.9999999403953552,196.94349670410156,342.47027587890625,1.0
35,115.45703887939453,282.6249084472656,1.0,113.93608856201172,306.8567199707031,0.9999998211860657,196.9790496826172,341.8631896972656,1.0
36,115.26111602783203,283.0534973144531,1.0,113.48762512207031,307.0760498046875,0.9999998807907104,196.90777587890625,341.0305480957031,1.0
37,115.58373260498047,283.2733154296875,1.0,113.14862060546875,307.4448547363281,0.9999998807907104,197.09268188476562,340.6035461425781,0.9999999403953552
38,115.83901977539062,283.17083740234375,1.0,112.67620849609375,307.2362060546875,0.9999997615814209,197.17300415039062,340.0489501953125,1.0
39,116.05985260009766,282.76202392578125,1.0,112.27783203125,307.08880615234375,0.9999997615814209,197.14129638671875,340.16717529296875,1.0
40,116.54806518554688,282.2526550292969,0.9999999403953552,112.3514404296875,307.0523376464844,0.9999997615814209,196.92897033691406,339.8884582519531,1.0
41,116.90747833251953,281.7119445800781,1.0,112.46192932128906,306.6280517578125,0.9999998211860657,196.79052734375,340.531982421875,1.0
42,117.06765747070312,281.34930419921875,1.0,112.70137023925781,306.3220520019531,0.9999998807907104,196.4548797607422,340.4470520019531,0.9999998807907104
43,117.13178253173828,280.5215759277344,1.0,112.76019287109375,305.96112060546875,0.9999997615814209,196.58657836914062,339.8962707519531,1.0
44,117.10393524169922,280.2293701171875,0.9999998807907104,112.82118225097656,305.7787780761719,0.9999997615814209,196.88914489746094,339.63592529296875,1.0
45,117.6663589477539,280.4897155761719,0.9999998807907104,112.87287139892578,305.79486083984375,0.9999997615814209,197.5494384765625,338.551025390625,0.9999998807907104
46,117.90267181396484,280.5173034667969,1.0,113.01907348632812,305.8223571777344,0.9999997615814209,198.3212127685547,337.8440246582031,0.9999999403953552
47,118.00070190429688,280.4508361816406,0.9999998807907104,113.41659545898438,306.08636474609375,0.9999998807907104,199.16700744628906,337.0194396972656,1.0
48,118.1438980102539,280.501708984375,0.9999998807907104,114.2113037109375,305.7695617675781,0.9999998211860657,199.83807373046875,336.470458984375,0.9999997615814209
49,118.44195556640625,280.4082946777344,0.9999998807907104,114.74795532226562,305.9521484375,0.9999998807907104,201.4761505126953,336.79205322265625,0.9999998211860657
50,118.8320083618164,280.4078063964844,0.9999999403953552,115.37271118164062,306.21539306640625,0.9999998807907104,201.79153442382812,335.84722900390625,0.9999998807907104
51,118.8284912109375,280.9171142578125,0.9999998807907104,115.3414077758789,306.4954528808594,1.0,202.4221954345703,334.96453857421875,0.9999998211860657
52,119.03288269042969,281.3491516113281,0.9999998807907104,115.78990173339844,307.0692138671875,1.0,202.88720703125,334.68109130859375,0.9999997615814209
53,119.5530776977539,281.3215637207031,0.9999999403953552,116.85516357421875,307.9678649902344,1.0,203.0072021484375,334.255859375,0.9999997615814209
54,120.16570281982422,281.6409912109375,0.9999998807907104,117.52404022216797,308.0504455566406,0.9999999403953552,202.85829162597656,333.79144287109375,0.9999997019767761
55,120.9046401977539,281.28302001953125,0.9999997019767761,117.86529541015625,307.6634521484375,0.9999999403953552,203.1765899658203,333.6613464355469,0.9999997019767761
56,120.71973419189453,281.3892822265625,0.9999997615814209,118.34648895263672,307.9553527832031,0.9999998807907104,203.55062866210938,334.36114501953125,0.9999998211860657
57,120.96259307861328,281.98138427734375,0.9999997615814209,119.16616821289062,308.5530700683594,0.9999998211860657,203.3165740966797,333.9220275878906,0.9999997615814209
58,121.39564514160156,282.62451171875,0.9999997019767761,119.7396240234375,309.29254150390625,0.9999995827674866,203.7637481689453,334.01922607421875,0.9999997019767761
59,121.31327056884766,283.18359375,0.9999997019767761,120.20545196533203,309.75921630859375,0.9999992847442627,204.271728515625,333.8318176269531,0.9999997615814209
60,121.48684692382812,284.1139831542969,0.9999996423721313,120.7911376953125,310.27130126953125,0.9999986886978149,204.4711151123047,333.89215087890625,0.9999997019767761
